CH_000	Def_Angle_1_14
5	1.46520146520147e-05
5	1.46520146520147e-05
5	1.46520146520147e-05
5	2.1978021978022e-05
5	1.46520146520147e-05
5	1.46520146520147e-05
35	1.46520146520147e-05
95	5.12820512820513e-05
125	8.05860805860806e-05
175	0.000161172161172161
205	0.000197802197802198
240	0.000285714285714286
280	0.000373626373626374
300	0.000417582417582418
341	0.000534798534798535
361	0.000608058608058608
396	0.00073992673992674
431	0.000864468864468865
446	0.000930402930402931
476	0.00106959706959707
496	0.00113553113553114
526	0.00126007326007326
556	0.00139194139194139
571	0.00145787545787546
601	0.00158241758241758
596	0.00161904761904762
546	0.00161904761904762
456	0.00162637362637363
416	0.00161904761904762
341	0.00161904761904762
275	0.00161904761904762
250	0.0015970695970696
210	0.00150915750915751
190	0.00145787545787546
145	0.00134065934065934
125	0.0012967032967033
90	0.00119413919413919
75	0.00115018315018315
35	0.00105494505494506
10	0.000974358974358974
-5	0.000937728937728938
-30	0.000879120879120879
-40	0.00084981684981685
-65	0.000798534798534799
-95	0.000732600732600733
-115	0.000688644688644689
-165	0.000586080586080586
-215	0.000476190476190476
-240	0.000417582417582418
-290	0.000307692307692308
-310	0.000249084249084249
-361	0.000124542124542125
-401	7.32600732600733e-06
-421	-5.86080586080586e-05
-456	-0.000175824175824176
-491	-0.0003003663003663
-506	-0.000366300366300366
-536	-0.000483516483516484
-556	-0.000542124542124542
-581	-0.000666666666666667
-611	-0.000791208791208791
-626	-0.000857142857142857
-656	-0.000974358974358974
-681	-0.00109157509157509
-671	-0.00110622710622711
-606	-0.00110622710622711
-561	-0.00110622710622711
-486	-0.00110622710622711
-416	-0.00109157509157509
-381	-0.00106227106227106
-315	-0.000945054945054945
-250	-0.000835164835164835
-220	-0.000776556776556777
-165	-0.000659340659340659
-140	-0.000608058608058608
-90	-0.000505494505494506
-40	-0.000402930402930403
-25	-0.000366300366300366
-5	-0.0003003663003663
15	-0.000256410256410256
30	-0.000227106227106227
50	-0.000161172161172161
80	-8.05860805860806e-05
100	-3.66300366300366e-05
100	0
115	2.1978021978022e-05
145	0.00010989010989011
175	0.000197802197802198
190	0.000256410256410256
215	0.000358974358974359
240	0.000454212454212454
255	0.000512820512820513
280	0.000608058608058608
295	0.000659340659340659
325	0.000776556776556777
356	0.000893772893772894
376	0.00095970695970696
411	0.00108424908424908
446	0.00120879120879121
461	0.00126739926739927
496	0.00139194139194139
516	0.00145054945054945
556	0.00157509157509158
596	0.00168498168498169
591	0.00170695970695971
531	0.00170695970695971
446	0.00171428571428571
406	0.00171428571428571
336	0.00170695970695971
275	0.00164835164835165
250	0.00158974358974359
215	0.00148717948717949
195	0.00143589743589744
160	0.00133333333333333
130	0.00123076923076923
115	0.00117948717948718
85	0.00108424908424908
55	0.001003663003663
40	0.000952380952380952
10	0.000864468864468865
0	0.000827838827838828
-25	0.000761904761904762
-45	0.000695970695970696
-55	0.000673992673992674
-75	0.000608058608058608
-110	0.000534798534798535
-130	0.000483516483516484
-175	0.000373626373626374
-215	0.000256410256410256
-235	0.000190476190476191
-275	7.32600732600733e-05
-295	1.46520146520147e-05
-336	-0.000102564102564103
-371	-0.00021978021978022
-391	-0.000285714285714286
-426	-0.00041025641025641
-466	-0.000527472527472527
-486	-0.000586080586080586
-531	-0.000703296703296703
-546	-0.000769230769230769
-586	-0.000886446886446887
-631	-0.001003663003663
-651	-0.00106959706959707
-651	-0.00110622710622711
-571	-0.00110622710622711
-531	-0.00110622710622711
-456	-0.00110622710622711
-416	-0.00110622710622711
-351	-0.00102564102564103
-285	-0.000908424908424908
-255	-0.00084981684981685
-200	-0.00073992673992674
-150	-0.000622710622710623
-125	-0.000571428571428572
-75	-0.000461538461538462
-35	-0.000366300366300366
-20	-0.00032967032967033
0	-0.000278388278388278
10	-0.000256410256410256
30	-0.000190476190476191
55	-0.000131868131868132
70	-8.79120879120879e-05
100	0
105	2.93040293040293e-05
140	0.000117216117216117
205	0.000358974358974359
235	0.000483516483516484
295	0.000725274725274725
371	0.001003663003663
416	0.00115750915750916
506	0.00145787545787546
606	0.00172893772893773
651	0.00186813186813187
736	0.00216849816849817
776	0.00232967032967033
861	0.00264468864468864
936	0.00295970695970696
971	0.00311355311355311
1047	0.00343589743589744
1082	0.00368498168498169
1067	0.00369230769230769
876	0.00369230769230769
786	0.00369230769230769
621	0.00345054945054945
481	0.00315750915750916
411	0.00301098901098901
290	0.00272527472527473
210	0.00244688644688645
180	0.00231501831501832
125	0.00205128205128205
100	0.00191941391941392
60	0.00166300366300366
15	0.00140659340659341
-10	0.0013040293040293
-50	0.00111355311355311
-95	0.000923076923076923
-130	0.000798534798534799
-205	0.00052014652014652
-275	0.000227106227106227
-315	7.32600732600733e-05
-391	-0.000227106227106227
-436	-0.000380952380952381
-526	-0.000673992673992674
-621	-0.00095970695970696
-666	-0.00110622710622711
-746	-0.00139194139194139
-816	-0.00169230769230769
-851	-0.00186813186813187
-916	-0.00217582417582418
-951	-0.00232967032967033
-1012	-0.00263736263736264
-1067	-0.00294505494505495
-1072	-0.00304761904761905
-986	-0.00305494505494506
-901	-0.00305494505494506
-741	-0.00287179487179487
-601	-0.0026007326007326
-531	-0.00246153846153846
-411	-0.00218315018315018
-300	-0.0018974358974359
-250	-0.00175091575091575
-170	-0.00147252747252747
-100	-0.00119413919413919
-70	-0.00104761904761905
-20	-0.000791208791208791
-5	-0.000695970695970696
30	-0.00052014652014652
80	-0.000307692307692308
105	-0.000190476190476191
120	-5.12820512820513e-05
160	8.05860805860806e-05
190	0.000205128205128205
235	0.000476190476190476
255	0.000615384615384615
300	0.000893772893772894
351	0.00120879120879121
381	0.00136263736263736
441	0.00167032967032967
516	0.00196336996336996
556	0.00211721611721612
646	0.00241758241758242
691	0.00257875457875458
786	0.00287179487179487
886	0.00317216117216117
936	0.00333333333333333
1037	0.00364102564102564
1032	0.00373626373626374
946	0.00373626373626374
756	0.00371428571428571
596	0.00345054945054945
526	0.0033040293040293
391	0.00301831501831502
330	0.00287179487179487
240	0.00258608058608059
180	0.00232234432234432
155	0.00218315018315018
110	0.00190476190476191
75	0.00164102564102564
50	0.0015018315018315
10	0.00125274725274725
-10	0.00115018315018315
-50	0.000967032967032967
-90	0.000761904761904762
-125	0.000637362637362637
-190	0.000351648351648352
-240	5.12820512820513e-05
-265	-0.000102564102564103
-325	-0.000402930402930403
-396	-0.000703296703296703
-436	-0.00084981684981685
-511	-0.00115018315018315
-551	-0.00128937728937729
-631	-0.00158974358974359
-711	-0.00189010989010989
-751	-0.00203663003663004
-841	-0.00233699633699634
-931	-0.00264468864468864
-971	-0.0027985347985348
-1042	-0.00306227106227106
-1027	-0.00306959706959707
-886	-0.00306959706959707
-726	-0.00287912087912088
-656	-0.00273992673992674
-516	-0.00246153846153846
-396	-0.00217582417582418
-341	-0.00203663003663004
-245	-0.00175091575091575
-205	-0.00161172161172161
-135	-0.00132600732600733
-75	-0.00104761904761905
-45	-0.000901098901098901
-5	-0.000681318681318681
30	-0.000512820512820513
45	-0.000417582417582418
95	-0.000190476190476191
115	-4.3956043956044e-05
125	-1.46520146520147e-05
220	0.000490842490842491
265	0.000769230769230769
361	0.00136996336996337
491	0.00197802197802198
576	0.00228571428571429
761	0.00289377289377289
966	0.00349450549450549
1072	0.00378754578754579
1227	0.00438827838827839
1297	0.00471062271062271
1407	0.00532600732600733
1507	0.00596336996336996
1552	0.0063003663003663
1642	0.00693772893772894
1728	0.00758241758241758
1718	0.0078021978021978
1537	0.00781684981684982
1347	0.00777289377289377
1027	0.0072014652014652
761	0.00661538461538461
641	0.00632234432234432
446	0.00573626373626374
295	0.00512820512820513
240	0.00481318681318681
150	0.00423443223443223
85	0.00364102564102564
65	0.00334065934065934
20	0.00274725274725275
0	0.00247619047619048
-45	0.00197802197802198
-105	0.00147985347985348
-145	0.00117216117216117
-220	0.000564102564102564
-305	-5.12820512820513e-05
-361	-0.000366300366300366
-486	-0.000967032967032967
-556	-0.00126007326007326
-701	-0.00186080586080586
-856	-0.00246153846153846
-946	-0.00276923076923077
-1097	-0.00336996336996337
-1212	-0.00398534798534799
-1272	-0.0043003663003663
-1377	-0.00493040293040293
-1432	-0.00523809523809524
-1532	-0.00586813186813187
-1632	-0.00647619047619048
-1678	-0.0067985347985348
-1662	-0.00704761904761905
-1402	-0.00702564102564103
-1247	-0.00674725274725275
-981	-0.00613186813186813
-751	-0.00552380952380952
-656	-0.00522344322344322
-486	-0.00463736263736264
-406	-0.00433699633699634
-275	-0.00374358974358974
-180	-0.00315018315018315
-135	-0.00284249084249084
-65	-0.00223443223443223
-20	-0.00167032967032967
0	-0.00141391941391941
40	-0.000937728937728938
70	-0.000681318681318681
125	-0.000146520146520147
130	-3.66300366300366e-05
165	0.000212454212454212
215	0.000791208791208791
270	0.00138461538461538
305	0.00169230769230769
386	0.0023003663003663
481	0.00292307692307692
536	0.00324542124542124
671	0.00385347985347985
736	0.00416849816849817
881	0.00477655677655678
