CH_000	Def_Angle_1_14
15	0
15	0
15	0
15	0
15	0
25	0
45	0
50	2.93040293040293e-05
65	0.000153846153846154
75	0.000241758241758242
80	0.000307692307692308
90	0.000432234432234432
95	0.000498168498168498
105	0.000652014652014652
110	0.000717948717948718
120	0.000842490842490843
125	0.000901098901098901
135	0.00101831501831502
140	0.00108424908424908
150	0.00121611721611722
155	0.00132600732600733
160	0.00138461538461538
175	0.00151648351648352
175	0.00158241758241758
180	0.0016996336996337
160	0.0016996336996337
140	0.0016996336996337
110	0.00170695970695971
85	0.0016996336996337
75	0.00168498168498169
60	0.00157509157509158
55	0.00152380952380952
40	0.00141391941391941
25	0.0013040293040293
25	0.00123809523809524
15	0.00112087912087912
10	0.000996336996336996
5	0.000937728937728938
0	0.000827838827838828
-5	0.000776556776556777
-10	0.000652014652014652
-15	0.000534798534798535
-20	0.000476190476190476
-25	0.000358974358974359
-30	0.0003003663003663
-35	0.000183150183150183
-45	7.32600732600733e-05
-45	1.46520146520147e-05
-55	-9.52380952380952e-05
-65	-0.000205128205128205
-70	-0.000263736263736264
-75	-0.000373626373626374
-85	-0.000432234432234432
-90	-0.000549450549450549
-100	-0.000666666666666667
-105	-0.000725274725274725
-110	-0.00084981684981685
-120	-0.000974358974358974
-125	-0.00104029304029304
-135	-0.00117216117216117
-140	-0.00123809523809524
-150	-0.00136263736263736
-155	-0.00149450549450549
-160	-0.00155311355311355
-140	-0.00156043956043956
-100	-0.00156043956043956
-85	-0.00156043956043956
-65	-0.00153113553113553
-55	-0.00147985347985348
-40	-0.00136996336996337
-25	-0.00126007326007326
-20	-0.00120879120879121
-15	-0.00110622710622711
-5	-0.000996336996336996
0	-0.000945054945054945
5	-0.000842490842490843
15	-0.000732600732600733
15	-0.000681318681318681
25	-0.000556776556776557
25	-0.000498168498168498
25	-0.000373626373626374
30	-0.000249084249084249
30	-0.000183150183150183
35	-9.52380952380952e-05
40	-5.12820512820513e-05
40	1.46520146520147e-05
45	0.000131868131868132
50	0.000190476190476191
55	0.000315018315018315
60	0.00043956043956044
65	0.000505494505494506
75	0.000622710622710623
80	0.000732600732600733
85	0.000791208791208791
95	0.000908424908424908
100	0.000974358974358974
110	0.00109157509157509
125	0.00120879120879121
130	0.00126007326007326
140	0.00136996336996337
155	0.00147985347985348
160	0.00154578754578755
175	0.00166300366300366
180	0.00171428571428571
165	0.00172893772893773
130	0.00172893772893773
115	0.00172893772893773
90	0.00172893772893773
70	0.00165567765567766
60	0.0015970695970696
50	0.00148717948717949
35	0.00136996336996337
30	0.00131135531135531
25	0.0012014652014652
20	0.00113553113553114
15	0.00101831501831502
5	0.000901098901098901
5	0.00084981684981685
0	0.00073992673992674
-10	0.000622710622710623
-10	0.000564102564102564
-15	0.00043956043956044
-20	0.000380952380952381
-20	0.000263736263736264
-25	0.000146520146520147
-30	8.05860805860806e-05
-35	-3.66300366300366e-05
-40	-0.000161172161172161
-45	-0.00021978021978022
-50	-0.00032967032967033
-55	-0.000388278388278388
-60	-0.000505494505494506
-70	-0.000622710622710623
-75	-0.000681318681318681
-80	-0.000791208791208791
-90	-0.000908424908424908
-95	-0.000974358974358974
-110	-0.00109157509157509
-115	-0.00115750915750916
-130	-0.00128205128205128
-140	-0.00141391941391941
-150	-0.00147985347985348
-155	-0.00156776556776557
-125	-0.00156776556776557
-105	-0.00156776556776557
-75	-0.00156776556776557
-55	-0.00149450549450549
-50	-0.00143589743589744
-35	-0.00132600732600733
-30	-0.00126739926739927
-20	-0.00116483516483517
-10	-0.00105494505494506
-5	-0.000996336996336996
0	-0.000886446886446887
10	-0.000783882783882784
10	-0.000732600732600733
15	-0.000615384615384615
20	-0.000556776556776557
25	-0.000432234432234432
25	-0.000315018315018315
25	-0.000249084249084249
30	-0.000124542124542125
30	-5.86080586080586e-05
35	-1.46520146520147e-05
45	0.000271062271062271
55	0.000417582417582418
70	0.000695970695970696
90	0.000981684981684982
105	0.00112087912087912
135	0.00139194139194139
170	0.00166300366300366
190	0.0017948717948718
210	0.00209523809523809
220	0.00224908424908425
245	0.00256410256410256
265	0.00287912087912088
275	0.00304761904761905
295	0.00336263736263736
315	0.00368498168498169
305	0.00372893772893773
235	0.00373626373626374
190	0.00372161172161172
130	0.00347985347985348
85	0.0032014652014652
70	0.00305494505494506
45	0.00276923076923077
35	0.00263003663003663
25	0.00234432234432234
10	0.00205128205128205
5	0.00190476190476191
-5	0.00162637362637363
-15	0.00133333333333333
-15	0.00117948717948718
-25	0.000886446886446887
-30	0.000732600732600733
-35	0.000432234432234432
-45	0.000146520146520147
-50	-7.32600732600733e-06
-65	-0.000307692307692308
-80	-0.000586080586080586
-90	-0.000732600732600733
-110	-0.00102564102564103
-125	-0.00118681318681319
-155	-0.00149450549450549
-180	-0.0017948717948718
-190	-0.00195604395604396
-215	-0.00226373626373626
-240	-0.00257875457875458
-250	-0.00273992673992674
-270	-0.00304761904761905
-280	-0.00321611721611722
-300	-0.00351648351648352
-275	-0.00356043956043956
-210	-0.00356043956043956
-130	-0.00339194139194139
-80	-0.0030989010989011
-65	-0.00295238095238095
-40	-0.00268131868131868
-30	-0.00253479853479853
-15	-0.00226373626373626
-5	-0.00198534798534799
5	-0.00183882783882784
10	-0.00157509157509158
20	-0.00127472527472527
20	-0.00112820512820513
25	-0.00082051282051282
30	-0.00052014652014652
30	-0.000366300366300366
35	-0.000102564102564103
30	-9.52380952380952e-05
45	0.000131868131868132
50	0.00043956043956044
55	0.000600732600732601
65	0.000908424908424908
80	0.0012014652014652
85	0.00134798534798535
105	0.00163369963369963
115	0.00178021978021978
135	0.00207326007326007
160	0.00237362637362637
175	0.00252014652014652
205	0.00282051282051282
235	0.00312087912087912
255	0.00327472527472528
285	0.00357509157509157
295	0.00372161172161172
275	0.00375824175824176
175	0.00373626373626374
145	0.00361904761904762
100	0.00334798534798535
65	0.00306227106227106
55	0.00290842490842491
35	0.00263003663003663
25	0.00233699633699634
20	0.00218315018315018
5	0.00190476190476191
5	0.00175091575091575
-5	0.00147252747252747
-10	0.00117216117216117
-15	0.00101831501831502
-20	0.000717948717948718
-25	0.000417582417582418
-30	0.000256410256410256
-35	-5.12820512820513e-05
-40	-0.000205128205128205
-50	-0.000498168498168498
-60	-0.000791208791208791
-65	-0.000937728937728938
-80	-0.00123076923076923
-95	-0.00153113553113553
-105	-0.00167765567765568
-125	-0.00198534798534799
-135	-0.00213186813186813
-165	-0.00243956043956044
-195	-0.00275457875457875
-210	-0.00290842490842491
-245	-0.00321611721611722
-280	-0.00352380952380952
-275	-0.00356776556776557
-205	-0.00356776556776557
-120	-0.00339194139194139
-95	-0.00323809523809524
-60	-0.00295238095238095
-50	-0.00281318681318681
-30	-0.00254212454212454
-15	-0.00226373626373626
-10	-0.00211721611721612
5	-0.00183882783882784
10	-0.00156776556776557
15	-0.00142124542124542
20	-0.00112087912087912
25	-0.000967032967032967
25	-0.000659340659340659
25	-0.000358974358974359
30	-0.000197802197802198
30	-8.05860805860806e-05
45	0.000380952380952381
50	0.000695970695970696
70	0.00128937728937729
105	0.00186813186813187
125	0.00217582417582418
175	0.00276190476190476
210	0.00306959706959707
