CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
15,0.689999998,0,0.219999999,0,0,0,0,0,-0.079999998,0.01,0,0,-0.01,-0.01,156,0,0.0015,0.0002,1E-04,0,0,-0.039999999,0.005,-0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.00025641,0,0,-0.001454545,0.000181818,0,0,-0.039999999,0.005,-0.005,15,8.241758242
-45,0.02,-0.5,0.579999983,0,0,0.090000004,0.100000001,0.090000004,0,0,-0.059999999,0,0.01,-0.01,-5,-0.0002,0.0016,0.0011,-1E-04,0,0.094999999,0.045000002,-0.029999999,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1.0989E-05,0,0.000181818,-0.001636364,0.001090909,-0.000363636,0.095000003,0.045000002,-0.029999999,0.005,-45,-24.72527473
-60,-0.540000021,-1,-0.079999998,0,0,0.050000001,0.100000001,0.100000001,0,0.01,-0.059999999,0,0.01,-0.01,1,-0.0009,0.0018,0.0013,-1E-04,0,0.075000003,0.050000001,-0.025,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000194139,0,0.000909091,-0.001818182,0.001272727,-0.000363636,0.100000001,0.050000001,-0.024999999,0.005,-60,-32.96703297
-70,-1.100000024,-2,-0.600000024,0,0,0,0,0.100000001,0,0.01,-0.059999999,0,0.01,-0.01,48,0,0.0018,0.0013,-0.0003,0,0,0.050000001,-0.025,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000399267,0,0,-0.001818182,0.001272727,-0.000363636,0.050000001,0.050000001,-0.024999999,0.005,-70,-38.46153846
-85,-1.700000048,-2.5,-1.25999999,0,0,0,0,0.109999999,0,0,-0.059999999,0,0.01,-0.01,35,0,0.002,0.0011,-0.0003,0,0,0.055,-0.029999999,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000619048,0,0,-0.002,0.001090909,-0.000363636,0.055,0.055,-0.029999999,0.005,-85,-46.7032967
-95,-2.279999971,-3,-1.75999999,0,0,0,0,0.109999999,0,0,-0.059999999,0,0.02,-0.01,21,0,0.002,0.0011,-0.0004,0,0,0.055,-0.029999999,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000831502,0,0,-0.002,0.001090909,-0.000545455,0.055,0.055,-0.029999999,0.01,-95,-52.1978022
-100,-2.359999895,-3.5,-2.099999905,0,0,0,0,0.109999999,0,-0.01,-0.050000001,0,0.029999999,-0.01,28,0,0.002,0.0007,-0.0005,0,0,0.055,-0.029999999,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000860806,0,0,-0.002,0.000727273,-0.000727273,0.055,0.055,-0.03,0.015,-100,-54.94505495
-110,-3.049999952,-4,-2.980000019,0,0,0,0,0.209999993,0.100000001,-0.100000001,-0.050000001,0,0.039999999,-0.01,-32,0,0.002,-0.0009,-0.0008,0,0,0.155000001,-0.075000003,0.022500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.001113553,0,0,-0.002,-0.000909091,-0.000909091,0.104999997,0.154999997,-0.075000001,0.02,-110,-60.43956044
-120,-3.430000067,-4.5,-3.5,0,0,0,-0.090000004,0.209999993,0.100000001,-0.100000001,-0.050000001,0,0.07,0,50,0.0016,0.002,-0.0009,-0.0012,0,-0.045000002,0.155000001,-0.075000003,0.032499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.00125641,0,-0.001636364,-0.002,-0.000909091,-0.001272727,0.059999995,0.154999997,-0.075000001,0.035,-120,-65.93406593
-125,-4.480000019,-5,-3.839999914,0,0,0,-0.090000004,0.209999993,0.100000001,-0.100000001,-0.050000001,0,0.07,-0.01,-28,0.0016,0.002,-0.0009,-0.0013,0,-0.045000002,0.155000001,-0.075000003,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.001637363,0,-0.001636364,-0.002,-0.000909091,-0.001454545,0.059999995,0.154999997,-0.075000001,0.035,-125,-68.68131868
-140,-5,-6,-4.940000057,0,0,0,-0.090000004,0.310000002,0.100000001,-0.100000001,-0.01,0,0.090000004,-0.01,41,0.0016,0.0038,-0.0016,-0.0015,0,-0.045000002,0.204999998,-0.055,0.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.001827839,0,-0.001636364,-0.003818182,-0.001636364,-0.001818182,0.109999999,0.205000002,-0.055000001,0.045000002,-140,-76.92307692
-150,-6.239999771,-6.5,-5.78000021,0,0,0,-0.090000004,0.310000002,0.100000001,-0.100000001,-0.01,-0.02,0.090000004,-0.01,15,0.0016,0.0038,-0.0016,-0.002,0,-0.045000002,0.204999998,-0.055,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.002282051,0,-0.001636364,-0.003818182,-0.001636364,-0.001818182,0.109999999,0.205000002,-0.055000001,0.035000002,-150,-82.41758242
-155,-7.53000021,-7,-6.179999828,0,0,0,-0.090000004,0.310000002,0.100000001,-0.100000001,-0.01,-0.039999999,0.100000001,-0.01,30,0.0016,0.0038,-0.0016,-0.0025,0,-0.045000002,0.204999998,-0.055,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.002754579,0,-0.001636364,-0.003818182,-0.001636364,-0.002,0.109999999,0.205000002,-0.055000001,0.030000001,-155,-85.16483516
-165,-6.75,-7.5,-7.019999981,0,0,0,-0.189999998,0.310000002,0.100000001,-0.100000001,-0.01,-0.100000001,0.100000001,-0.01,44,0.0035,0.0038,-0.0016,-0.0035,0,-0.094999999,0.204999998,-0.055,-0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.002468864,0,-0.003454545,-0.003818182,-0.001636364,-0.002,0.060000002,0.205000002,-0.055000001,0,-165,-90.65934066
