#CH_000_1a_2	CH_001_1a_2	CH_002_1a_2	CH_003_1a_2	GAMMA_1a_2	#CH_000_1a_2
-516.000000	-178.949997	-178.500000	-178.949997	-0.065527	-516.000000
-501.000000	-165.880005	-164.500000	-165.880005	-0.060744	-501.000000
-471.000000	-151.740005	-150.000000	-151.740005	-0.055564	-471.000000
-451.000000	-89.080002	-88.500000	-88.019997	-0.032615	-451.000000
-441.000000	-85.739998	-85.000000	-84.540001	-0.031392	-441.000000
-426.000000	-44.029999	-43.500000	-43.340000	-0.016110	-426.000000
-416.000000	-40.209999	-40.000000	-39.919998	-0.014711	-416.000000
-411.000000	-38.599998	-38.500000	-38.139999	-0.014125	-411.000000
-386.000000	-35.270000	-35.500000	-34.540001	-0.012908	-386.000000
-366.000000	-31.500000	-31.500000	-30.940001	-0.011527	-366.000000
-351.000000	-29.540001	-30.000000	-29.160000	-0.010810	-351.000000
-315.000000	-26.010000	-26.000000	-25.559999	-0.009520	-315.000000
-310.000000	-21.440001	-21.000000	-20.540001	-0.007846	-310.000000
-295.000000	-19.290001	-19.500000	-18.900000	-0.007059	-295.000000
-275.000000	-17.299999	-17.500000	-17.200001	-0.006330	-275.000000
-270.000000	-16.000000	-17.000000	-16.379999	-0.005853	-270.000000
-250.000000	-14.940000	-15.000000	-14.700000	-0.005465	-250.000000
-230.000000	-13.400000	-13.500000	-13.020000	-0.004905	-230.000000
-220.000000	-12.260000	-13.000000	-12.180000	-0.004487	-220.000000
-195.000000	-10.730000	-11.000000	-10.500000	-0.003927	-195.000000
-190.000000	-8.880000	-9.000000	-8.680000	-0.003249	-190.000000
-180.000000	-8.130000	-8.500000	-7.840000	-0.002974	-180.000000
-165.000000	-6.750000	-7.500000	-7.020000	-0.002469	-165.000000
-155.000000	-7.530000	-7.000000	-6.180000	-0.002755	-155.000000
-150.000000	-6.240000	-6.500000	-5.780000	-0.002282	-150.000000
-140.000000	-5.000000	-6.000000	-4.940000	-0.001828	-140.000000
-125.000000	-4.480000	-5.000000	-3.840000	-0.001637	-125.000000
-120.000000	-3.430000	-4.500000	-3.500000	-0.001256	-120.000000
-110.000000	-3.050000	-4.000000	-2.980000	-0.001114	-110.000000
-100.000000	-2.360000	-3.500000	-2.100000	-0.000861	-100.000000
-95.000000	-2.280000	-3.000000	-1.760000	-0.000832	-95.000000
-85.000000	-1.700000	-2.500000	-1.260000	-0.000619	-85.000000
-70.000000	-1.100000	-2.000000	-0.600000	-0.000399	-70.000000
-60.000000	-0.540000	-1.000000	-0.080000	-0.000194	-60.000000
-45.000000	0.020000	-0.500000	0.580000	0.000011	-45.000000
15.000000	0.690000	0.000000	0.220000	0.000256	15.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15.000000	0.690000	0.000000	0.220000	0.000256	15.000000
35.000000	0.200000	0.500000	0.400000	0.000077	35.000000
45.000000	1.520000	1.000000	0.700000	0.000560	45.000000
60.000000	1.460000	1.500000	1.160000	0.000538	60.000000
75.000000	2.040000	2.000000	1.800000	0.000751	75.000000
85.000000	3.230000	2.500000	2.240000	0.001187	85.000000
105.000000	3.220000	3.000000	3.020000	0.001183	105.000000
110.000000	4.840000	3.500000	3.500000	0.001777	110.000000
120.000000	4.370000	4.000000	3.820000	0.001604	120.000000
125.000000	4.880000	4.500000	4.300000	0.001791	125.000000
140.000000	5.690000	5.000000	4.960000	0.002088	140.000000
155.000000	6.570000	5.500000	5.660000	0.002410	155.000000
160.000000	6.900000	6.000000	6.080000	0.002531	160.000000
180.000000	7.620000	7.000000	6.860000	0.002795	180.000000
190.000000	7.960000	8.000000	7.700000	0.002919	190.000000
200.000000	8.840000	8.500000	8.120000	0.003242	200.000000
210.000000	9.720000	9.000000	8.940000	0.003564	210.000000
225.000000	10.500000	10.000000	9.800000	0.003850	225.000000
230.000000	10.940000	10.500000	10.220000	0.004011	230.000000
245.000000	12.080000	12.000000	11.900000	0.004429	245.000000
275.000000	13.670000	13.500000	13.600000	0.005011	275.000000
300.000000	15.460000	15.000000	15.320000	0.005667	300.000000
310.000000	16.830000	16.000000	16.120001	0.006168	310.000000
330.000000	18.860001	17.500000	17.780001	0.006908	330.000000
346.000000	20.000000	19.000000	19.480000	0.007326	346.000000
356.000000	21.020000	20.000000	20.340000	0.007700	356.000000
381.000000	28.530001	27.500000	27.540001	0.010454	381.000000
411.000000	31.559999	31.500000	31.200001	0.011564	411.000000
426.000000	33.610001	33.000000	32.980000	0.012311	426.000000
451.000000	36.959999	36.500000	36.540001	0.013538	451.000000
476.000000	40.919998	39.500000	40.040001	0.014989	476.000000
481.000000	42.720001	41.500000	41.759998	0.015648	481.000000
496.000000	56.389999	55.000000	55.340000	0.020659	496.000000
546.000000	63.639999	63.000000	62.540001	0.023311	546.000000
581.000000	71.720001	70.000000	69.680000	0.026267	581.000000
596.000000	74.019997	74.000000	73.099998	0.027110	596.000000
621.000000	81.279999	81.000000	79.739998	0.029769	621.000000
646.000000	88.519997	88.500000	86.860001	0.032421	646.000000
751.000000	132.309998	132.000000	132.309998	0.048458	751.000000
796.000000	139.740005	139.000000	139.740005	0.051179	796.000000
891.000000	154.029999	153.000000	154.029999	0.056410	891.000000
996.000000	169.050003	167.500000	169.050003	0.061912	996.000000
1042.000000	176.210007	174.500000	176.210007	0.064535	1042.000000
