CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
10,0.5,0,0,0.01,0.01,0,0,0,0,0,0.01,-0.01,-0.02,-0.01,-53,0,0,-0.0002,0.0002,0,0,0,0.005,-0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000186813,0,0,0,-0.000181818,0.000181818,0,0,0.005,-0.015,10,5.494505495
35,0.319999993,0.5,0,0.01,0.01,0,0,0,0,0,0.01,-0.01,-0.029999999,0,-74,0,0,-0.0002,0.0003,0,0,0,0.005,-0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000117216,0,0,0,-0.000181818,0.000545455,0,0,0.005,-0.02,35,19.23076923
170,1.159999967,1,0.560000002,0.01,0.01,0,0.050000001,0,0,0,0.01,-0.090000004,-0.109999999,-0.01,-48,-0.0009,0,-0.0002,0.0004,0,0.025,0,0.005,-0.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000428571,0,0.000909091,0,-0.000181818,0.001818182,0.025,0,0.005,-0.100000001,170,93.40659341
220,1.5,1.5,0.959999979,0.01,0.01,0,0.090000004,0,0,0,0.039999999,-0.090000004,-0.140000001,-0.01,-60,-0.0016,0,-0.0007,0.001,0,0.045000002,0,0.02,-0.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000553114,0,0.001636364,0,-0.000727273,0.002363636,0.045000002,0,0.02,-0.115000002,220,120.8791209
265,1.679999948,2,1.379999995,0.01,0.01,0,0.090000004,0,0,0,0.059999999,-0.090000004,-0.189999998,-0.01,-57,-0.0016,0,-0.0011,0.0017,0,0.045000002,0,0.029999999,-0.137500003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000619048,0,0.001636364,0,-0.001090909,0.003272727,0.045000002,0,0.029999999,-0.140000001,265,145.6043956
315,2.569999933,2.5,2.019999981,0.01,0.01,0.100000001,0.180000007,0,0,0.100000001,0.109999999,-0.189999998,-0.239999995,-0.01,-43,-0.0015,0,-0.0002,0.0009,0,0.140000001,0,0.104999997,-0.215000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000945055,0,0.001454546,0,-0.000181818,0.004181818,0.090000004,0,0.105,-0.214999996,315,173.0769231
325,2.980000019,3,2.200000048,0.01,0.01,0.100000001,0.189999998,0,0,0.100000001,0.109999999,-0.180000007,-0.25,0,-92,-0.0016,0,-0.0002,0.0012,0,0.144999996,0,0.104999997,-0.212500006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001091575,0,0.001636364,0,-0.000181818,0.004545455,0.094999999,0,0.105,-0.215000004,325,178.5714286
376,3.289999962,3.5,3.039999962,0.01,0,0.100000001,0.189999998,0,0,0.100000001,0.100000001,-0.180000007,-0.25999999,0,-57,-0.0016,0,0,0.0015,0,0.144999996,0,0.100000001,-0.219999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001205128,4.31034E-06,0.001636364,0,0,0.004727273,0.094999999,0,0.100000001,-0.219999999,376,206.5934066
411,4.369999886,4,3.700000048,0.01,0.01,0.100000001,0.280000001,0,0,0.100000001,0.109999999,-0.280000001,-0.289999992,0,-45,-0.0033,0,-0.0002,0.0003,0,0.189999998,0,0.104999997,-0.287499994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001600733,0,0.003272727,0,-0.000181818,0.005272727,0.140000001,0,0.105,-0.284999996,411,225.8241758
446,4.760000229,4.5,4.619999886,0.01,0.01,0.230000004,0.409999996,0,0,0.100000001,0.100000001,-0.280000001,-0.400000006,-0.01,-101,-0.0033,0,0,0.0021,0,0.319999993,0,0.100000001,-0.337500006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001747253,0,0.003272727,0,0,0.007090909,0.204999998,0,0.100000001,-0.340000004,446,245.0549451
