CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
-15,-0.689999998,0,0.02,0,0,0,-0.100000001,3.799999952,-5.139999866,0,0,0,0.039999999,0,130,0.0018,0.162499994,0,-0.0007,0,-0.050000001,-0.670000017,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000252747,0,-0.001818182,-0.162545451,0,-0.000727273,1.849999975,-0.669999957,0,0.02,-15,-8.241758242
-190,-0.419999987,-0.5,-0.039999999,0,0,0.100000001,-0.01,3.799999952,-5.139999866,-0.300000012,-0.200000003,0.100000001,0.270000011,0,-96,0.002,0.162499994,-0.0018,-0.003,0,0.045000002,-0.670000017,-0.25,0.182500005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000153846,0,-0.002,-0.162545451,-0.001818182,-0.004909091,1.894999976,-0.669999957,-0.250000007,0.185000006,-190,-104.3956044
-210,-0.5,-1,-0.200000003,0,0.01,0.100000001,0,3.799999952,-5.139999866,-0.310000002,-0.219999999,0.170000002,0.289999992,0,-104,0.0018,0.162499994,-0.0016,-0.0023,0,0.050000001,-0.670000017,-0.264999986,0.232500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.00018315,-4.31034E-06,-0.001818182,-0.162545451,-0.001636364,-0.005272727,1.899999976,-0.669999957,-0.265000001,0.229999997,-210,-115.3846154
-240,-1.00999999,-1.5,-0.5,0,0,0.100000001,0,3.789999962,-5.139999866,-0.409999996,-0.289999992,0.189999998,0.340000004,0,-115,0.0018,0.162400007,-0.0022,-0.0027,0,0.050000001,-0.675000012,-0.349999994,0.264999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000369963,0,-0.001818182,-0.162363633,-0.002181818,-0.006181818,1.894999981,-0.674999952,-0.349999994,0.265000001,-240,-131.8681319
-295,-1.730000019,-2,-1.139999986,0,0.01,0.100000001,0,3.799999952,-5.139999866,-0.610000014,-0.469999999,0.280000001,0.439999998,0,-47,0.0018,0.162499994,-0.0025,-0.0028,0,0.050000001,-0.670000017,-0.540000021,0.357499987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.0006337,-4.31034E-06,-0.001818182,-0.162545451,-0.002545455,-0.008,1.899999976,-0.669999957,-0.540000007,0.359999999,-295,-162.0879121
-330,-2.00999999,-2.5,-1.600000024,0,0.01,0.100000001,0,3.789999962,-5.139999866,-0.709999979,-0.569999993,0.379999995,0.540000021,-0.01,-98,0.0018,0.162400007,-0.0025,-0.0028,0,0.050000001,-0.675000012,-0.639999986,0.457500011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000732601,-4.31034E-06,-0.001818182,-0.162363633,-0.002545454,-0.01,1.894999981,-0.674999952,-0.639999986,0.460000008,-330,-181.3186813
-386,-2.630000114,-3,-2.099999905,0,0,0.100000001,0,3.789999962,-5.139999866,-0.819999993,-0.670000017,0.389999986,0.629999995,0,-60,0.0018,0.162400007,-0.0027,-0.0044,0,0.050000001,-0.675000012,-0.745000005,0.50999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.00096337,0,-0.001818182,-0.162363633,-0.002727272,-0.011454545,1.894999981,-0.674999952,-0.745000005,0.50999999,-386,-212.0879121
-411,-2.869999886,-3.5,-2.420000076,0,-0.02,0.100000001,0,3.799999952,-5.139999866,-0.920000017,-0.769999981,0.469999999,0.689999998,-0.01,-60,0.0018,0.162499994,-0.0027,-0.004,0,0.050000001,-0.670000017,-0.845000029,0.579999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.001047619,8.62069E-06,-0.001818182,-0.162545451,-0.002727273,-0.012727273,1.899999976,-0.669999957,-0.844999999,0.579999998,-411,-225.8241758
-481,-3.579999924,-4,-3.24000001,0,-0.02,0.100000001,0,3.799999952,-5.139999866,-1.120000005,-0.949999988,0.569999993,0.810000002,-0.01,-97,0.0018,0.162499994,-0.0031,-0.0044,0,0.050000001,-0.670000017,-1.034999967,0.689999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.001307692,8.62069E-06,-0.001818182,-0.162545451,-0.003090909,-0.014909091,1.899999976,-0.669999957,-1.034999996,0.689999998,-481,-264.2857143
-531,-4.329999924,-4.5,-3.700000048,0,-0.02,0.100000001,0,3.849999905,-5.139999866,-1.220000029,-1.019999981,0.610000014,0.889999986,-0.01,-113,0.0018,0.163499996,-0.0036,-0.0051,0,0.050000001,-0.644999981,-1.120000005,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.001582418,8.62069E-06,-0.001818182,-0.163454541,-0.003636365,-0.016363636,1.924999952,-0.644999981,-1.120000005,0.75,-531,-291.7582418
-641,-5.53000021,-5,-4.920000076,0,-0.059999999,0.479999989,0.370000005,3.900000095,-5.139999866,-1.529999971,-1.429999948,0.75999999,1.080000043,-0.01,-86,0.002,0.164399996,-0.0018,-0.0057,0,0.425000012,-0.620000005,-1.480000019,0.917500019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.002021978,2.58621E-05,-0.002,-0.164363636,-0.001818182,-0.019818183,2.13500005,-0.619999886,-1.479999959,0.920000017,-641,-352.1978022
