CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
5,-1.460000038,0,0.039999999,0.01,0.01,0,0,0,0,-0.01,0,0,-0.01,0,-21,37,48,33,33,-4,1,-26,-50,-10,-24,-17,-2,-34,-18,-41,-36,-14,2,-5,-6,-11,-27,-22,-3,10,6,4,-16,,,,,,,,,,,,,-0.000534799,0,0,0,-0.000181818,0.000181818,0,0,-0.005,-0.005,5,2.747252747
-215,-1.00999999,-0.5,1.299999952,0.01,0.01,-0.100000001,-0.100000001,-0.01,0,0.090000004,0.109999999,0.119999997,0.180000007,0,75,17,0,23,35,20,28,-11,-52,-7,-21,-4,12,-14,-16,-25,-38,-14,-12,-10,-11,-15,-13,-13,-17,-2,-7,0,-10,,,,,,,,,,,,,-0.000369963,0,0,0.000181818,-0.000363636,-0.003272727,-0.055000001,-0.005,0.100000001,0.150000002,-215,-118.1318681
-310,-2.069999933,-1,0.680000007,0.01,0.01,-0.100000001,-0.129999995,0,0,-0.01,0.100000001,0.219999999,0.289999992,-0.039999999,92,16,67,29,35,23,23,-12,-38,-5,-15,4,8,-21,-3,-29,-33,-13,-11,2,0,-14,-10,-19,-5,1,-7,11,-4,,,,,,,,,,,,,-0.00074359,0,-0.000545454,0,-0.002,-0.006,-0.064999998,0,0.045000001,0.254999995,-310,-170.3296703
-401,-2.299999952,-1.5,0.02,0.01,0.01,-0.100000001,-0.189999998,0.100000001,0,-0.01,0.090000004,0.409999996,0.479999989,-0.109999999,42,3,31,22,19,-1,15,-30,-53,9,13,-23,-7,-39,-23,-48,-35,-30,-24,5,19,-29,-21,-25,-15,-10,-6,-4,-22,,,,,,,,,,,,,-0.000802198,0,-0.001636364,-0.001818182,-0.001818182,-0.010727273,-0.044999998,0.050000001,0.040000002,0.444999993,-401,-220.3296703
-456,-3.440000057,-2,-0.479999989,0.01,0.01,-0.100000001,-0.189999998,0.100000001,0,-0.01,0.050000001,0.5,0.589999974,-0.109999999,13,14,50,15,34,10,10,-29,-52,-7,-1,0,-15,-44,-11,-42,-46,-25,-24,-16,14,-17,-31,-41,-15,-11,-20,-4,-24,,,,,,,,,,,,,-0.00121978,0,-0.001636364,-0.001818182,-0.001090909,-0.012727272,-0.044999998,0.050000001,0.02,0.544999987,-456,-250.5494505
-506,-3.730000019,-2.5,-1,0.01,0.01,-0.100000001,-0.189999998,0.100000001,0.109999999,-0.01,0.050000001,0.689999998,0.769999981,-0.109999999,74,34,35,30,33,19,26,-12,-33,-13,-13,-1,5,-25,-6,-28,-35,-15,-10,1,4,-12,-12,-19,-5,-4,-12,6,-7,,,,,,,,,,,,,-0.001326007,0,-0.001636364,0.000181818,-0.001090909,-0.016,-0.044999998,0.105,0.02,0.729999989,-506,-278.021978
-556,-3.559999943,-3,-1.480000019,0.01,0.01,-0.100000001,-0.189999998,0.100000001,0.100000001,-0.100000001,0.050000001,0.860000014,0.939999998,-0.109999999,-30,7,22,18,23,1,4,-24,-43,-13,5,-8,-10,-39,-17,-46,-49,-29,-22,-16,8,-28,-37,-31,-19,-15,-18,-16,-21,,,,,,,,,,,,,-0.001263736,0,-0.001636364,0,-0.002727273,-0.019090909,-0.044999998,0.100000001,-0.025,0.900000006,-556,-305.4945055
-611,-4.630000114,-3.5,-2.160000086,0.01,0.01,-0.100000001,-0.189999998,0.200000003,0.100000001,-0.100000001,0.050000001,1.070000052,1.159999967,-0.109999999,59,29,44,25,27,1,18,-22,-36,-3,-12,-18,3,-38,-12,-39,-36,-13,-8,0,1,-22,-21,-20,-3,3,-7,-1,-18,,,,,,,,,,,,,-0.001655678,0,-0.001636364,-0.001818182,-0.002727273,-0.023090908,0.005000003,0.150000002,-0.025,1.11500001,-611,-335.7142857
-656,-5.150000095,-4,-2.660000086,0.01,0.01,-0.100000001,-0.189999998,0.200000003,0.100000001,-0.100000001,0.050000001,1.220000029,1.320000052,-0.109999999,67,24,62,37,31,2,13,-16,-37,18,-12,-18,4,-40,-11,-31,-28,-8,-6,3,-11,-23,-15,-18,-4,12,4,6,-17,,,,,,,,,,,,,-0.001846154,0,-0.001636364,-0.001818182,-0.002727273,-0.026000001,0.005000003,0.150000002,-0.025,1.270000041,-656,-360.4395604
-746,-6.690000057,-4.5,-3.799999952,-0.050000001,0.01,-0.189999998,-0.280000001,0.200000003,0.159999996,-0.100000001,0.150000006,1.620000005,1.720000029,-0.109999999,153,14,47,41,45,40,32,-19,-65,-13,-46,1,21,-29,-9,-33,-51,-17,0,17,-11,-14,-20,-26,-8,6,12,18,-18,,,,,,,,,,,,,-0.002410256,-2.58621E-05,-0.001636364,-0.000727273,-0.004545455,-0.033272728,-0.039999999,0.18,0.025000002,1.670000017,-746,-409.8901099
