#CH_000_3b_2,CH_001_3b_2,CH_002_3b_2,CH_003_3b_2,GAMMA_3b_2,#CH_000_3b_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,-1.460000,0.000000,0.040000,-0.000535,5.000000
-215.000000,-1.010000,-0.500000,1.300000,-0.000370,-215.000000
-310.000000,-2.070000,-1.000000,0.680000,-0.000744,-310.000000
-401.000000,-2.300000,-1.500000,0.020000,-0.000802,-401.000000
-456.000000,-3.440000,-2.000000,-0.480000,-0.001220,-456.000000
-506.000000,-3.730000,-2.500000,-1.000000,-0.001326,-506.000000
-556.000000,-3.560000,-3.000000,-1.480000,-0.001264,-556.000000
-611.000000,-4.630000,-3.500000,-2.160000,-0.001656,-611.000000
-656.000000,-5.150000,-4.000000,-2.660000,-0.001846,-656.000000
-746.000000,-6.690000,-4.500000,-3.800000,-0.002410,-746.000000
-816.000000,-7.320000,-5.500000,-4.620000,-0.002641,-816.000000
-851.000000,-7.630000,-6.000000,-5.100000,-0.002755,-851.000000
-916.000000,-8.560000,-6.500000,-5.940000,-0.003095,-916.000000
-951.000000,-9.170000,-7.000000,-6.360000,-0.003319,-951.000000
-1012.000000,-10.070000,-7.500000,-7.200000,-0.003648,-1012.000000
-1067.000000,-10.490000,-8.500000,-8.040000,-0.003802,-1067.000000
-1072.000000,-9.900000,-9.000000,-8.320000,-0.003586,-1072.000000
-1097.000000,-12.080000,-9.500000,-9.200000,-0.004385,-1097.000000
-1212.000000,-13.690000,-11.500000,-10.880000,-0.004974,-1212.000000
-1272.000000,-14.700000,-12.500000,-11.740000,-0.005344,-1272.000000
-1377.000000,-16.080000,-14.500000,-13.460000,-0.005850,-1377.000000
-1532.000000,-17.959999,-16.500000,-16.020000,-0.006502,-1532.000000
-1632.000000,-19.980000,-18.000000,-17.680000,-0.007242,-1632.000000
-1678.000000,-21.160000,-19.000000,-18.559999,-0.007674,-1678.000000
-1688.000000,-24.240000,-22.000000,-21.700001,-0.008802,-1688.000000
-1783.000000,-26.180000,-24.000000,-23.540001,-0.009513,-1783.000000
-1933.000000,-29.540001,-27.000000,-27.180000,-0.010707,-1933.000000
-1998.000000,-31.250000,-28.500000,-29.040001,-0.011333,-1998.000000
-2108.000000,-34.910000,-32.500000,-32.740002,-0.012634,-2108.000000
-2208.000000,-38.259998,-36.500000,-36.400002,-0.013861,-2208.000000
-2248.000000,-40.360001,-38.000000,-38.259998,-0.014593,-2248.000000
-2268.000000,-43.700001,-41.000000,-41.660000,-0.015817,-2268.000000
