CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
0,-0.029999999,0,0,0.01,0,0,0.039999999,0,0,0,0,0,-0.01,0,66,-0.0007,0,0,1E-04,0,0.02,0,0,-0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-1.0989E-05,4.31034E-06,0.000727273,0,0,0.000181818,0.02,0,0,-0.005,0,0
25,-0.090000004,0.5,0.02,0.01,0,0,0.039999999,0,0,0,0,0,-0.01,0,29,-0.0007,0,0,0.0002,0,0.02,0,0,-0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-3.2967E-05,4.31034E-06,0.000727273,0,0,0.000181818,0.02,0,0,-0.005,25,13.73626374
80,-0.029999999,1,0.02,0.01,0,0,0.050000001,0,0,0,0.01,0,-0.039999999,0,50,-0.0009,0,-0.0002,0.0008,0,0.025,0,0.005,-0.022500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-1.0989E-05,4.31034E-06,0.000909091,0,-0.000181818,0.000727273,0.025,0,0.005,-0.02,80,43.95604396
120,1.019999981,1.5,0.319999993,0.01,0,0,0.07,0,0,0,0.01,0,-0.059999999,0,17,-0.0013,0,-0.0002,0.0011,0,0.035,0,0.005,-0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000373626,4.31034E-06,0.001272727,0,-0.000181818,0.001090909,0.035,0,0.005,-0.029999999,120,65.93406593
155,1.309999943,2,1,0.01,0,0,0.100000001,0,0,0,0.01,0,-0.079999998,0,22,-0.0018,0,-0.0002,0.0015,0,0.050000001,0,0.005,-0.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000479853,4.31034E-06,0.001818182,0,-0.000181818,0.001454545,0.050000001,0,0.005,-0.039999999,155,85.16483516
180,1.75999999,2.5,1.5,0.01,0,0,0.100000001,0,0,0,0.01,0,-0.100000001,0,43,-0.0018,0,-0.0002,0.0017,0,0.050000001,0,0.005,-0.047499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000644689,4.31034E-06,0.001818182,0,-0.000181818,0.001818182,0.050000001,0,0.005,-0.050000001,180,98.9010989
200,2.400000095,3,2.019999981,0.01,0,0,0.100000001,0,0,0,0.01,-0.02,-0.109999999,0,57,-0.0018,0,-0.0002,0.0015,0,0.050000001,0,0.005,-0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000879121,4.31034E-06,0.001818182,0,-0.000181818,0.002,0.050000001,0,0.005,-0.064999999,200,109.8901099
225,3.079999924,3.5,2.680000067,0.01,0,0,0.100000001,0,0,0.02,0.01,-0.100000001,-0.129999995,0,36,-0.0018,0,0.0002,0.0005,0,0.050000001,0,0.015,-0.115000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001128205,4.31034E-06,0.001818182,0,0.000181818,0.002363636,0.050000001,0,0.015,-0.114999998,225,123.6263736
245,3.339999914,4,3.200000048,0.01,0,0.100000001,0.100000001,-0.01,0,0.059999999,0.01,-0.090000004,-0.159999996,0,51,0,-0.0002,0.0009,0.0012,0,0.100000001,-0.005,0.035,-0.122500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001223443,4.31034E-06,0,0.000181818,0.000909091,0.002909091,0.045000001,-0.005,0.034999999,-0.125,245,134.6153846
265,4.369999886,4.5,3.700000048,0.01,0,0.100000001,0.109999999,-0.059999999,-0.01,0.109999999,0.01,-0.100000001,-0.180000007,0,49,-0.0002,-0.0009,0.0018,0.0015,0,0.104999997,-0.035,0.059999999,-0.140000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001600733,4.31034E-06,0.000181818,0.000909091,0.001818182,0.003272727,0.025,-0.034999999,0.06,-0.140000004,265,145.6043956
285,5.019999981,5,4.380000114,0.01,0,0.100000001,0.189999998,-0.100000001,0,0.100000001,0.01,-0.100000001,-0.209999993,0,21,-0.0016,-0.0018,0.0016,0.0019,0,0.144999996,-0.050000001,0.055,-0.152500004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001838828,4.31034E-06,0.001636364,0.001818182,0.001636364,0.003818182,0.044999998,-0.050000001,0.055000001,-0.154999997,285,156.5934066
305,5.230000019,5.5,4.940000057,0.01,0.01,0.100000001,0.200000003,-0.100000001,0,0.100000001,0.01,-0.090000004,-0.219999999,-0.01,48,-0.0018,-0.0018,0.0016,0.0023,0,0.150000006,-0.050000001,0.055,-0.152500004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001919414,0,0.001818182,0.001818182,0.001636364,0.003818182,0.050000001,-0.050000001,0.055000001,-0.155000001,305,167.5824176
336,6.269999981,6.5,5.760000229,0.01,0.01,0.100000001,0.200000003,-0.109999999,0,0.100000001,0,-0.100000001,-0.239999995,0,25,-0.0018,-0.002,0.0018,0.0025,0,0.150000006,-0.055,0.050000001,-0.170000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.002296703,0,0.001818182,0.002,0.001818182,0.004363636,0.045000002,-0.055,0.050000001,-0.169999998,336,184.6153846
361,7.349999905,7,6.599999905,0.01,0.01,0.100000001,0.219999999,-0.100000001,0,0.109999999,-0.02,-0.100000001,-0.25999999,-0.01,63,-0.0022,-0.0018,0.0024,0.0028,0,0.159999996,-0.050000001,0.045000002,-0.177499995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.002695971,0,0.002181818,0.001818182,0.002363636,0.004545454,0.059999999,-0.050000001,0.045,-0.179999996,361,198.3516484
371,7.269999981,7.5,7.019999981,0.01,0.01,0.100000001,0.289999992,-0.100000001,0,0.109999999,-0.02,-0.100000001,-0.25999999,-0.01,62,-0.0035,-0.0018,0.0024,0.0029,0,0.194999993,-0.050000001,0.045000002,-0.180000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.002666667,0,0.003454545,0.001818182,0.002363636,0.004545454,0.094999995,-0.050000001,0.045,-0.179999996,371,203.8461538
396,8.260000229,8.5,7.840000153,0.01,0.01,0.159999996,0.289999992,-0.109999999,0,0.109999999,-0.02,-0.090000004,-0.280000001,0,34,-0.0024,-0.002,0.0024,0.0034,0,0.224999994,-0.055,0.045000002,-0.182500005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.003025641,0,0.002363636,0.002,0.002363636,0.005090909,0.089999996,-0.055,0.045,-0.185000002,396,217.5824176
416,9.050000191,9,8.680000305,0.01,0.01,0.189999998,0.289999992,-0.100000001,0,0.100000001,-0.029999999,-0.090000004,-0.289999992,-0.01,80,-0.0018,-0.0018,0.0024,0.0035,0,0.239999995,-0.050000001,0.035,-0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.003318681,0,0.001818182,0.001818182,0.002363636,0.005090909,0.094999995,-0.050000001,0.035000001,-0.189999998,416,228.5714286
431,9.68999958,9.5,9.100000381,0.01,0.01,0.189999998,0.289999992,-0.100000001,0,0.109999999,-0.029999999,-0.090000004,-0.289999992,0,45,-0.0018,-0.0018,0.0025,0.0036,0,0.239999995,-0.050000001,0.039999999,-0.189999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.00354945,0,0.001818182,0.001818182,0.002545455,0.005272727,0.094999995,-0.050000001,0.04,-0.189999998,431,236.8131868
446,10.15999985,10,9.899999619,0.01,0.01,0.200000003,0.319999993,-0.100000001,0,0.100000001,-0.029999999,-0.090000004,-0.289999992,0,47,-0.0022,-0.0018,0.0024,0.0037,0,0.25999999,-0.050000001,0.035,-0.192499995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.003721612,0,0.002181818,0.001818182,0.002363636,0.005272727,0.109999996,-0.050000001,0.035000001,-0.189999998,446,245.0549451
476,12.67000008,12.5,11.97999954,0.01,0.01,0.189999998,0.389999986,-0.100000001,0,0.209999993,-0.029999999,-0.100000001,-0.300000012,-0.01,57,-0.0036,-0.0018,0.0044,0.0037,0,0.289999992,-0.050000001,0.090000004,-0.202500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.004644689,0,0.003636363,0.001818182,0.004363636,0.005272727,0.144999992,-0.050000001,0.089999997,-0.200000007,476,261.5384615
501,13.11999989,13,12.80000019,0.01,0.01,0.189999998,0.389999986,-0.109999999,-0.01,0.200000003,-0.029999999,-0.100000001,-0.340000004,-0.01,18,-0.0036,-0.0018,0.0042,0.0044,0,0.289999992,-0.059999999,0.085000001,-0.219999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.004809524,0,0.003636363,0.001818182,0.004181818,0.006,0.139999993,-0.06,0.085000002,-0.220000003,501,275.2747253
536,15.13000011,15,14.52000046,0.01,0.01,0.189999998,0.479999989,-0.100000001,0,0.200000003,-0.029999999,-0.100000001,-0.400000006,-0.01,56,-0.0053,-0.0018,0.0042,0.0054,0,0.335000008,-0.050000001,0.085000001,-0.247500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.005545788,0,0.005272727,0.001818182,0.004181818,0.007090909,0.189999994,-0.050000001,0.085000002,-0.250000004,536,294.5054945
571,16.38999939,16.5,16.21999931,0.01,0.01,0.189999998,0.49000001,-0.109999999,-0.01,0.209999993,-0.029999999,-0.100000001,-0.430000007,-0.01,97,-0.0055,-0.0018,0.0044,0.006,0,0.340000004,-0.059999999,0.090000004,-0.264999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.006007326,0,0.005454546,0.001818182,0.004363636,0.007636364,0.190000005,-0.06,0.089999997,-0.265000004,571,313.7362637
586,17.29999924,17.5,17.04000092,0.01,0.01,0.200000003,0.569999993,-0.100000001,0,0.209999993,-0.029999999,-0.100000001,-0.460000008,-0.01,141,-0.0067,-0.0018,0.0044,0.0065,0,0.38499999,-0.050000001,0.090000004,-0.280000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.006340659,0,0.006727273,0.001818182,0.004363636,0.008181818,0.234999996,-0.050000001,0.089999997,-0.280000005,586,321.978022
616,19.62000084,19,18.70000076,0.01,0.01,0.289999992,0.569999993,-0.200000003,0.039999999,0.209999993,-0.029999999,-0.150000006,-0.519999981,-0.01,29,-0.0051,-0.0044,0.0044,0.0067,0,0.430000007,-0.079999998,0.090000004,-0.335000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.007190476,0,0.005090909,0.004363636,0.004363636,0.009272727,0.184999995,-0.080000002,0.089999997,-0.334999993,616,338.4615385
646,20.86000061,21,20.42000008,0.01,0.01,0.289999992,0.670000017,-0.209999993,0.100000001,0.310000002,-0.029999999,-0.189999998,-0.550000012,-0.01,38,-0.0069,-0.0056,0.0062,0.0065,0,0.479999989,-0.055,0.140000001,-0.370000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.007644689,0,0.006909091,0.005636364,0.006181818,0.009818182,0.230000012,-0.054999996,0.140000002,-0.370000005,646,354.9450549
656,25.51000023,25,24.86000061,0.01,0,0.289999992,0.769999981,-0.209999993,0.100000001,0.310000002,0.02,-0.100000001,-0.560000002,-0.02,92,-0.0087,-0.0056,0.0053,0.0084,0,0.529999971,-0.055,0.165000007,-0.330000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.009351648,4.31034E-06,0.008727273,0.005636364,0.005272727,0.009818182,0.279999994,-0.054999996,0.165000001,-0.330000002,656,360.4395604
701,27.02000046,27,26.81999969,0.01,0,0.289999992,0.860000014,-0.209999993,0.100000001,0.319999993,0.02,-0.100000001,-0.620000005,-0.02,39,-0.0104,-0.0056,0.0055,0.0095,0,0.574999988,-0.055,0.170000002,-0.360000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.009904762,4.31034E-06,0.010363637,0.005636364,0.005454545,0.010909091,0.32500001,-0.054999996,0.169999996,-0.360000003,701,385.1648352
761,30.79999924,30.5,30.36000061,0.01,0,0.360000014,0.949999988,-0.209999993,0.100000001,0.409999996,-0.02,-0.100000001,-0.699999988,-0.02,77,-0.0107,-0.0056,0.0078,0.011,0,0.654999971,-0.055,0.194999993,-0.402500004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.011289377,4.31034E-06,0.010727272,0.005636364,0.007818182,0.012363636,0.369999997,-0.054999996,0.194999998,-0.399999995,761,418.1318681
781,32.68000031,32,32.13999939,0.01,0,0.389999986,1,-0.209999993,0.100000001,0.409999996,-0.02,-0.090000004,-0.75,-0.02,60,-0.0111,-0.0056,0.0078,0.0119,0,0.694999993,-0.055,0.194999993,-0.417499989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.011978022,4.31034E-06,0.011090909,0.005636364,0.007818182,0.013272727,0.395000003,-0.054999996,0.194999998,-0.420000002,781,429.1208791
