CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
15,0.270000011,0,0,0,0.01,0,0,0,0,0,0,0,-0.02,0,58,-14,-34,-4,21,1,5,-11,-32,-12,-5,3,-6,-30,-27,-44,-67,-30,-28,-30,0,-29,-38,-41,-29,-7,-11,-7,-26,,,,,,,,,,,,,9.89011E-05,-4.31034E-06,0,0,0,0.000363636,0,0,0,-0.01,15,8.241758242
45,0.349999994,0.5,0,0,0.01,0,0,0,0,0,0,0,-0.039999999,0,64,3,3,3,25,13,18,2,-3,10,-8,6,12,-12,-12,-24,-36,-16,-14,-3,-3,-18,-11,-17,-10,13,9,5,-8,,,,,,,,,,,,,0.000128205,-4.31034E-06,0,0,0,0.000727273,0,0,0,-0.02,45,24.72527473
65,0.75,1,0.419999987,0,0.01,0,0,0,0,0,0,0,-0.050000001,0,59,8,13,16,24,9,6,1,-8,-9,-11,7,-7,-25,-7,-24,-47,-13,-5,-9,-12,-18,-24,-26,-11,12,-9,3,-18,,,,,,,,,,,,,0.000274725,-4.31034E-06,0,0,0,0.000909091,0,0,0,-0.025,65,35.71428571
90,1.830000043,2,1.179999948,0,0.01,0,0,0,0,0,0,0,-0.059999999,0,47,-14,-17,17,18,12,14,-9,-21,-10,-4,6,2,-27,-30,-27,-47,-20,-10,0,1,-28,-21,-20,-15,10,1,-9,-25,,,,,,,,,,,,,0.00067033,-4.31034E-06,0,0,0,0.001090909,0,0,0,-0.029999999,90,49.45054945
105,2.24000001,2.5,1.779999971,0,0.01,0.100000001,0,0,0.050000001,0,0,0.029999999,-0.059999999,0,46,2,9,18,25,16,22,2,-5,-3,-16,-3,9,-11,-13,-16,-39,-5,-6,2,-16,-19,-11,-10,-4,18,7,2,-11,,,,,,,,,,,,,0.000820513,-4.31034E-06,-0.001818182,0.000909091,0,0.001090909,0,0.025,0,-0.015,105,57.69230769
120,2.960000038,3,2.299999952,0,0.01,0.100000001,0.079999998,0,0.039999999,0.029999999,0,0.029999999,-0.059999999,0,54,0,-2,12,9,3,11,0,0,-9,13,-22,-10,-26,-14,-16,-35,-14,-13,-10,2,-27,-25,-13,-5,9,-12,-28,-27,,,,,,,,,,,,,0.001084249,-4.31034E-06,-0.000363636,0.000727273,0.000545455,0.001090909,0.039999999,0.02,0.015,-0.015,120,65.93406593
135,3.220000029,3.5,2.779999971,0,0.01,0.100000001,0.090000004,0,0.050000001,0.100000001,0,0.029999999,-0.059999999,0,38,8,-3,12,26,19,14,0,-19,-24,-3,22,4,-13,-11,-23,-63,-16,-1,-9,16,-2,-22,-28,-9,6,-7,8,-11,,,,,,,,,,,,,0.001179487,-4.31034E-06,-0.000181818,0.000909091,0.001818182,0.001090909,0.045000002,0.025,0.050000001,-0.015,135,74.17582418
150,3.980000019,4,3.319999933,0,0.02,0.100000001,0.090000004,0,0.050000001,0.100000001,0,0.029999999,-0.059999999,0,48,3,1,14,14,12,7,-3,-11,-14,-9,15,4,-18,-10,-19,-52,-10,-13,-19,-10,-19,-20,-26,-21,8,-2,7,-3,,,,,,,,,,,,,0.001457875,-8.62069E-06,-0.000181818,0.000909091,0.001818182,0.001090909,0.045000002,0.025,0.050000001,-0.015,150,82.41758242
160,4.119999886,4.5,3.779999971,0,0.01,0.100000001,0.100000001,0,0.039999999,0.100000001,0,0.029999999,-0.07,0,35,-13,-2,9,17,15,17,-6,-29,-21,-16,-2,-2,-19,-28,-37,-60,-28,-26,-6,0,-27,-22,-30,-28,-1,0,2,-15,,,,,,,,,,,,,0.001509157,-4.31034E-06,0,0.000727273,0.001818182,0.001272727,0.050000001,0.02,0.050000001,-0.02,160,87.91208791
175,4.900000095,5,4.320000172,0,0.01,0.100000001,0.189999998,0,0.039999999,0.100000001,0,0.029999999,-0.090000004,0,51,12,2,19,17,12,14,-3,-25,-12,-6,-19,-12,-25,-27,-28,-54,-18,-14,-14,-6,-18,-23,-20,-8,6,-10,-10,-24,,,,,,,,,,,,,0.001794872,-4.31034E-06,0.001636364,0.000727273,0.001818182,0.001636364,0.094999999,0.02,0.050000001,-0.030000002,175,96.15384615
