#CH_000_5a_2,CH_001_5a_2,CH_002_5a_2,CH_003_5a_2,GAMMA_5a_2,#CH_000_5a_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,0.270000,0.000000,0.000000,0.000099,15.000000
45.000000,0.350000,0.500000,0.000000,0.000128,45.000000
65.000000,0.750000,1.000000,0.420000,0.000275,65.000000
90.000000,1.830000,2.000000,1.180000,0.000670,90.000000
105.000000,2.240000,2.500000,1.780000,0.000821,105.000000
120.000000,2.960000,3.000000,2.300000,0.001084,120.000000
135.000000,3.220000,3.500000,2.780000,0.001179,135.000000
150.000000,3.980000,4.000000,3.320000,0.001458,150.000000
160.000000,4.120000,4.500000,3.780000,0.001509,160.000000
175.000000,4.900000,5.000000,4.320000,0.001795,175.000000
180.000000,5.140000,5.500000,4.640000,0.001883,180.000000
210.000000,6.310000,6.500000,5.720000,0.002315,210.000000
245.000000,7.620000,7.500000,7.000000,0.002795,245.000000
265.000000,8.160000,8.000000,7.860000,0.002993,265.000000
275.000000,9.240000,8.500000,8.320000,0.003388,275.000000
295.000000,10.310000,9.500000,9.180000,0.003780,295.000000
315.000000,10.380000,10.500000,10.060000,0.003806,315.000000
336.000000,12.350000,12.000000,11.640000,0.004527,336.000000
351.000000,12.910000,13.000000,12.500000,0.004733,351.000000
381.000000,14.700000,14.500000,14.220000,0.005388,381.000000
411.000000,16.209999,16.500000,15.900000,0.005941,411.000000
421.000000,17.360001,17.500000,16.799999,0.006363,421.000000
441.000000,18.900000,19.000000,18.540001,0.006927,441.000000
446.000000,20.020000,19.500000,19.440001,0.007337,446.000000
461.000000,22.059999,21.000000,21.160000,0.008084,461.000000
501.000000,30.590000,30.000000,29.680000,0.011212,501.000000
516.000000,32.520000,32.500000,31.719999,0.011919,516.000000
541.000000,36.000000,36.000000,35.380001,0.013194,541.000000
556.000000,37.869999,38.000000,37.259998,0.013879,556.000000
576.000000,41.950001,41.500000,40.840000,0.015374,576.000000
601.000000,78.510002,78.500000,76.860001,0.028769,601.000000
621.000000,85.570000,86.000000,83.879997,0.031355,621.000000
631.000000,89.500000,89.500000,87.599998,0.032795,631.000000
