CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
15,0.270000011,0,0,0,0.01,0,0,0,0,0,0,0,-0.02,0,58,-14,-34,-4,21,1,5,-11,-32,-12,-5,3,-6,-30,-27,-44,-67,-30,-28,-30,0,-29,-38,-41,-29,-7,-11,-7,-26,,,,,,,,,,,,,9.89011E-05,-4.31034E-06,0,0,0,0.000363636,0,0,0,-0.01,15,8.241758242
-45,-0.119999997,-0.5,0.200000003,0.01,0.01,0.180000007,0.090000004,0.050000001,0.050000001,0,0,0.029999999,0.01,0,69,2,-4,14,20,14,17,-1,-11,0,-17,7,11,3,-15,-19,-34,-17,-8,-6,-12,-9,-10,-15,-8,6,-2,0,-11,,,,,,,,,,,,,-4.3956E-05,0,-0.001636364,0,0,-0.000181818,0.070000002,0.050000001,0,0.02,-45,-24.72527473
-65,-0.899999976,-1,-0.560000002,0,0.02,0.189999998,0.090000004,0.109999999,0.039999999,0,0,0.029999999,0.029999999,0,52,0,-2,7,29,21,15,-1,-23,-29,-16,-14,0,-27,-23,-37,-67,-13,-19,-11,-3,-24,-27,-28,-10,7,-7,-4,-17,,,,,,,,,,,,,-0.00032967,-8.62069E-06,-0.001818182,-0.001272727,0,-0.000545455,0.100000001,0.074999999,0,0.029999999,-65,-35.71428571
-75,-1.309999943,-1.5,-1.019999981,0.01,0.02,0.189999998,0.100000001,0.109999999,0.050000001,0,0,0.029999999,0.029999999,0,65,-7,-5,15,16,5,15,-2,-20,-22,-24,-28,-4,-38,-24,-35,-67,-17,-17,-8,-9,-33,-21,-22,-7,12,-4,-11,-24,,,,,,,,,,,,,-0.000479853,-4.31034E-06,-0.001636364,-0.001090909,0,-0.000545455,0.105,0.08,0,0.029999999,-75,-41.20879121
-90,-1.769999981,-2,-1.5,0.01,0.02,0.150000006,0.059999999,0.109999999,0.039999999,0,0,0.029999999,0.029999999,0,52,2,2,4,28,12,14,-3,-26,-21,-22,-22,-8,-37,-24,-37,-66,-16,-18,-15,-12,-31,-33,-34,-10,9,-10,-2,-17,,,,,,,,,,,,,-0.000648352,-4.31034E-06,-0.001636364,-0.001272727,0,-0.000545455,0.084999999,0.074999999,0,0.029999999,-90,-49.45054945
-105,-2.609999895,-2.5,-1.980000019,0,0.01,0.129999995,0,0.109999999,0.01,0,0,0.029999999,0.029999999,0,66,-11,-15,-4,20,15,17,-2,-15,-25,-25,-22,-4,-32,-21,-37,-70,-16,-12,-16,-8,-23,-27,-29,-7,9,-15,-9,-21,,,,,,,,,,,,,-0.000956044,-4.31034E-06,-0.002363636,-0.001818182,0,-0.000545455,0.055,0.06,0,0.029999999,-105,-57.69230769
-120,-3.019999981,-3,-2.660000086,0.01,0.02,0.119999997,0,0.109999999,0.01,0,0,0.029999999,0.039999999,0,53,6,5,11,27,18,18,8,1,-10,-2,7,7,-16,-6,-17,-43,-7,1,2,-1,-17,-20,-24,0,20,-1,3,-15,,,,,,,,,,,,,-0.001106227,-4.31034E-06,-0.002181818,-0.001818182,0,-0.000727273,0.055,0.06,0,0.034999999,-120,-65.93406593
-135,-3.730000019,-3.5,-3.200000048,0.01,0.02,0.100000001,0,0.109999999,0.039999999,0,0.01,0.029999999,0.039999999,0,51,-4,-2,-2,6,2,3,-4,-6,-14,-7,-18,-15,-34,-23,-34,-55,-22,-25,-19,-13,-33,-33,-31,-18,-3,-28,-20,-24,,,,,,,,,,,,,-0.0013663,-4.31034E-06,-0.001818182,-0.001272727,-0.000181818,-0.000727273,0.055,0.074999999,0.005,0.034999999,-135,-74.17582418
-150,-3.970000029,-4,-3.720000029,0,0.02,0.100000001,0,0.109999999,0.039999999,0,0.029999999,0.029999999,0.039999999,0,80,-1,-2,8,7,10,28,1,-13,-14,-26,-12,-12,-11,-15,-27,-52,-12,-16,-21,-19,-18,-24,-22,-12,-4,-18,-26,-18,,,,,,,,,,,,,-0.001454212,-8.62069E-06,-0.001818182,-0.001272727,-0.000545455,-0.000727273,0.055,0.074999999,0.015,0.034999999,-150,-82.41758242
-155,-4.579999924,-4.5,-4.079999924,0.01,0.02,0.100000001,0,0.109999999,0.039999999,0,0.050000001,0.029999999,0.039999999,0,60,-7,12,10,17,8,22,-3,-15,-9,-5,-12,-3,-22,-15,-25,-41,-15,-14,-8,-7,-28,-28,-27,-12,13,1,-5,-17,,,,,,,,,,,,,-0.001677656,-4.31034E-06,-0.001818182,-0.001272727,-0.000909091,-0.000727273,0.055,0.074999999,0.025,0.034999999,-155,-85.16483516
