#CH_000_5a_2,CH_001_5a_2,CH_002_5a_2,CH_003_5a_2,GAMMA_5a_2,#CH_000_5a_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,0.270000,0.000000,0.000000,0.000099,15.000000
-45.000000,-0.120000,-0.500000,0.200000,-0.000044,-45.000000
-65.000000,-0.900000,-1.000000,-0.560000,-0.000330,-65.000000
-75.000000,-1.310000,-1.500000,-1.020000,-0.000480,-75.000000
-90.000000,-1.770000,-2.000000,-1.500000,-0.000648,-90.000000
-105.000000,-2.610000,-2.500000,-1.980000,-0.000956,-105.000000
-120.000000,-3.020000,-3.000000,-2.660000,-0.001106,-120.000000
-135.000000,-3.730000,-3.500000,-3.200000,-0.001366,-135.000000
-150.000000,-3.970000,-4.000000,-3.720000,-0.001454,-150.000000
-155.000000,-4.580000,-4.500000,-4.080000,-0.001678,-155.000000
-180.000000,-5.300000,-5.000000,-4.900000,-0.001938,-180.000000
-190.000000,-5.660000,-5.500000,-5.340000,-0.002070,-190.000000
-215.000000,-6.330000,-6.000000,-6.180000,-0.002315,-215.000000
-240.000000,-7.440000,-7.000000,-7.040000,-0.002722,-240.000000
-250.000000,-7.930000,-7.500000,-7.480000,-0.002901,-250.000000
-270.000000,-8.670000,-8.000000,-8.320000,-0.003172,-270.000000
-280.000000,-9.140000,-8.500000,-8.780000,-0.003344,-280.000000
-300.000000,-9.560000,-9.500000,-9.600000,-0.003498,-300.000000
-315.000000,-11.600000,-11.000000,-11.120000,-0.004245,-315.000000
-351.000000,-13.060000,-13.000000,-12.820000,-0.004780,-351.000000
-381.000000,-15.000000,-14.500000,-14.540000,-0.005491,-381.000000
-396.000000,-15.870000,-15.500000,-15.420000,-0.005810,-396.000000
-426.000000,-17.629999,-17.000000,-17.139999,-0.006454,-426.000000
-436.000000,-18.660000,-18.000000,-18.020000,-0.006832,-436.000000
-456.000000,-20.240000,-19.500000,-19.740000,-0.007410,-456.000000
-471.000000,-33.840000,-33.000000,-33.060001,-0.012385,-471.000000
-491.000000,-36.709999,-36.500000,-36.759998,-0.013436,-491.000000
-506.000000,-38.959999,-38.500000,-38.639999,-0.014260,-506.000000
-526.000000,-42.369999,-41.500000,-42.299999,-0.015509,-526.000000
-536.000000,-88.910004,-88.000000,-88.220001,-0.032557,-536.000000
-556.000000,-174.850006,-173.500000,-174.850006,-0.064037,-556.000000
