CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
0,0.560000002,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,-13,-11,24,-2,-4,-5,-12,-11,-14,5,-7,6,3,-25,-13,-9,-12,-9,-5,-7,-1,-14,-6,-12,-10,1,-8,-5,-5,,,,,,,,,,,,,0.000205128,-4.31034E-06,0,0,0.000181818,0,0,0,0.005,0,0,0
70,0.560000002,0.5,0.100000001,0,0,0,0,0,0,0,0.07,-0.050000001,-0.029999999,0,-20,7,19,-7,24,-7,-21,-9,-8,5,-4,18,1,-25,6,-7,-11,3,6,-6,2,3,-5,-10,15,2,-4,7,-1,,,,,,,,,,,,,0.000205128,0,0,0,-0.001272727,0.000545455,0,0,0.035,-0.04,70,38.46153846
130,0.720000029,1,0.400000006,0,0.01,0.01,0,0,-0.01,0.100000001,0.100000001,-0.050000001,-0.039999999,0,-15,13,37,-2,21,-8,-12,-2,2,19,-16,11,15,-18,10,9,-2,15,22,2,-13,12,6,-3,22,15,0,10,12,,,,,,,,,,,,,0.000263736,-4.31034E-06,-0.000181818,-0.000181818,0,0.000727273,0,-0.005,0.100000001,-0.045,130,71.42857143
200,0.959999979,1.5,0.860000014,0,0.01,0.01,0.050000001,-0.100000001,-0.050000001,0.119999997,0.189999998,-0.090000004,-0.090000004,0,-14,13,37,4,17,1,-4,-6,-3,6,-26,8,14,-13,1,-1,-6,6,15,-2,-17,1,-2,-4,15,10,4,8,-3,,,,,,,,,,,,,0.000351648,-4.31034E-06,0.000727273,0.000909091,-0.001272727,0.001636364,-0.025,-0.075000001,0.154999997,-0.090000004,200,109.8901099
275,1.679999948,2,1.440000057,0.01,0.01,0.100000001,0.100000001,-0.209999993,-0.200000003,0.189999998,0.239999995,-0.150000006,-0.129999995,-0.01,-16,-12,27,0,-4,-17,-6,-18,-9,8,-8,-11,1,-28,-12,-9,-2,-7,0,-7,-4,-18,-1,-8,3,-2,-1,-9,-5,,,,,,,,,,,,,0.000619048,0,0,0.000181818,-0.000909091,0.002181818,-0.054999996,-0.204999998,0.214999996,-0.140000001,275,151.0989011
346,2.339999914,2.5,2.039999962,0.029999999,0.01,0.129999995,0.189999998,-0.370000005,-0.319999993,0.289999992,0.280000001,-0.140000001,-0.159999996,0,-12,-4,18,4,0,-7,2,-12,-13,10,-14,-8,10,-7,-9,-2,8,-11,-2,3,-6,-9,5,-4,-3,1,8,-3,0,,,,,,,,,,,,,0.000857143,8.62069E-06,0.001090909,0.000909091,0.000181818,0.002909091,-0.090000004,-0.344999999,0.284999996,-0.149999999,346,190.1098901
411,2.869999886,3,2.619999886,0.039999999,0.01,0.189999998,0.280000001,-0.519999981,-0.379999995,0.379999995,0.379999995,-0.140000001,-0.209999993,0,-15,8,25,12,3,-6,-9,-13,-12,16,-17,3,5,-18,-10,5,-13,1,7,-5,-7,5,-8,-4,8,6,-3,7,-7,,,,,,,,,,,,,0.001051282,1.2931E-05,0.001636364,0.002545454,0,0.003818182,-0.11999999,-0.449999988,0.379999995,-0.174999997,411,225.8241758
491,3.950000048,3.5,3.460000038,0.050000001,0.01,0.289999992,0.379999995,-0.629999995,-0.519999981,0.479999989,0.439999998,-0.140000001,-0.230000004,0,-21,4,40,4,10,-8,-6,0,-8,22,-20,-4,8,-5,-3,3,6,7,5,8,-14,-5,11,2,4,13,7,1,4,,,,,,,,,,,,,0.001446886,1.72414E-05,0.001636364,0.002,0.000727273,0.004181818,-0.125,-0.574999988,0.459999993,-0.185000002,491,269.7802198
511,4.21999979,4,3.660000086,0.050000001,0.01,0.289999992,0.379999995,-0.730000019,-0.620000005,0.479999989,0.479999989,-0.140000001,-0.239999995,0,-33,-3,25,3,-4,-2,-19,-10,1,14,11,6,1,-24,0,-5,-8,8,-4,-7,5,-10,-5,2,-1,-1,1,1,-4,,,,,,,,,,,,,0.001545787,1.72414E-05,0.001636364,0.002,0,0.004363636,-0.175000012,-0.675000012,0.479999989,-0.189999998,511,280.7692308
591,4.730000019,4.5,4.639999866,0.050000001,0.01,0.389999986,0.479999989,-0.839999974,-0.709999979,0.579999983,0.569999993,-0.180000007,-0.300000012,-0.01,-19,10,37,10,-1,3,-9,-10,-4,12,5,10,5,-11,2,-2,3,6,5,8,-2,-3,-1,5,0,9,13,5,-11,,,,,,,,,,,,,0.001736264,1.72414E-05,0.001636364,0.002363636,0.000181818,0.005272727,-0.179999992,-0.774999976,0.574999988,-0.24000001,591,324.7252747
