,,P(1/120),2/3Pmax,1/2Pgmax,ç≈è¨íl,ï«î{ó¶,Pmax,gmax
No.1a,+,198.76 ,381.68 ,354.15 ,198.76 ,1.15 ,572.53 ,0.0645 
,-,-171.13 ,-189.01 ,-247.87 ,171.13 ,0.99 ,-283.52 ,-0.0655 
No.1b,+,590.00 ,539.19 ,730.68 ,539.19 ,3.11 ,808.79 ,0.0247 
,-,-566.71 ,-508.06 ,-560.77 ,508.06 ,2.93 ,-762.09 ,-0.0159 
No.2a,+,309.85 ,240.29 ,289.09 ,240.29 ,1.39 ,360.44 ,0.0133 
,-,-234.42 ,-178.02 ,-234.23 ,178.02 ,1.03 ,-267.03 ,-0.0161 
No.2b,+,856.03 ,772.16 ,787.65 ,772.16 ,4.45 ,1158.24 ,0.0141 
,-,-910.99 ,-768.50 ,-1045.00 ,768.50 ,4.43 ,-1152.75 ,-0.0254 
No.3a,+,442.53 ,381.68 ,515.43 ,381.68 ,2.20 ,572.53 ,0.0301 
,-,-429.31 ,-337.36 ,-498.02 ,337.36 ,1.95 ,-506.04 ,-0.0320 
No.3b,+,1019.36 ,973.99 ,1234.54 ,973.99 ,5.62 ,1460.99 ,0.0238 
,-,-925.19 ,-830.77 ,-923.12 ,830.77 ,4.79 ,-1246.15 ,-0.0158 
No.4a,+,357.16 ,359.34 ,520.48 ,357.16 ,2.06 ,539.01 ,0.0658 
,-,-393.71 ,-319.05 ,-392.31 ,319.05 ,1.84 ,-478.57 ,-0.0160 
No.4b,+,791.74 ,687.91 ,766.67 ,687.91 ,3.97 ,1031.87 ,0.0148 
,-,-801.94 ,-638.46 ,-799.79 ,638.46 ,3.68 ,-957.69 ,-0.0159 
No.5a,+,255.05 ,231.14 ,317.53 ,231.14 ,1.33 ,346.70 ,0.0328 
,-,-252.08 ,-203.66 ,-294.33 ,203.66 ,1.17 ,-305.49 ,-0.0640 
No.5b,+,823.30 ,682.42 ,793.96 ,682.42 ,3.94 ,1023.63 ,0.0152 
,-,-610.25 ,-603.30 ,-766.14 ,603.30 ,3.48 ,-904.95 ,-0.0246 
