ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,γ,θ,γ0,γ1-2,,変位計1
11,0,-0.19,0,-0.01,0,0,0,0,0,0,-0.02,-0.02,0,0,-3,2710,3929,,0,6.66667E-06,6.66667E-06,-7.83505E-05,0,-0.19
12,14,0.15,0.02,0,0.01,0.01,-0.01,0,0,0,-0.02,0.28,1,0,40,2710,4134,,0.000493827,6.66667E-06,0.000500494,5.36082E-05,14,0.15
13,26,0.81,0.02,0.01,0,0,-0.01,0.01,0,0,-0.04,0.54,2,0,63,2710,4135,,0.000987654,-6.66667E-06,0.000980988,0.000325773,26,0.81
14,38,1.48,0.02,0.01,-0.01,0,-0.01,0.01,0,-0.04,-0.08,0.84,2.5,1,90,2710,4136,,0.000740741,-1.33333E-05,0.000727407,0.000602062,38,1.48
15,47,2.17,0.03,0.02,0,0.01,-0.01,0.03,0,-0.06,-0.14,1.1,4,0,113,2710,4138,,0.001975309,-1.33333E-05,0.001961975,0.000882474,47,2.17
16,60,2.94,0.04,0.02,-0.01,0.02,-0.01,0.02,-0.01,-0.08,-0.2,1.42,4,0.5,138,2710,4139,,0.001728395,-0.00002,0.001708395,0.001195876,60,2.94
17,78,3.8,0.13,0.02,0.01,0.02,-0.01,0.04,0,-0.12,-0.24,1.74,5.5,0,168,2710,4141,,0.002716049,-6.66667E-06,0.002709383,0.001513402,78,3.8
18,88,4.56,0.13,0.02,0,0.03,0,0.05,-0.01,-0.16,-0.28,2.06,6,2.5,200,2710,4142,,0.001728395,-1.33333E-05,0.001715062,0.001826804,88,4.56
19,98,5.43,0.13,0.01,0,0.04,-0.01,0.05,0,-0.22,-0.34,2.38,7,2,233,2710,4144,,0.002469136,-6.66667E-06,0.002462469,0.002185567,98,5.43
20,112,6.3,0.12,0.02,0.01,0.04,-0.01,0.04,0,-0.28,-0.4,2.68,7,-1,265,2710,4145,,0.003950617,-6.66667E-06,0.003943951,0.002548454,112,6.3
21,127,7.07,0.22,0.02,0,0.05,-0.01,0.05,-0.01,-0.32,-0.5,3,8.5,-0.5,295,2710,4147,,0.004444444,-1.33333E-05,0.004431111,0.002824742,127,7.07
22,105,7.65,0.23,0.03,0.01,0.05,-0.01,0.04,0,-0.32,-0.54,3.08,7.5,-1.5,178,2710,4210,,0.004444444,-1.33333E-05,0.004431111,0.003059794,105,7.65
