ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,γ3-4,γreal,,,
7,-6,-0.29,0.03,0,0,0,0,0,0,0,0,0,0,-0.5,0,914,545,,-0.29,,-0.000140659,0,-0.000140659,-6,,84.28
8,-5,-0.3,0.02,0,-0.01,-0.01,0,0,0,0,-0.04,-0.58,-1.5,-1,13,914,847,,-0.3,,-0.000140659,-4.31034E-06,-0.00014497,-5,,
9,22,0.96,0.12,0.01,-0.01,0.01,0,0.01,-0.02,0,-0.02,0.14,-2.5,-1,28,914,849,,0.96,,0.000369231,-8.62069E-06,0.00036061,22,,1677
10,45,1.83,0.13,0.01,-0.04,0.03,0,0.01,-0.05,-0.02,-0.04,0.62,-2.5,-1.5,78,914,851,,1.83,,0.000747253,-2.15517E-05,0.000725701,45,,
11,85,2.93,0.24,0,-0.03,0.04,0,0.01,-0.07,-0.04,-0.08,1.14,-4,-1,143,914,853,,2.93,,0.001182418,-1.2931E-05,0.001169487,85,,
12,128,3.88,0.24,0.01,-0.03,0.05,0,-0.01,-0.1,-0.08,-0.14,1.64,-5.5,-2,208,914,855,,3.88,,0.0016,-1.72414E-05,0.001582759,128,,
13,166,5.06,0.34,0,-0.03,0.07,-0.04,-0.03,-0.14,-0.34,-0.34,2.3,-6.5,-1,268,914,857,,5.06,,0.002074725,-1.2931E-05,0.002061794,166,,
14,203,6.2,0.39,0.01,-0.01,0.09,-0.06,-0.03,-0.18,-0.54,-0.52,3.1,-6.5,-1,305,914,859,,6.2,,0.002553846,-8.62069E-06,0.002545225,203,,
15,197,6.4,0.44,0,-0.02,0.08,-0.08,-0.04,-0.18,-0.54,-0.5,3.02,-5.5,-1.5,245,914,915,,6.4,,0.00261978,-8.62069E-06,0.00261116,197,,
16,123,5.53,0.34,0.01,-0.04,0.09,-0.07,-0.05,-0.17,-0.12,-0.2,1.9,-4.5,-0.5,108,914,917,,5.53,,0.002281319,-2.15517E-05,0.002259767,123,,
17,40,4.57,0.33,0.01,-0.04,0.08,-0.08,-0.01,-0.12,-0.1,-0.18,1.66,-3.5,-1,13,914,919,,4.57,,0.001863736,-2.15517E-05,0.001842185,40,,
18,16,3.69,0.3,0.01,-0.03,0.06,-0.07,0,-0.09,0.02,-0.14,0.98,-3.5,-0.5,5,914,921,,3.69,,0.00149011,-1.72414E-05,0.001472869,16,,
19,10,3.11,0.24,0.08,-0.01,0.05,-0.08,-0.01,-0.1,0.02,-0.14,0.7,-2.5,-0.5,5,914,922,,3.11,,0.001261538,-3.87931E-05,0.001222745,10,,
20,10,2.81,0.23,0.35,-0.04,0.05,-0.09,-0.01,-0.09,0.04,-0.14,0.52,-3,-0.5,3,914,929,,2.81,,0.001134066,-0.000168103,0.000965962,10,,
21,3,1.93,0.22,0.01,-0.01,0.04,-0.08,-0.01,-0.08,0.04,-0.14,0.2,-2,-0.5,3,914,931,,1.93,,0.000751648,-8.62069E-06,0.000743028,3,,
22,5,1.94,0.24,0.01,-0.02,0.05,-0.06,-0.01,-0.08,0.04,-0.14,0.26,-2,-1,3,914,952,,1.94,,0.000747253,-1.2931E-05,0.000734322,5
23,18,2.81,0.22,0.03,-0.03,0.05,-0.06,0.01,-0.08,0.02,-0.14,0.8,-3.5,-1.5,10,914,953,,2.81,,0.001138462,-2.58621E-05,0.001112599,18
24,30,3.41,0.24,0,-0.04,0.05,-0.06,0.01,-0.09,0.04,-0.14,1.06,-4,-1,43,914,955,,3.41,,0.001393407,-1.72414E-05,0.001376165,30
25,107,4.66,0.34,0.01,-0.05,0.07,-0.06,-0.01,-0.14,-0.06,-0.16,1.22,-6,-1.5,198,914,957,,4.66,,0.001898901,-2.58621E-05,0.001873039,107
26,160,5.53,0.35,0,-0.04,0.09,-0.07,-0.02,-0.17,-0.34,-0.36,2.1,-5.5,-1,275,914,959,,5.53,,0.002276923,-1.72414E-05,0.002259682,160
27,207,6.49,0.45,0.02,-0.03,0.1,-0.08,-0.04,-0.19,-0.54,-0.56,3.44,-7,-1.5,343,914,1001,,6.49,,0.002654945,-2.15517E-05,0.002633393,207
28,249,7.48,0.56,0,-0.04,0.11,-0.11,-0.04,-0.22,-0.76,-0.76,4.76,-7.5,-1.5,400,914,1002,,7.48,,0.003041758,-1.72414E-05,0.003024517,249
29,283,8.44,0.58,0,-0.05,0.13,-0.14,-0.07,-0.26,-0.9,-0.94,5.62,-10,-1.5,455,914,1004,,8.44,,0.003454945,-2.15517E-05,0.003433393,283
30,318,9.32,0.66,0,-0.04,0.15,-0.19,-0.09,-0.29,-0.98,-1.06,6.32,-9.5,-1.5,510,914,1006,,9.32,,0.003806593,-1.72414E-05,0.003789352,318
31,348,10.29,0.76,0.01,-0.05,0.17,-0.23,-0.11,-0.34,-1.04,-1.16,6.96,-11,-2.5,558,914,1007,,10.29,,0.004189011,-2.58621E-05,0.004163149,348
32,383,11.35,0.66,0.01,-0.04,0.17,-0.31,-0.13,-0.39,-1.06,-1.2,7.58,-12,-2,610,914,1009,,11.35,,0.004698901,-2.15517E-05,0.004677349,383
33,408,12.23,0.72,0.01,-0.02,0.18,-0.34,-0.14,-0.42,-1.08,-1.24,7.86,-12,-1.5,615,914,1011,,12.23,,0.005059341,-1.2931E-05,0.00504641,408
34,383,12.22,0.76,0.24,-0.04,0.18,-0.34,-0.15,-0.43,-1.06,-1.2,7.86,-11,-2,543,914,1024,,12.22,,0.005037363,-0.00012069,0.004916673,383
35,302,11.54,0.77,0,-0.05,0.18,-0.32,-0.15,-0.41,-0.78,-0.92,7.38,-10.5,-2,395,914,1026,,11.54,,0.004734066,-2.15517E-05,0.004712514,302
36,214,10.5,0.77,0.01,-0.15,0.17,-0.29,-0.15,-0.37,-0.46,-0.6,6.18,-9.5,-1.5,268,914,1028,,10.5,,0.004276923,-6.89655E-05,0.004207958,214
37,150,9.42,0.77,0.01,-0.15,0.17,-0.27,-0.13,-0.34,-0.12,-0.22,4.46,-8,-1.5,183,914,1030,,9.42,,0.003802198,-6.89655E-05,0.003733232,150
