ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,γ1-2,3BS1C1,,変位計1
60,-7,-0.19,0,0,0.01,0.01,0.01,0,0,0,-0.02,0,0.5,0.5,3,2610,4002,,0,-7.83505E-05,0,,-0.19
61,7,1.15,0.01,-0.01,0,0.01,0,0.02,0,-0.02,-0.02,0.56,2,0.5,10,2610,4004,,0.000740741,0.000470103,14,,1.15
62,13,2.25,0.11,0,0.02,0.03,0.01,0.04,0,0,0,0.98,3,1,15,2610,4006,,0.000987654,0.000882474,20,,2.25
63,23,3.55,0.12,0,0,0.04,0.02,0.05,0,-0.02,-0.02,1.38,4.5,0.5,35,2610,4008,,0.001975309,0.001414433,30,,3.55
64,36,4.67,0.11,-0.01,0.01,0.06,0.03,0.06,0,-0.02,-0.04,1.62,5,0.5,65,2610,4010,,0.002222222,0.001880412,43,,4.67
65,49,5.67,0.11,0,-0.01,0.06,0.03,0.07,-0.01,-0.04,-0.06,1.84,6,1.5,95,2610,4012,,0.002222222,0.002292784,56,,5.67
66,65,6.74,0.11,0,0,0.07,0.05,0.06,-0.02,-0.02,-0.1,2.08,7.5,0.5,133,2610,4014,,0.00345679,0.002734021,72,,6.74
67,79,7.7,0.2,-0.02,0,0.08,0.05,0.07,-0.03,-0.02,-0.1,2.26,8.5,0.5,168,2610,4015,,0.003950617,0.003092784,86,,7.7
68,91,8.75,0.21,0,-0.01,0.1,0.05,0.07,-0.03,-0.02,-0.12,2.48,9.5,0.5,195,2610,4017,,0.004444444,0.003521649,98,,8.75
69,104,9.81,0.21,-0.01,0,0.1,0.05,0.06,-0.04,-0.06,-0.2,2.9,11,0,225,2610,4019,,0.005432099,0.003958763,111,,9.81
70,100,10.49,0.3,0.02,0.02,0.1,0.05,0.06,-0.03,-0.08,-0.2,2.9,10,4,160,2610,4112,,0.002962963,0.004202062,107,,10.49
71,59,9.53,0.33,0.01,0.02,0.09,0.04,0.06,-0.03,-0.02,-0.12,2.74,9,3,53,2610,4114,,0.002962963,0.003793814,66,,9.53
72,31,8.65,0.32,0,0.02,0.1,0.05,0.06,-0.04,-0.04,-0.12,2.62,8,3.5,3,2610,4115,,0.002222222,0.003435052,38,,8.65
73,18,7.8,0.32,0,0.01,0.1,0.04,0.06,-0.03,-0.02,-0.12,2.36,7,3.5,-5,2610,4116,,0.001728395,0.003084536,25,,7.8
74,11,6.77,0.33,0.01,0.02,0.08,0.04,0.05,-0.03,-0.04,-0.1,2.06,6.5,3.5,-3,2610,4118,,0.001481481,0.00265567,18,,6.77
75,7,5.88,0.22,0.01,0.02,0.07,0.03,0.03,-0.04,-0.04,-0.1,1.68,5,2.5,-3,2610,4119,,0.001234568,0.002334021,14,,5.88
76,0,4.31,0.22,0.01,0.02,0.05,0.01,0.01,-0.03,-0.02,-0.12,1.16,3.5,1.5,-5,2610,4122,,0.000987654,0.001686598,7,,4.31
77,-7,2.69,0.22,0.01,0.02,0.03,-0.01,0,-0.04,-0.02,-0.12,0.64,1.5,2.5,-5,2610,4125,,-0.000493827,0.001018557,0,,2.69
78,-7,2.27,0.2,0.16,0.01,0.03,-0.01,-0.01,-0.04,-0.02,-0.12,0.62,3.5,2,-3,2610,4207,,0.000740741,0.000853608,0,,2.27
79,6,3.08,0.21,-0.01,0,0.03,-0.01,0,-0.04,-0.02,-0.12,0.94,4,1,-3,2610,4208,,0.001481481,0.001183505,13,,3.08
80,11,4.04,0.21,-0.01,0.01,0.02,-0.01,0.02,-0.04,-0.02,-0.12,1.3,5,1,0,2610,4210,,0.001975309,0.001579381,18,,4.04
81,17,5.01,0.22,0,0,0.05,-0.01,0.03,-0.04,-0.02,-0.12,1.62,5.5,2,5,2610,4211,,0.001728395,0.001975258,24,,5.01
82,23,5.86,0.22,0,0.02,0.07,-0.01,0.04,-0.03,-0.02,-0.12,1.94,7.5,1.5,15,2610,4213,,0.002962963,0.002325773,30,,5.86
83,32,6.83,0.22,0,0.02,0.08,-0.01,0.05,-0.03,-0.02,-0.1,2.22,7.5,2.5,38,2610,4214,,0.002469136,0.002725773,39,,6.83
84,46,7.78,0.22,0,0.01,0.07,0,0.05,-0.03,0,-0.12,2.4,8,2.5,80,2610,4216,,0.002716049,0.003117526,53,,7.78
85,65,8.66,0.21,-0.02,0.01,0.09,0,0.05,-0.04,-0.02,-0.1,2.56,9,2.5,138,2610,4217,,0.003209877,0.003484536,72,,8.66
86,87,9.62,0.31,-0.01,0.01,0.09,0.02,0.05,-0.03,-0.02,-0.14,2.74,10.5,2.5,198,2610,4219,,0.003950617,0.003839175,94,,9.62
87,112,10.58,0.32,-0.01,0.01,0.09,0.02,0.05,-0.04,-0.1,-0.24,3.12,11,2,240,2610,4221,,0.004444444,0.004230928,119,,10.58
88,123,11.58,0.32,-0.01,0,0.1,0.03,0.04,-0.04,-0.16,-0.32,3.44,12.5,1.5,270,2610,4222,,0.005432099,0.004643299,130,,11.58
