ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,変位計1,,γ1-2,,,筋かい有
5,-7,-0.22,-0.01,0,0,0,0,0,0,0,0,-0.02,0.5,0,0,812,4408,,,-0.22,,-9.23077E-05,,,-7
6,-8,-0.21,0.01,0,0.05,-0.02,0.01,0,0,0.02,0,0.08,1.5,1,23,812,4655,,,-0.21,,-9.67033E-05,,,-8
7,32,0.75,0.08,0,0.06,0.01,0.01,0.01,0.01,0.02,0.02,0.76,2.5,0,65,812,4659,,,0.75,,0.000294505,,,32
8,44,1.3,0.09,-0.01,0.07,0.03,0.02,0.01,0.01,0.08,0.06,1.32,3.5,1,80,812,4702,,,1.3,,0.000531868,,,44
9,60,2.22,0.1,-0.01,0.08,0.06,0.03,0.03,0,0.02,-0.04,2.36,3.5,1,108,812,4704,,,2.22,,0.000931868,,,60
10,83,3.28,0.21,-0.01,0.07,0.11,0.04,0.05,-0.01,-0.04,-0.22,3.3,4.5,1.5,155,812,4706,,,3.28,,0.001349451,,,83
11,127,4.55,0.31,-0.01,0.07,0.15,0.03,0.06,-0.04,-0.16,-0.44,3.98,5,1,225,812,4709,,,4.55,,0.001863736,,,127
12,168,5.8,0.41,0,0.06,0.17,-0.02,0.06,-0.09,-0.22,-0.58,4.54,7,2,288,812,4711,,,5.8,,0.002369231,,,168
13,204,7.07,0.52,0,0.07,0.19,-0.05,0.05,-0.12,-0.32,-0.64,5,7.5,1.5,345,812,4713,,,7.07,,0.002879121,,,204
14,221,7.94,0.6,-0.01,0.06,0.2,-0.07,0.03,-0.15,-0.36,-0.66,5.16,7.5,1.5,348,812,4716,,,7.94,,0.003226374,,,221
15,208,7.94,0.62,0,0.05,0.2,-0.07,0.03,-0.15,-0.36,-0.64,5.18,7,2,320,812,4759,,,7.94,,0.003217582,,,208
16,135,6.97,0.53,0,0.08,0.18,-0.07,0.04,-0.12,-0.12,-0.26,4.74,7,1,158,812,4802,,,6.97,,0.002830769,,,135
17,73,5.81,0.52,0,0.08,0.16,-0.09,0.03,-0.08,0.1,0.12,3.44,5,0.5,95,812,4804,,,5.81,,0.002325275,,,73
18,38,4.45,0.51,0.01,0.08,0.1,-0.1,0.02,-0.05,0.22,0.34,1.88,4.5,1,28,812,4806,,,4.45,,0.001731868,,,38
19,-6,3.19,0.42,0.01,0.08,0.06,-0.11,0,-0.02,0.2,0.34,1.38,3,1,-15,812,4809,,,3.19,,0.001217582,,,-6
20,-10,2.88,0.41,0,0.06,0.06,-0.11,0,-0.02,0.2,0.34,1.3,3.5,0.5,-18,812,4814,,,2.88,,0.001085714,,,-10
21,-9,2.88,0.41,0,0.05,0.05,-0.12,0,-0.03,0.18,0.32,1.24,3,0,-15,812,4832,,,2.88,,0.001085714,,,-9
22,16,3.38,0.42,0,0.08,0.06,-0.12,0,-0.01,0.22,0.34,1.76,4,0.5,58,812,4834,,,3.38,,0.001301099,,,16
23,56,4.54,0.42,0,0.07,0.12,-0.12,0,-0.02,0.22,0.28,3.02,5.5,1,100,812,4836,,,4.54,,0.001810989,,,56
24,76,5.42,0.53,0,0.07,0.15,-0.11,0.01,-0.03,0.14,0.06,4.14,6,1.5,143,812,4837,,,5.42,,0.002149451,,,76
25,121,6.39,0.52,-0.01,0.07,0.19,-0.1,0,-0.07,0,-0.22,4.6,6.5,1.5,230,812,4839,,,6.39,,0.00258022,,,121
