ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0.01,0,0.01,-0.01,-0.01,0,-0.04,-0.02,0,-0.02,0,0,0,3,1917,1636,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,1.11,0,0,-0.02,-0.01,0,-0.04,-0.02,0.02,0,0.38,1,0,8,1917,1652,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21,3.8,0,0.01,-0.02,0,0,-0.05,-0.01,0.04,-0.02,1.3,3.5,0.5,8,1917,1659,,,,,,,,,,,,,,,,,,,,,,,,,,
10,43,9.7,0.09,0.01,-0.02,0,-0.01,-0.06,0.1,0.04,-0.06,3.18,9,1,25,1917,1712,,,,,,,,,,,,,,,,,,,,,,,,,,
11,65,12.72,0.19,0,-0.02,0.04,0.02,-0.06,0.11,0.04,-0.06,4.1,12,1,80,1917,1719,,,,,,,,,,,,,,,,,,,,,,,,,,
12,83,14.66,0.2,0,-0.03,0.06,0.02,-0.06,0.12,0.04,-0.02,4.48,14,1,130,1917,1724,,,,,,,,,,,,,,,,,,,,,,,,,,
13,102,16.41,0.2,0,-0.02,0.08,0.02,-0.04,0.11,0.12,0.04,4.72,15.5,2,173,1917,1728,,,,,,,,,,,,,,,,,,,,,,,,,,
14,97,16.69,0.21,-0.01,-0.01,0.08,0.02,-0.08,0.1,0.14,0.06,4.78,15.5,2,160,1917,1854,,,,,,,,,,,,,,,,,,,,,,,,,,
15,123,18.44,0.32,0.01,-0.01,0.09,0.02,-0.09,0.09,0.22,0.16,4.92,17,2.5,238,1917,1907,,,,,,,,,,,,,,,,,,,,,,,,,,
16,147,20.75,0.31,0,-0.01,0.12,0.02,-0.11,0.06,0.34,0.4,5.04,19.5,2.5,303,1917,1913,,,,,,,,,,,,,,,,,,,,,,,,,,
17,178,23.04,0.31,0,-0.02,0.14,0.02,-0.13,0.02,0.52,0.56,5.12,21.5,2.5,380,1917,1919,,,,,,,,,,,,,,,,,,,,,,,,,,
18,202,25.09,0.4,-0.01,-0.02,0.19,0.03,-0.14,0.02,0.7,0.72,5.22,22.5,2.5,453,1917,1924,,,,,,,,,,,,,,,,,,,,,,,,,,
19,193,25.64,0.39,0,-0.03,0.18,0.02,-0.15,0,0.76,0.74,5.26,24.5,2.5,415,1917,2141,,,,,,,,,,,,,,,,,,,,,,,,,,
20,228,27.41,0.4,-0.01,-0.02,0.21,0.04,-0.16,-0.02,0.88,0.84,5.3,26,3,528,1917,2149,,,,,,,,,,,,,,,,,,,,,,,,,,
21,253,29.41,0.38,-0.02,-0.03,0.24,0.02,-0.18,-0.04,1.04,0.96,5.46,28.5,3.5,590,1917,2155,,,,,,,,,,,,,,,,,,,,,,,,,,
22,278,31.81,0.49,-0.02,-0.02,0.28,0,-0.2,-0.06,1.24,1.06,5.66,30.5,3.5,660,1917,2201,,,,,,,,,,,,,,,,,,,,
23,302,34.21,0.49,-0.02,-0.03,0.32,-0.02,-0.22,-0.06,1.42,1.16,5.84,32.5,4,725,1917,2208,,,,,,,,,,,,,,,,,,,,
24,289,35.27,0.5,0,-0.02,0.33,-0.05,-0.24,-0.08,1.6,1.34,5.94,33.5,3.5,680,1917,2317,,,,,,,,,,,,,,,,,,,,
25,308,36,0.54,0.01,-0.02,0.34,-0.03,-0.25,-0.07,1.62,1.32,5.98,34,4,753,1917,2324,,,,,,,,,,,,,,,,,,,,
26,335,37.9,0.59,0,-0.02,0.37,-0.05,-0.26,-0.07,1.76,1.4,6.08,36.5,4,820,1917,2330,,,,,,,,,,,,,,,,,,,,
27,355,39.91,0.64,0,-0.01,0.4,-0.07,-0.28,-0.07,1.94,1.52,6.2,37.5,4,865,1917,2335,,,,,,,,,,,,,,,,,,,,
28,377,42.31,0.61,0,-0.02,0.44,-0.09,-0.31,-0.08,2.16,1.64,6.3,40,4.5,923,1917,2342,,,,,,,,,,,,,,,,,,,,
29,403,45.27,0.75,0.01,-0.01,0.47,-0.15,-0.36,-0.08,2.46,1.88,6.52,42.5,5,990,1917,2351,,,,,,,,,,,,,,,,,,,,
30,374,45.94,0.72,0,-0.02,0.47,-0.16,-0.38,-0.05,2.62,2,6.56,43,5.5,905,1917,2449,,,,,,,,,,,,,,,,,,,,
31,387,46.42,0.73,0.02,-0.03,0.48,-0.16,-0.39,-0.04,2.64,2.04,6.58,43.5,5.5,965,1917,2457,,,,,,,,,,,,,,,,,,,,
32,417,48.05,0.72,0.03,-0.04,0.5,-0.17,-0.39,-0.05,2.76,2.12,6.66,44.5,5,1038,1917,2502,,,,,,,,,,,,,,,,,,,,
33,442,50.67,0.75,0.04,-0.02,0.54,-0.18,-0.41,-0.04,3,2.32,6.78,47.5,5.5,1098,1917,2509,,,,,,,,,,,,,,,,,,,,
34,457,52.68,0.83,0.01,-0.03,0.57,-0.16,-0.41,-0.02,3.22,2.54,6.88,49.5,6,1138,1917,2515,,,,,,,,,,,,,,,,,,,,
35,471,54.79,0.82,0,-0.03,0.59,-0.18,-0.45,-0.01,3.42,2.7,6.96,51,6,1175,1917,2522,,,,,,,,,,,,,,,,,,,,
36,488,57.01,0.84,0.01,-0.02,0.66,-0.16,-0.46,0.01,3.62,2.92,7.06,53.5,6.5,1215,1917,2529,,,,,,,,,,,,,,,,,,,,
37,499,58.74,0.93,0,-0.03,0.64,-0.19,-0.49,0.03,3.8,3.14,7.16,55,6.5,1243,1917,2534,,,,,,,,,,,,,,,,,,,,
38,463,59.7,0.96,0,-0.01,0.66,-0.16,-0.5,0.05,4,3.34,7.2,55.5,7,1135,1917,2635,,,,,,,,,,,,,,,,,,,,
39,480,60.27,0.96,0,-0.02,0.67,-0.19,-0.51,0.05,4.02,3.38,7.24,57,7,1200,1917,2641,,,,,,,,,,,,,,,,,,,,
40,512,62.21,0.96,-0.01,-0.01,0.69,-0.19,-0.53,0.07,4.16,3.52,7.3,58,7,1288,1917,2647,,,,,,,,,,,,,,,,,,,,
41,531,64.27,1.05,0,-0.01,0.72,-0.17,-0.52,0.12,4.36,3.74,7.38,60.5,7,1333,1917,2653,,,,,,,,,,,,,,,,,,,,
42,544,65.94,1.04,-0.01,-0.01,0.76,-0.17,-0.53,0.11,4.56,3.96,7.44,62,7.5,1355,1917,2658,,,,,,,,,,,,,,,,,,,,
43,555,67.98,1.05,0,-0.01,0.78,-0.19,-0.55,0.15,4.82,4.2,7.48,63.5,7.5,1385,1917,2705,,,,,,,,,,,,,,,,,,,,
44,572,70.21,1.04,-0.01,-0.02,0.83,-0.19,-0.54,0.17,5.06,4.46,7.54,66,8,1420,1917,2712,,,,,,,,,,,,,,,,,,,,
45,561,71.85,1.13,-0.12,-0.03,0.88,-0.17,-0.57,0.2,5.18,5,7.6,67.5,8.5,1383,1917,2717,,,,,,,,,,,,,,,,,,,,
46,579,73.88,1.13,-0.13,-0.03,0.89,-0.18,-0.58,0.22,5.3,5.36,7.62,69.5,8.5,1430,1917,2723,,,,,,,,,,,,,,,,,,,,
47,591,75.5,1.13,-0.12,-0.03,0.91,-0.18,-0.59,0.23,5.46,5.58,7.68,71,9,1458,1917,2729,,,,,,,,,,,,,,,,,,,,
48,601,77.15,1.24,-0.11,-0.03,0.94,-0.21,-0.6,0.25,5.64,5.78,7.72,72.5,9.5,1485,1917,2734,,,,,,,,,,,,,,,,,,,,
49,562,77.73,1.27,-0.09,-0.03,0.94,-0.18,-0.6,0.26,5.84,6,7.76,73,9.5,1368,1917,2821,,,,,,,,,,,,,,,,,,,,
50,589,78.89,1.28,-0.09,-0.02,0.95,-0.21,-0.62,0.26,5.92,6.08,7.78,73.5,9.5,1463,1917,2828,,,,,,,,,,,,,,,,,,,,
51,614,80.34,1.26,-0.09,-0.02,0.97,-0.21,-0.62,0.28,6.08,6.22,7.84,75.5,9,1520,1917,2832,,,,,,,,,,,,,,,,,,,,
52,629,82.38,1.36,-0.1,-0.03,1,-0.21,-0.63,0.28,6.3,6.44,7.88,77.5,9.5,1560,1917,2839,,,,,,,,,,,,,,,,,,,,
