ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,
4,0,-0.01,0.03,-0.01,0,0.01,0,-0.01,0.01,0.02,-0.06,-0.04,0,0.05,3,2711,3817,,,,,,,,,,
5,21,2.1,0,0,0.01,0,0,0.01,0,0.02,-0.06,0.6,0.1,0,5,2711,3824,,,,,,,,,,
6,39,7.04,0.11,0,0.01,0.05,0,0.02,0.08,0.08,-0.04,2.1,0.75,0.15,10,2711,3837,,,,,,,,,,
7,50,10.02,0.11,0,0,0.08,0.01,0.02,0.15,0.14,0.02,3,1,0.1,25,2711,3845,,,,,,,,,,
8,75,13.67,0.1,-0.02,0,0.15,0.01,0.01,0.22,0.28,0.14,4.04,1.3,0.2,75,2711,3855,,,,,,,,,,
9,80,14.63,0.19,-0.01,0.01,0.19,0.02,0.01,0.23,0.3,0.16,4.34,1.45,0.2,93,2711,3858,,,,,,,,,,
10,104,17.31,0.21,0,0,0.31,0.02,0.01,0.26,0.48,0.26,5.14,1.6,0.25,138,2711,3905,,,,,,,,,,
11,89,17.24,0.19,-0.01,0.01,0.31,0.02,0,0.26,0.44,0.26,5.04,1.7,0.25,103,2711,3929,,,,,,,,,,
12,49,15.2,0.21,-0.01,0,0.21,0.02,-0.02,0.28,0.26,0.22,4.38,1.4,0.15,20,2711,3934,,,,,,,,,,
13,36,13.77,0.21,-0.01,0,0.13,0.02,-0.04,0.28,0.2,0.14,4.06,1.25,0.15,-3,2711,3938,,,,,,,,,,
14,25,10.71,0.1,0,0.01,0.04,0.02,-0.05,0.27,0.1,0.12,3.1,0.95,0.1,3,2711,3946,,,,,,,,,,
15,18,7.33,0.11,0,0.01,0.01,0.02,-0.05,0.18,0.12,0.08,2.06,0.65,0.1,0,2711,3955,,,,,,,,,,
16,1,4.24,0.04,0.01,0.01,-0.02,0.02,-0.05,0.12,-0.02,-0.04,1.48,0.4,0.1,-30,2711,4004,,,,,,,,,,
17,1,3.76,0.01,0.01,0.01,-0.05,0.01,-0.03,0.11,-0.04,-0.04,1.42,0.35,0,-18,2711,4024,,,,,,,,,,
18,33,7.44,0.08,0.01,0.04,0,0.01,-0.01,0.12,0,-0.04,2.34,0.7,0,5,2711,4035,,,,,,,,,,
19,39,8.93,0.08,0,0.03,0.01,0,0,0.16,0.04,-0.04,2.76,0.95,0.15,8,2711,4039,,,,,,,,,,
20,51,11,0.1,0,0.02,0.05,0.02,0,0.2,0.1,0.02,3.38,1.1,0.05,28,2711,4045,,,,,,,,,,
21,65,12.9,0.11,-0.01,0,0.08,-0.01,-0.01,0.24,0.22,0.08,3.96,1.3,0.15,53,2711,4050,,,,,,,,,,
22,73,14.15,0.15,-0.01,0.01,0.13,0.01,0,0.25,0.26,0.12,4.24,1.4,0.2,75,2711,4053,,,,,,,,,,
23,79,15.02,0.21,0,0.01,0.18,0.01,-0.01,0.27,0.3,0.18,4.48,1.5,0.2,95,2711,4055,,,,,,,,,,
24,92,16.64,0.21,-0.02,0,0.25,0.02,0,0.28,0.42,0.24,4.94,1.6,0.3,128,2711,4100,,,,,,,,,,
