ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,
28,0,-0.1,0.01,0,0,0,0,0,0,0,0,-0.03,0,-0.5,-3,2411,1649,,,,,,
29,12,1.4,0.01,0,0,0,0,0,0,0,0,0.02,2.5,0,13,2411,1708,,,,,,
30,28,2.2,0.01,0,0,0,0,0,0,0,0,0.03,1.5,-0.5,40,2411,1712,,,,,,
31,27,2.2,0.01,0,0,0,0,0,0,0,0,0.03,2,-0.5,43,2411,2231,,,,,,
32,34,2.6,0.01,0,0,0,0,0,0,0,0,0.04,2,-0.5,58,2411,2248,,,,,,
33,40,2.9,0.01,0,0,0,0,0,0,0,0,0.04,4,0,65,2411,2257,,,,,,
34,51,4.6,0.01,0,-2.1,0,0,0,0,0,0,0.09,4,0,93,2411,2312,,,,,,
35,50,4.7,0.01,0,-0.04,0,0,0,0,0,0,0.09,5.5,0.5,88,2411,2417,,,,,,
36,59,4.9,0.01,0,-0.02,0,0,0,0,0,0,0.1,4,0,105,2411,2455,,,,,,
37,70,7.4,0.02,0,-0.01,0.01,0,0,0,0.01,0.01,0.18,7,0.5,113,2411,2526,,,,,,
38,57,7.4,0.02,0,-0.01,0.01,0,0,0,0.01,0.01,0.18,8.5,0.5,90,2411,3142,,,,,,
39,41,6.8,0.02,0,-0.01,0.01,0,0.01,0,0.01,0.01,0.18,7.5,0.5,45,2411,3626,,,,,,
40,71,8.1,0.02,0,-0.01,0.01,0,0,0,0.01,0,0.19,8.5,0.5,113,2411,3651,,,,,,
41,62,7.9,0.02,0,-0.01,0.01,0,0.01,0,0.01,0,0.19,9,1,95,2411,4309,,,,,,
44,19,9.1,0.02,0,-0.01,0.01,0,0.01,0,0.01,0,0.18,6.5,-0.5,-5,2411,4322,,,,,,
45,12,4.9,0.02,0,-0.01,0.01,0,0.01,0,0.01,0,0.14,5.5,0.5,0,2411,4327,,,,,,
47,1,1.3,0.01,0,0,0,0,0.01,0,0.01,0,0.03,3.5,0,0,2411,5235,,,,,,
48,2,1.3,0.01,0,0,0,0,0.01,0,0.01,0.01,0.03,1,-0.5,0,2411,5255,,,,,,
49,11,2.8,0.01,0,0,0,0,0.01,0,0.01,0.01,0.07,4.5,0.5,0,2411,5305,,,,,,
50,20,4.3,0.02,0,0,0,0,0.01,0,0.01,0,0.12,5.5,0.5,0,2411,5312,,,,,,
51,32,6.1,0.02,0,-0.01,0,0,0.01,0,0.01,0.01,0.17,6,0,28,2411,5327,,,,,,
52,74,8.1,0.02,0,-0.01,0.01,0,0.01,0,0.01,0.01,0.2,7,0.5,90,2411,5336,,,,,,
53,81,9.7,0.02,0,-0.01,0.01,0,0.01,0,0.01,0.01,0.25,10.5,1,120,2411,5344,,,,,,
54,92,11.9,0.03,0,-0.01,0.01,0,0.01,0,0.01,0.01,0.32,12.5,1,123,2411,5353,,,,,,
55,101,14.3,0.03,0,-0.01,0.02,0,0.01,0,0.02,0.01,0.38,15,1.5,145,2411,5406,,,,,,
56,93,14.9,0.03,0,-0.01,0.02,0,0.01,0,0.02,0.01,0.4,15,2,130,2411,5604,,,,,,
57,88,14.8,0.04,0,-0.01,0.02,0,0.01,0,0.02,0.01,0.4,15.5,1.5,120,2412,825,,,,,,
58,87,14.8,0.04,0,-0.01,0.02,0,0.01,0,0.02,0.01,0.4,15.5,1.5,120,2412,955,,,,,,
59,104,15.9,0.04,0,-0.01,0.02,0,0.01,0,0.02,0.01,0.43,16.5,2,135,2412,1019,,,,,,
60,107,17.1,0.04,0,-0.01,0.03,0,0.01,0,0.02,0.01,0.46,18,2,143,2412,1026,,,,,,
61,118,18.1,0.04,0,-0.02,0.03,0,0.01,0,0.02,0.01,0.48,19,1.5,165,2412,1032,,,,,,
62,128,19.1,0.04,0,-0.02,0.03,0,0.01,0,0.03,0.01,0.5,20.5,2,188,2412,1039,,,,,,
63,129,19.6,0.04,0,-0.02,0.03,0,0.01,0,0.03,0.01,0.51,20.5,1.5,188,2412,1044,,,,,,
64,135,20.6,0.05,0,-0.02,0.04,0,0.01,0,0.03,0.02,0.53,21.5,2.5,203,2412,1103,,,,,,
65,129,20.6,0.05,0,-0.02,0.04,0,0.01,0,0.03,0.02,0.53,21.5,2.5,193,2412,1250,,,,,,
66,138,21.1,0.05,0,-0.02,0.04,0,0.01,0,0.04,0.02,0.54,22.5,2.5,218,2412,1256,,,,,,
67,147,22.3,0.05,0.01,-0.02,0.04,0,0.01,0,0.04,0.02,0.57,23,2.5,230,2412,1305,,,,,,
68,152,23.1,0.05,0.01,-0.02,0.04,0,0.01,0,0.04,0.02,0.59,24,2.5,233,2412,1311,,,,,,
69,159,24.1,0.05,0.01,-0.02,0.05,0,0.01,0,0.04,0.02,0.62,25,2.5,245,2412,1318,,,,,,
70,166,25.2,0.05,0.01,-0.02,0.05,0,0.01,0,0.05,0.02,0.64,26,3,260,2412,1326,,,,,,
71,157,25.2,0.06,0.01,-0.02,0.05,0,0.01,0,0.05,0.03,0.65,25.5,3,238,2412,1459,,,,,,
