ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,γ3-4,γreal,
2,-8,-0.22,0,0,0.01,0,0,-0.01,0,0,0,0,0.5,0,0,915,2359,,-0.22,,-9.67033E-05,4.31034E-06,-9.2393E-05,-8
3,-8,-0.21,0.01,0,0,0,0,-0.01,0.01,0,0,0,0.5,0.5,0,915,2721,,-0.21,,-9.67033E-05,0,-9.67033E-05,-8
4,1,0.64,0.11,-0.01,0,0,0,0,0,0,0,0,2,0,0,915,2723,,0.64,,0.000232967,4.31034E-06,0.000237277,1
5,7,1.72,0.11,0,-0.01,0.01,-0.01,0.01,0,0,0,0,2.5,0,0,915,2725,,1.72,,0.000707692,-4.31034E-06,0.000703382,7
6,18,3.46,0.21,0,-0.01,0.08,-0.02,0.03,0,0,0,0,4,0.5,0,915,2728,,3.46,,0.001428571,-4.31034E-06,0.001424261,18
7,22,4.92,0.22,0,0,0.13,-0.03,0.04,0,0,0,0,5.5,0.5,0,915,2731,,4.92,,0.002065934,0,0.002065934,22
8,33,7.17,0.32,0.01,0,0.22,-0.05,0.05,0.01,0,0,0,8,0.5,0,915,2736,,7.17,,0.003010989,-4.31034E-06,0.003006679,33
9,40,9.58,0.42,0.01,-0.01,0.34,-0.07,0.08,0.02,0,0,0,10,1,0,915,2740,,9.58,,0.004026374,-8.62069E-06,0.004017753,40
10,52,13.64,0.61,0.11,0.02,0.49,-0.07,0.1,0.07,0,0,0,13.5,1,0,915,2748,,13.64,,0.005727473,-3.87931E-05,0.005688679,52
11,49,13.84,0.63,0.1,0,0.5,-0.09,0.1,0.07,0,0,0,13.5,0.5,0,915,2803,,13.84,,0.005806593,-4.31034E-05,0.00576349,49
12,39,12.58,0.63,0.1,-0.01,0.47,-0.09,0.09,0.07,0,0,0,12,0.5,0,915,2806,,12.58,,0.005252747,-4.74138E-05,0.005205333,39
13,33,11.41,0.53,0.09,-0.01,0.43,-0.09,0.08,0.07,0,0,0,11,0.5,0,915,2808,,11.41,,0.004782418,-4.31034E-05,0.004739314,33
14,26,10.07,0.52,0.1,0,0.38,-0.08,0.09,0.06,0,0,0,10,0,0,915,2810,,10.07,,0.004197802,-4.31034E-05,0.004154699,26
15,19,8.42,0.42,0.1,-0.01,0.31,-0.1,0.06,0.04,0,0,0,8,0,0,915,2814,,8.42,,0.003516484,-4.74138E-05,0.00346907,19
16,9,6.37,0.42,0.1,0.01,0.24,-0.1,0.05,0.03,0,0,0,6,0.5,0,915,2818,,6.37,,0.002615385,-3.87931E-05,0.002576592,9
17,3,5.11,0.33,0.09,0,0.2,-0.1,0.03,0.03,0,0,0,5,-0.5,0,915,2820,,5.11,,0.002101099,-3.87931E-05,0.002062306,3
18,-4,3.95,0.31,0.09,0,0.16,-0.09,0.02,0.02,0,0,0,4,0,0,915,2822,,3.95,,0.0016,-3.87931E-05,0.001561207,-4
19,-3,3.45,0.32,0.01,0,0.14,-0.08,0.02,0.01,0,0,0,4.5,-0.5,0,915,2839,,3.45,,0.001375824,-4.31034E-06,0.001371514,-3
20,13,5.31,0.32,-0.01,0,0.16,-0.08,0.04,0.02,0,0,0,5.5,0,0,915,2843,,5.31,,0.002193407,4.31034E-06,0.002197717,13
21,22,6.77,0.42,0,0,0.2,-0.08,0.04,0.02,0,0,0,7.5,0.5,0,915,2846,,6.77,,0.002791209,0,0.002791209,22
22,29,8.31,0.42,0,0,0.27,-0.09,0.07,0.03,0,0,0,9,0.5,0,915,2849,,8.31,,0.003468132,0,0.003468132,29
23,35,9.49,-1.54,0.04,0,0.31,-0.09,0.07,0.03,0,0,0,9.5,1,0,915,2852,,9.49,,0.004848352,-1.72414E-05,0.00483111,35
24,40,10.83,0.53,0.09,0,0.37,-0.1,0.07,0.03,0,0,0,11,1,0,915,2854,,10.83,,0.004527473,-3.87931E-05,0.004488679,40
25,46,12.78,0.62,0.11,0,0.45,-0.09,0.09,0.06,0,0,0,12.5,1,0,915,2858,,12.78,,0.005345055,-4.74138E-05,0.005297641,46
26,51,14.32,0.64,0.1,0,0.52,-0.08,0.1,0.09,0,0,0,14.5,1,0,915,2901,,14.32,,0.006013187,-4.31034E-05,0.005970083,51
27,56,16.25,0.73,0.11,0,0.58,-0.1,0.12,0.13,0,0,0,16.5,1,0,915,2905,,16.25,,0.006821978,-4.74138E-05,0.006774564,56
28,60,18.1,0.85,0.11,0.01,0.64,-0.09,0.12,0.18,0,0,0,17.5,1.5,0,915,2909,,18.1,,0.007582418,-4.31034E-05,0.007539314,60
29,66,21.18,0.96,0.1,-0.01,0.76,-0.1,0.13,0.24,0,0,0,21,2,0,915,2915,,21.18,,0.008887912,-4.74138E-05,0.008840498,66
30,68,22.64,0.99,0.11,0,0.82,-0.1,0.14,0.28,0,0,0,22,2.5,0,915,2918,,22.64,,0.009516484,-4.74138E-05,0.00946907,68
31,71,23.97,1.05,0.1,0,0.86,-0.09,0.14,0.31,0,0,0,23.5,2.5,0,915,2921,,23.97,,0.010074725,-4.31034E-05,0.010031622,71
32,73,25.23,1.09,0.11,0,0.92,-0.09,0.15,0.34,0,0,0,24.5,2.5,0,915,2923,,25.23,,0.010610989,-4.74138E-05,0.010563575,73
33,75,26.81,1.16,0.16,0,0.97,-0.1,0.16,0.38,0,0,0,27,3,0,915,2927,,26.81,,0.011274725,-6.89655E-05,0.01120576,75
34,79,28.9,1.26,0.21,0,1.04,-0.11,0.16,0.43,0,0,0,28,3,0,915,2931,,28.9,,0.012149451,-9.05172E-05,0.012058933,79
35,82,31.12,1.36,0.22,0.01,1.11,-0.1,0.17,0.5,0,0,0,30.5,3.5,0,915,2936,,31.12,,0.013081319,-9.05172E-05,0.012990801,82
36,87,33.71,1.47,0.22,0.01,1.18,-0.1,0.2,0.55,0,0,0,32.5,4.5,0,915,2941,,33.71,,0.014171429,-9.05172E-05,0.014080911,87
37,90,36.12,1.57,0.22,0.01,1.26,-0.1,0.19,0.6,0,0,0,35.5,4,0,915,2946,,36.12,,0.015186813,-9.05172E-05,0.015096296,90
38,96,39.28,1.79,0.21,0,1.37,-0.11,0.22,0.68,0,0,0,37.5,4.5,0,915,2952,,39.28,,0.016479121,-9.05172E-05,0.016388604,96
39,100,41.59,1.89,0.27,0.01,1.44,-0.1,0.23,0.72,0,0,0,40.5,5.5,0,915,2957,,41.59,,0.017450549,-0.000112069,0.01733848,100
40,96,41.68,1.89,0.28,0.01,1.42,-0.1,0.24,0.72,0,0,0,39.5,4.5,0,915,3015,,41.68,,0.01749011,-0.000116379,0.017373731,96
41,88,40.73,1.9,0.28,0,1.38,-0.09,0.24,0.73,0,0,0,38.5,4,0,915,3017,,40.73,,0.017068132,-0.00012069,0.016947442,88
42,86,39.57,1.9,0.28,0,1.35,-0.1,0.24,0.72,0,0,0,38,4,0,915,3019,,39.57,,0.016558242,-0.00012069,0.016437552,86
43,81,38.04,1.81,0.28,0,1.31,-0.1,0.22,0.68,0,0,0,36,3.5,0,915,3023,,38.04,,0.015925275,-0.00012069,0.015804585,81
44,75,36.68,1.79,0.28,0,1.28,-0.09,0.21,0.65,0,0,0,35,3,0,915,3025,,36.68,,0.015336264,-0.00012069,0.015215574,75
45,71,35.15,1.69,0.27,-0.01,1.24,-0.1,0.2,0.61,0,0,0,33.5,3,0,915,3028,,35.15,,0.014707692,-0.00012069,0.014587003,71
46,65,33.31,1.69,0.28,0,1.17,-0.11,0.19,0.57,0,0,0,31.5,3,0,915,3032,,33.31,,0.013898901,-0.00012069,0.013778211,65
47,60,31.98,1.59,0.27,-0.01,1.14,-0.12,0.18,0.54,0,0,0,31,3.5,0,915,3034,,31.98,,0.013358242,-0.00012069,0.013237552,60
48,55,29.58,1.59,0.23,0,1.09,-0.1,0.17,0.48,0,0,0,28,3,0,915,3039,,29.58,,0.012303297,-9.91379E-05,0.012204159,55
49,49,27.65,1.47,0.21,0,1,-0.11,0.16,0.43,0,0,0,26,2.5,0,915,3043,,27.65,,0.011507692,-9.05172E-05,0.011417175,49
50,45,25.9,1.44,0.2,0,0.96,-0.1,0.16,0.39,0,0,0,25,2.5,0,915,3046,,25.9,,0.010751648,-8.62069E-05,0.010665441,45
51,40,23.67,1.38,0.22,0,0.86,-0.11,0.14,0.33,0,0,0,23,1.5,0,915,3051,,23.67,,0.009797802,-9.48276E-05,0.009702975,40
52,35,21.76,1.27,0.2,0.01,0.78,-0.11,0.14,0.28,0,0,0,21.5,2,0,915,3054,,21.76,,0.009006593,-8.18966E-05,0.008924697,35
53,31,20.21,1.27,0.2,0,0.72,-0.11,0.15,0.24,0,0,0,19.5,1.5,0,915,3057,,20.21,,0.008325275,-8.62069E-05,0.008239068,31
54,26,17.91,1.16,0.2,-0.01,0.63,-0.11,0.13,0.17,0,0,0,18,1,0,915,3102,,17.91,,0.007362637,-9.05172E-05,0.00727212,26
55,20,15.78,1.06,0.1,-0.01,0.56,-0.11,0.12,0.13,0,0,0,16,1,0,915,3106,,15.78,,0.00647033,-4.74138E-05,0.006422916,20
56,15,13.56,0.96,0.1,-0.01,0.49,-0.1,0.12,0.09,0,0,0,13.5,1,0,915,3110,,13.56,,0.005538462,-4.74138E-05,0.005491048,15
57,9,11.71,0.96,0.1,0,0.43,-0.1,0.12,0.07,0,0,0,12,0.5,0,915,3114,,11.71,,0.004725275,-4.31034E-05,0.004682171,9
