ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,γ1-2,PS1C1,,,AS1C1,,変位計1
166,-0.8,0.1,0,0.01,-0.04,-0.01,-0.01,0,0,0,0,0,-0.5,-0.5,0,1816,4927,,0,4.12371E-05,-0.8,250.6,-0.000246914,0,,0.1
167,-1.2,0.09,0.03,0.01,-0.04,-0.01,0,0,0,0,0,0,0.5,-0.5,0,1816,4935,,0.000493827,2.47423E-05,-1.2,,0.000493827,21,,0.09
168,4.6,0.95,0.11,0,-0.03,0,0,-0.02,0,0,0,0,1,0.5,0,1816,4938,,0.000246914,0.000346392,4.6,,0.002962963,39,,0.95
169,9.6,2.01,0.11,-0.01,-0.03,-0.01,0,-0.04,0,0,0,0,2,0,0,1816,4939,,0.000987654,0.000783505,9.6,,0.004444444,50,,2.01
170,12.4,2.67,0.16,0.01,0,0,0.01,-0.04,0.01,0,0,0,2.5,0.5,0,1816,5019,,0.000987654,0.001035052,12.4,,0.005432099,75,,2.67
171,12.4,2.67,0.15,0.02,-0.02,-0.01,0,-0.04,0,0,0,0,2.5,0,0,1816,5025,,0.001234568,0.001039175,12.4,,0.00617284,80,,2.67
172,6.8,1.91,0.13,0.01,-0.01,-0.02,0,-0.02,0,0,0,0,1.5,-1,0,1816,5026,,0.001234568,0.000734021,6.8,,0.006666667,104,,1.91
173,2,0.85,0.13,0.01,-0.04,-0.01,0.01,0,0.01,0,0,0,0,-1,0,1816,5028,,0.000493827,0.000296907,2,,0.007160494,89,,0.85
174,-3.2,-0.09,0.01,0,-0.02,0,0,0.02,0,0,0,0,-1,-1,0,1816,5030,,0,-4.12371E-05,-3.2,,0.00617284,49,,-0.09
175,-6.4,-0.87,0.04,0.02,-0.02,0,0,0.02,0.01,0,0,0,-2,-1.5,0,1816,5031,,-0.000246914,-0.000375258,-6.4,,0.005432099,36,,-0.87
176,-6.2,-0.96,-0.02,-0.01,-0.04,0.01,0,0.01,-0.01,0,0,0,-1.5,0,0,1816,5053,,-0.000740741,-0.000387629,-6.2,,0.004197531,25,,-0.96
177,-3,-0.48,-0.01,-0.01,-0.05,-0.01,0,0.01,0,0,0,0,0,-0.5,0,1816,5055,,0.000246914,-0.000193814,-3,,0.002716049,18,,-0.48
178,2.2,0.48,-0.01,-0.01,-0.04,-0.01,0,-0.02,-0.01,0,0,0,0.5,0.5,0,1816,5057,,0,0.000202062,2.2,,0.001481481,1,,0.48
179,7.2,1.43,0.09,-0.01,-0.05,-0.01,-0.01,-0.04,-0.01,0,0,0,1.5,0,0,1816,5058,,0.000740741,0.000552577,7.2,,0.001728395,1,,1.43
180,11.4,2.39,0.1,-0.01,-0.04,0,-0.01,-0.05,0,0,0,0,3,0,0,1816,5100,,0.001481481,0.00094433,11.4,,0.00345679,33,,2.39
181,14.6,3.25,0.1,-0.01,-0.04,-0.01,-0.01,-0.06,0,0,0,0,3.5,0.5,0,1816,5101,,0.001481481,0.001298969,14.6,,0.003950617,39,,3.25
182,17,4.13,0.07,-0.01,-0.05,0.02,0,-0.07,-0.01,0,0,0,4.5,1,0,1816,5102,,0.001728395,0.001674227,17,,0.005185185,51,,4.13
183,19.8,4.89,0.18,-0.01,-0.05,0.02,-0.01,-0.08,-0.01,0,0,0,5,0.5,0,1816,5104,,0.002222222,0.001942268,19.8,,0.005679012,65,,4.89
