ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,,PS2C1
7,-8,-0.22,0,0,0.01,0,0,0,0,0,0,0,0,0.5,0,814,2249,,-0.22,,-9.67033E-05,,-8
8,-7,-0.27,-0.03,-0.01,-0.05,0.02,-0.02,-0.03,-0.01,0,0,0,0.5,0.5,0,815,319,,-0.27,,-0.000105495,,-7
9,-8,-0.32,-0.01,0,-0.02,0.02,-0.01,-0.06,-0.01,0,0,0,0,40,0,815,517,,-0.32,,-0.000136264,,-8
10,-8,-0.32,-0.01,0.01,0,0.03,-0.02,-0.06,-0.01,0,0,0,0,2,0,815,518,,-0.32,,-0.000136264,,-8
11,-6,-0.32,-0.01,0.01,0.08,0.04,0,-0.05,-0.01,0,0,0,-0.5,2,0,815,549,,-0.32,,-0.000136264,,-6
12,1,0.37,0.02,0.02,0.09,0.05,0,-0.05,-0.01,0,0,0,0,2.5,0,815,551,,0.37,,0.000153846,,1
13,4,1.43,0.11,0,0.09,0.05,0,-0.05,0.01,0,0,0,2,2,0,815,552,,1.43,,0.00058022,,4
14,9,2.49,0.1,0.01,0.09,0.08,0.01,-0.05,0.01,0,0,0,3,1.5,0,815,554,,2.49,,0.001050549,,9
15,12,3.57,0.21,0.02,0.09,0.11,0,-0.04,0.02,0,0,0,4,3,0,815,556,,3.57,,0.001476923,,12
16,17,4.93,0.22,0.01,0.08,0.15,-0.01,-0.05,0.04,0,0,0,5,2.5,0,815,559,,4.93,,0.00207033,,17
17,20,6.18,0.3,0,0.08,0.18,-0.01,-0.06,0.05,0,0,0,6.5,2.5,0,815,601,,6.18,,0.002584615,,20
18,26,7.65,0.32,0,0.09,0.22,-0.01,-0.06,0.11,0,0,0,7.5,2.5,0,815,604,,7.65,,0.003221978,,26
19,31,9.68,0.42,0,0.08,0.29,-0.01,-0.07,0.13,0,0,0,9,2.5,0,815,607,,9.68,,0.00407033,,31
20,36,12.58,0.53,0,0.08,0.37,-0.02,-0.08,0.19,0,0,0,11.5,2.5,0,815,613,,12.58,,0.005296703,,36
21,39,14.03,0.53,0.02,0.09,0.42,-0.02,-0.08,0.21,0,0,0,13.5,3.5,0,815,615,,14.03,,0.005934066,,39
22,45,16.74,0.65,0.01,0.09,0.52,-0.03,-0.08,0.26,0,0,0,15.5,3.5,0,815,621,,16.74,,0.007072527,,45
23,51,18.56,0.75,0.01,0.09,0.59,-0.04,-0.06,0.29,0,0,0,17,3.5,0,815,624,,18.56,,0.007828571,,51
24,46,18.96,0.51,0,0.08,0.6,-0.05,-0.09,0.3,0,0,0,16.5,3,0,815,704,,18.96,,0.00810989,,46
25,36,18,0.75,0.01,0.09,0.59,-0.05,-0.1,0.28,0,0,0,16,2.5,0,815,705,,18,,0.007582418,,36
26,30,17.03,0.75,0.01,0.08,0.6,-0.05,-0.1,0.3,0,0,0,15,3,0,815,707,,17.03,,0.007156044,,30
27,26,15.96,0.65,0.02,0.09,0.59,-0.06,-0.09,0.28,0,0,0,13.5,2.5,0,815,709,,15.96,,0.00672967,,26
28,22,14.71,0.65,0.02,0.09,0.59,-0.05,-0.09,0.27,0,0,0,13,3,0,815,712,,14.71,,0.00618022,,22
29,18,13.44,0.64,0.01,0.09,0.56,-0.05,-0.09,0.24,0,0,0,11.5,3.5,0,815,714,,13.44,,0.005626374,,18
30,13,12.1,0.54,0.02,0.09,0.52,-0.05,-0.1,0.22,0,0,0,11,2.5,0,815,716,,12.1,,0.005081319,,13
31,8,10.75,0.54,0.02,0.09,0.48,-0.04,-0.1,0.2,0,0,0,9.5,2,0,815,719,,10.75,,0.004487912,,8
32,6,9.48,0.42,0.01,0.09,0.44,-0.05,-0.11,0.18,0,0,0,8,2,0,815,721,,9.48,,0.003982418,,6
33,-2,7.09,0.43,0.02,0.08,0.33,-0.05,-0.11,0.14,0,0,0,6.5,1.5,0,815,726,,7.09,,0.002927473,,-2
34,0,6.96,0.42,0.01,0.08,0.33,-0.04,-0.11,0.13,0,0,0,6,2,0,815,742,,6.96,,0.002874725,,0
35,14,8.02,0.42,0,0.09,0.34,-0.05,-0.11,0.14,0,0,0,8,1.5,0,815,744,,8.02,,0.003340659,,14
36,16,8.99,0.42,0.01,0.08,0.34,-0.05,-0.11,0.15,0,0,0,8.5,1,0,815,746,,8.99,,0.003767033,,16
37,22,10.36,0.53,0.01,0.09,0.36,-0.05,-0.11,0.17,0,0,0,10,1.5,0,815,748,,10.36,,0.004320879,,22
38,26,12.1,0.53,0.02,0.1,0.39,-0.04,-0.11,0.2,0,0,0,11,3,0,815,751,,12.1,,0.005085714,,26
39,32,13.64,0.64,0.01,0.09,0.43,-0.04,-0.1,0.23,0,0,0,12.5,3.5,0,815,754,,13.64,,0.005714286,,32
40,40,16.45,0.74,0.02,0.1,0.52,-0.05,-0.11,0.28,0,0,0,15.5,3.5,0,815,800,,16.45,,0.006905495,,40
41,50,19.34,0.76,0.01,0.03,0.61,-0.06,-0.11,0.32,0,0,0,17.5,3.5,0,815,805,,19.34,,0.008167033,,50
42,56,21.66,0.86,0.01,0.08,0.71,-0.05,-0.11,0.39,0,0,0,20.5,3.5,0,815,810,,21.66,,0.009142857,,56
43,60,24.46,0.96,0.02,0.09,0.82,-0.06,-0.11,0.43,0,0,0,22,4.5,0,815,816,,24.46,,0.01032967,,60
44,66,27.92,1.06,0.01,0.09,0.97,-0.06,-0.12,0.5,0,0,0,25.5,4.5,0,815,822,,27.92,,0.011806593,,66
45,69,30.43,1.18,0.01,0.09,1.08,-0.06,-0.12,0.56,0,0,0,28,5,0,815,827,,30.43,,0.012857143,,69
46,73,33.7,1.28,0.01,0.09,1.22,-0.06,-0.1,0.65,0,0,0,31,5.5,0,815,834,,33.7,,0.014250549,,73
47,75,34.95,1.38,0.02,0.09,1.26,-0.07,-0.11,0.69,0,0,0,32,6.5,0,815,836,,34.95,,0.014756044,,75
48,79,38.31,1.49,0.02,0.1,1.42,-0.08,-0.12,0.78,0,0,0,35,6,0,815,843,,38.31,,0.016184615,,79
49,80,39.46,1.49,0.02,0.09,1.45,-0.07,-0.12,0.81,0,0,0,36.5,5,0,815,845,,39.46,,0.01669011,,80
50,85,41.86,1.6,0.01,0.09,1.56,-0.06,-0.13,0.88,0,0,0,38.5,6,0,815,850,,41.86,,0.017696703,,85
51,84,43.48,1.71,0.02,0.1,1.62,-0.08,-0.13,0.92,0,0,0,40.5,6,0,815,853,,43.48,,0.01836044,,84
52,84,44.56,1.75,0.01,0.09,1.66,-0.07,-0.22,0.96,0,0,0,41.5,7,0,815,855,,44.56,,0.018817582,,84
53,91,47.73,1.9,0.01,0.09,1.81,-0.06,-0.21,1.04,0,0,0,44.5,6,0,815,901,,47.73,,0.020145055,,91
