CH_000	GAMMA
-5	-9.90744791208791e-05
-5	-6.60496527472527e-05
0	6.0545515018315e-05
0	0.000165124132234432
0	0.000275206886813187
0	0.00036327309047619
5	0.000489868258608059
0	0.0005834386
5	0.000688017216849817
5	0.000787091696336996
5	0.00092469513956044
5	0.00103661902820513
5	0.00113385237362637
5	0.00122191857728938
10	0.00135585901684982
5	0.00148611718864469
10	0.00157418339230769
10	0.00167325787142857
10	0.00181086131501832
10	0.00192644820732601
10	0.00196681830549451
5	0.00194846475824176
5	0.00182737372820513
0	0.00171729097362637
0	0.00163472890732601
0	0.00148611718864469
0	0.00139254684725275
-5	0.00128796823003663
-5	0.00117788547545788
-5	0.00105679444505495
-5	0.000930199277289377
-5	0.000843974207692308
-5	0.000737554456410257
-5	0.000588942737728938
-5	0.000500876534065934
-5	0.000429322743223443
-5	0.000319239988644689
-5	0.000181636545421245
-10	8.25620659340659e-05
-10	-1.10082754578755e-05
-10	-0.00017062826996337
-15	-0.000269702749084249
-10	-0.000346760677289377
-10	-0.000456843431868132
-15	-0.000594446875457876
-15	-0.000693521354578755
-15	-0.000803604109523809
-15	-0.000886166175457876
-15	-0.00103477789413919
-15	-0.00114486064908425
-15	-0.00123843099047619
-15	-0.00133750546959707
-15	-0.00146960477545788
-15	-0.00157234225824176
-15	-0.00167325787142857
-15	-0.00177233235091575
-20	-0.00191543993186813
-20	-0.00200901027362637
-20	-0.00211358889047619
-20	-0.00216863026776557
-15	-0.00211909302820513
-15	-0.00201451441135531
-10	-0.00193745648278388
-10	-0.00178700363003663
-10	-0.00169527442271062
-5	-0.00159069580549451
-5	-0.00148427605457875
-5	-0.00135768088644689
-5	-0.00124393512820513
0	-0.00114486064908425
0	-0.00105129030732601
-5	-0.000902678588644689
0	-0.000812771250915751
0	-0.000715537905494505
0	-0.000631134705494506
0	-0.000473355845421246
0	-0.000385289641391941
0	-0.0002917193
0	-0.000181636545421245
0	-0.000110082754578755
5	-3.85289641025641e-05
5	6.0545515018315e-05
5	0.000198148958608059
5	0.000286215162271062
0	0.000379785503663004
5	0.000478859983150183
5	0.000627471701831502
5	0.00070452963003663
5	0.000814612384981685
5	0.000908182726373626
10	0.00105679444505495
10	0.00115586892454212
5	0.00126044754139194
10	0.00135585901684982
10	0.00148611718864469
10	0.00159619994322344
10	0.00169527442271062
10	0.00178884476410256
10	0.00192644820732601
10	0.00197598544688645
5	0.00192094406959707
5	0.00185489441684982
5	0.0017062826981685
0	0.00159253693956044
0	0.00149162132637363
0	0.00135952202051282
0	0.00126595167912088
-5	0.0011668772
0	0.00107514799267399
-5	0.000930199277289377
-5	0.000842133073626374
-5	0.000715537905494505
-5	0.00063297583956044
-5	0.000478859983150183
-10	0.000390793779120879
-5	0.000286215162271062
-5	0.000198148958608059
-10	6.0545515018315e-05
-10	-3.85289641025641e-05
-10	-0.000132099305494505
-10	-0.000245845064102564
-10	-0.000385289641391941
-10	-0.000478859983150183
-10	-0.000588942737728938
-10	-0.000682513079120879
-15	-0.00082562066043956
-10	-0.00092469513956044
-15	-0.00101092020915751
-15	-0.0011668772
-15	-0.00126044754139194
-15	-0.00137603443406593
-15	-0.00145309236227106
-15	-0.00160170408095238
-15	-0.00172095397728938
-15	-0.00179985303956044
-20	-0.00189892751868132
-20	-0.00200901027362637
-20	-0.00215211785457875
-20	-0.00217779740915751
-15	-0.00212826016959707
-15	-0.00203102682454212
-10	-0.00188791924322344
-10	-0.0017943489018315
-10	-0.00168977028498168
-10	-0.001546662703663
-5	-0.00145125122820513
-5	-0.00134300960732601
-5	-0.001254943403663
-5	-0.00111183582271062
0	-0.00101276134322344
-5	-0.000908182726373626
-5	-0.000812771250915751
0	-0.000671504803663004
0	-0.000577934462271062
0	-0.000489868258608059
0	-0.000374281365934066
0	-0.000245845064102564
0	-0.000137603443223443
0	-0.000124754033699634
0	1.10082754578755e-05
5	0.000359610086813187
5	0.000610959288644689
5	0.000842133073626374
5	0.00107330685860806
5	0.00142557167362637
5	0.00166775373369963
10	0.00188241510549451
10	0.00210808475274725
10	0.00246585370549451
15	0.00270803576593407
15	0.00292269713772894
15	0.00318323274505495
15	0.00352815228864469
20	0.00377583848717949
15	0.00400701227106227
15	0.00404554123443223
10	0.00383087986446886
5	0.00357768952820513
5	0.00335201988095238
0	0.00310983782051282
0	0.00276307714322344
0	0.0025374074959707
0	0.00229522543589744
-5	0.00205854751318681
-5	0.00168610728131868
-5	0.00148611718864469
-10	0.00124577626227106
-5	0.00101276134322344
-5	0.000666000665934066
-10	0.000418314467765568
-10	0.000181636545421245
-15	-4.40331018315018e-05
-15	-0.000385289641391941
-15	-0.000609118154578755
-15	-0.000858645486813187
-15	-0.00108431513406593
-15	-0.00144208408681319
-15	-0.00168426614725275
-15	-0.00190259052234432
-20	-0.00225669647142857
-20	-0.00249887853186813
-20	-0.002713539903663
-20	-0.0029612261018315
-25	-0.00331349091684982
-25	-0.00355016883956044
-25	-0.00378684676190476
-25	-0.00401251641025641
-25	-0.00424369019413919
-20	-0.00422167364468865
-20	-0.00397949158241758
-15	-0.00375932607326007
-15	-0.00340155712051282
-10	-0.00314836678461539
-10	-0.00292269713772894
-5	-0.00268051507728938
-5	-0.002337417403663
0	-0.00209157233956044
0	-0.00186590269230769
0	-0.00164023304505495
0	-0.00128246409230769
0	-0.00104028203186813
0	-0.00082562066043956
0	-0.000605455150915751
0	-0.000236677922710623
0	-0.000126595167765568
0	-6.0545515018315e-05
0	0.0002917193
0	0.000539405498168498
5	0.00076691627948718
5	0.00100725720549451
5	0.00134851374505495
10	0.00158519166776557
10	0.00182737372820513
10	0.00205854751318681
10	0.00241081232820513
10	0.00263648197545788
10	0.0028731598978022
10	0.0031208460959707
15	0.00347495204505495
15	0.0037042846959707
15	0.00392995434432234
20	0.00404554123443223
10	0.0038804171025641
5	0.00366575573260073
5	0.00344008608461538
5	0.00320340816190476
0	0.00285664748461538
0	0.0026254737
0	0.00238329163956044
0	0.00214661371684982
-5	0.00177967762271062
-5	0.00157968753003663
-5	0.00135401788278388
-5	0.00100909833956044
-10	0.000770579283150183
-10	0.00051188480952381
-10	0.000286215162271062
-10	-6.0545515018315e-05
-10	-0.000286215162271062
-10	-0.000533901360439561
-10	-0.000779746424542124
-15	-0.0011228440981685
-15	-0.00135952202051282
-15	-0.00157968753003663
-15	-0.00182553259413919
-15	-0.00217779740915751
-20	-0.00239429991501831
-25	-0.00266400266410256
-20	-0.00288416817326007
-20	-0.00322908771684982
-20	-0.00346210263553114
-20	-0.00368226814652015
-25	-0.0039244502051282
-25	-0.00424369019413919
-25	-0.00424919433333333
-20	-0.00405654951282051
-15	-0.003836384
-10	-0.00348411918644689
-10	-0.00324744126410256
-5	-0.00301626747912088
-10	-0.00277408541868132
-5	-0.00243833301684982
-5	-0.00219615095641026
0	-0.00196497717142857
-5	-0.00172645811501832
0	-0.00138704270952381
0	-0.00116137306227106
0	-0.000935703415018315
0	-0.000566926186813187
5	-0.000333911267765568
0	-0.00012109103003663
0	-0.00012109103003663
5	0.000544909635897436
5	0.00101276134322344
5	0.00147510891318681
5	0.00192828934139194
10	0.00262731483406593
10	0.00310983782051282
15	0.00356668125274725
20	0.0040400370989011
20	0.004755575003663
20	0.00521976370695971
20	0.00572430324542125
25	0.00616463426373626
25	0.00688567630769231
25	0.00734802387545788
25	0.00782688386080586
30	0.00823969419047619
20	0.00813511557142857
15	0.00763423904029304
10	0.00717739560805861
10	0.00669853562271062
5	0.00600501427106227
0	0.00553716256043956
0	0.00505830257875458
-5	0.00458678786813187
-5	0.00390793779120879
-5	0.00342541480549451
-5	0.00295021782637363
-5	0.00225119233369963
-10	0.00176132407545788
-10	0.00128246409230769
-10	0.00082562066043956
-15	0.000115586892307692
-15	-0.000335752401831502
-15	-0.000803604109523809
-15	-0.00128796823003663
-15	-0.00198699372271062
-20	-0.00248052498461538
-20	-0.00293920955091575
-20	-0.00339605298278388
-25	-0.00410608675091575
-25	-0.00456843431868132
-30	-0.00504545316849817
-30	-0.00550964187179487
-30	-0.00621967564102564
-30	-0.00667101493406593
-35	-0.00714437078021978
-35	-0.0076287349010989
-35	-0.00833876867032967
-35	-0.00843233901098901
-30	-0.00819015694871795
-25	-0.00771495997069597
-15	-0.00702327975091575
-15	-0.00654992390476191
-10	-0.00606555978388278
-10	-0.00560871635164835
-5	-0.00489868258608059
-5	-0.00444183915384615
-5	-0.00396848330769231
0	-0.00350613573736264
0	-0.00278509369413919
0	-0.00232274612454212
0	-0.00185489441684982
0	-0.00139620985091575
0	-0.000691680220512821
0	-0.000214661371794872
0	-0.000110082754578755
0	0.000392634913186813
5	0.000853141349084249
5	0.00131548891868132
5	0.00180719831135531
10	0.00248787025641026
10	0.00297223437728938
15	0.00345109436007326
15	0.00391344193040293
15	0.00460330028205128
15	0.00508582326739927
20	0.00557569152747253
20	0.0060380390952381
25	0.00674807286446887
25	0.00721042043223443
25	0.00768011327472527
30	0.00814612384981685
25	0.0082562066043956
15	0.00779385903296703
10	0.00733151146520147
10	0.00685815561904762
5	0.00617564253846154
0	0.00569127841758242
5	0.00521792257509158
0	0.004751912
-5	0.00405104537362637
0	0.00358319366593407
-5	0.00310983782051282
-5	0.00263832310952381
-10	0.00193195234505495
-10	0.00146043763406593
-10	0.000985240654578755
-10	0.0002917193
-15	-0.000187140683150183
-15	-0.000649488252747253
-15	-0.00111733996043956
-15	-0.00182737372820513
-20	-0.00229888843956044
-20	-0.00276858128095238
-20	-0.00323643298864469
-25	-0.00395197089377289
-25	-0.00440697319047619
-25	-0.00488217017216117
-25	-0.00536103015384615
-25	-0.00604354323443224
-30	-0.00652056208424908
-30	-0.00698475078754579
-30	-0.00746911490842491
-35	-0.00818465281318681
-35	-0.00841398546520147
-30	-0.00834977694505495
-25	-0.0078764210989011
-15	-0.00718840388278388
-15	-0.0067095439010989
-10	-0.00625270046886447
-10	-0.00578300762637363
-5	-0.00509132740659341
-5	-0.00460696328571429
-5	-0.00415011985347985
-5	-0.00368777228205128
0	-0.00297773851501831
0	-0.00251905394871795
0	-0.0020420351
0	-0.00134851374505495
0	-0.000869653762271062
0	-0.000418314467765568
0	-0.000108241620512821
5	0.000513725943589744
5	0.00147510891318681
10	0.00243467001318681
10	0.00339054884505494
15	0.0048399782051282
20	0.00580320230769231
20	0.00676458527838828
25	0.00775166706593407
35	0.00918824701465201
35	0.0101441258461538
40	0.0111513830512821
45	0.0121256154322344
45	0.0131163602234432
55	0.0145419318974359
