#CH_000	GAMMA1
-5	-0.000183150183150183
0	-0.000186813186813187
10	-0.000186813186813187
60	-0.000186813186813187
105	0.000179487179487179
125	0
145	0.000201465201465201
170	0.000384615384615385
185	0.000384615384615385
205	0.000388278388278388
220	0.000571428571428572
240	0.000758241758241758
255	0.000937728937728938
270	0.000937728937728938
285	0.000948717948717949
300	0.00113186813186813
315	0.00113186813186813
330	0.0014981684981685
341	0.0014981684981685
356	0.00168131868131868
366	0.00168498168498168
361	0.00168498168498168
336	0.00168498168498168
275	0.00168131868131868
225	0.0015018315018315
175	0.00131501831501831
135	0.00131868131868132
105	0.00113186813186813
80	0.00113186813186813
45	0.000948717948717949
30	0.000948717948717949
10	0.000761904761904762
-5	0.000758241758241758
-20	0.000575091575091575
-35	0.000571428571428572
-45	0.000388278388278388
-60	0.000384615384615385
-75	0.000201465201465201
-90	0.000201465201465201
-105	0.000201465201465201
-125	0.000201465201465201
-140	-0.000347985347985348
-150	-0.000164835164835165
-165	-0.000347985347985348
-180	-0.000347985347985348
-195	-0.000531135531135531
-210	-0.000534798534798535
-225	-0.000717948717948718
-250	-0.000904761904761905
-265	-0.00109157509157509
-285	-0.00109157509157509
-310	-0.00126739926739927
-330	-0.00127472527472527
-346	-0.00146153846153846
-361	-0.00146153846153846
-381	-0.00146153846153846
-396	-0.00164468864468865
-416	-0.00182783882783883
-431	-0.00182783882783883
-451	-0.00201465201465201
-456	-0.00201098901098901
-436	-0.00201465201465201
-330	-0.00201831501831502
-270	-0.00183516483516484
-220	-0.00164835164835165
-180	-0.00146886446886447
-140	-0.00146886446886447
-110	-0.00128571428571429
-85	-0.00128571428571429
-60	-0.0011025641025641
-40	-0.0011025641025641
-25	-0.0011025641025641
0	-0.000736263736263736
10	-0.000919413919413919
25	-0.000736263736263736
35	-0.000736263736263736
45	-0.000553113553113553
60	-0.000553113553113553
70	-0.000186813186813187
80	-0.00036996336996337
85	-0.000186813186813187
95	-0.000186813186813187
105	-0.000183150183150183
115	-3.66300366300366e-06
130	-3.66300366300366e-06
145	0.000179487179487179
155	0.000362637362637363
170	0.000362637362637363
185	0.000545787545787546
200	0.000728937728937729
215	0.000728937728937729
225	0.000912087912087912
245	0.000912087912087912
260	0.0010952380952381
270	0.0010952380952381
290	0.00127838827838828
300	0.00146153846153846
320	0.00164468864468865
336	0.00164468864468865
351	0.00165201465201465
351	0.00167765567765568
325	0.00167765567765568
265	0.00167765567765568
220	0.00147985347985348
170	0.0013003663003663
135	0.0013040293040293
95	0.00131501831501831
70	0.000937728937728938
50	0.000934065934065934
35	0.000934065934065934
15	0.000754578754578755
5	0.000754578754578755
-10	0.000571428571428572
-25	0.000571428571428572
-40	0.000377289377289377
-50	0.000377289377289377
-65	0.000190476190476191
-75	0.000190476190476191
-95	7.32600732600733e-06
-105	3.66300366300366e-06
-110	-0.000362637362637363
-125	-0.000179487179487179
-130	-0.000545787545787546
-145	-0.000362637362637363
-150	-0.000545787545787546
-160	-0.000728937728937729
-170	-0.000728937728937729
-185	-0.000728937728937729
-195	-0.0010952380952381
-210	-0.0010952380952381
-225	-0.00127838827838828
-240	-0.00127838827838828
-255	-0.00146153846153846
-275	-0.00146153846153846
-300	-0.00164835164835165
-325	-0.00164468864468865
-356	-0.00182783882783883
-386	-0.00182783882783883
-411	-0.00201465201465201
-426	-0.00201465201465201
-371	-0.00201465201465201
-305	-0.00183150183150183
-245	-0.00183150183150183
-200	-0.00165201465201465
-160	-0.00146520146520147
-130	-0.00146520146520147
-100	-0.00128205128205128
-80	-0.00128205128205128
-55	-0.0010989010989011
-40	-0.0010989010989011
-15	-0.000915750915750916
-5	-0.000915750915750916
5	-0.000732600732600733
15	-0.000549450549450549
30	-0.000732600732600733
40	-0.000366300366300366
45	-0.000553113553113553
60	-0.000183150183150183
75	-0.00036996336996337
80	-0.000183150183150183
90	0
115	0
155	0.000362637362637363
185	0.000728937728937729
220	0.000915750915750916
255	0.0010989010989011
290	0.00146153846153846
330	0.00164835164835165
376	0.00183882783882784
411	0.00205128205128205
441	0.00241391941391941
466	0.0025970695970696
481	0.00278021978021978
481	0.00314652014652015
501	0.00351282051282051
521	0.00351648351648352
501	0.00387912087912088
406	0.00351282051282051
295	0.00332967032967033
205	0.00296336996336996
140	0.00278021978021978
95	0.00241391941391941
50	0.00241391941391941
20	0.00204761904761905
-5	0.00186446886446886
-30	0.00168131868131868
-75	0.00131501831501831
-85	0.00113186813186813
-95	0.00113186813186813
-105	0.000765567765567766
-115	0.000582417582417583
-125	0.000216117216117216
-140	3.2967032967033e-05
-155	-0.00015018315018315
-175	-0.000333333333333333
-190	-0.0006996336996337
-215	-0.000882783882783883
-255	-0.00124908424908425
-305	-0.00143223443223443
-371	-0.00181318681318681
-441	-0.00201831501831502
-501	-0.0022014652014652
-551	-0.00238461538461538
-596	-0.00256776556776557
-646	-0.00275091575091575
-691	-0.0033003663003663
-731	-0.00348351648351648
-771	-0.00366666666666667
-806	-0.00385347985347985
-746	-0.00366666666666667
-591	-0.00348351648351648
-451	-0.0033003663003663
-351	-0.00311721611721612
-260	-0.00275091575091575
-190	-0.00275091575091575
-135	-0.00256776556776557
-90	-0.00201831501831502
-60	-0.00183516483516484
-35	-0.00165567765567766
-10	-0.00146886446886447
5	-0.0011025641025641
35	-0.000919413919413919
50	-0.000736263736263736
65	-0.000553113553113553
85	-0.000186813186813187
95	-0.000186813186813187
100	-3.66300366300366e-06
120	-3.66300366300366e-06
140	0.000362637362637363
165	0.000545787545787546
185	0.000545787545787546
195	0.0010952380952381
225	0.00127472527472527
255	0.00165201465201465
290	0.00183882783882784
285	0.00204029304029304
