CH_000	GAMMA
5	-3.66300366300366e-06
15	0
30	4.76190476190476e-05
45	0.000161172161172161
60	0.000256410256410256
75	0.000358974358974359
80	0.000487179487179487
95	0.000571428571428572
105	0.000703296703296703
110	0.000787545787545788
115	0.000886446886446887
120	0.00100732600732601
125	0.00110622710622711
130	0.00121978021978022
135	0.00133333333333333
135	0.00144688644688645
140	0.00154945054945055
140	0.00165567765567766
140	0.00178388278388278
140	0.00189377289377289
135	0.00193772893772894
120	0.00196336996336996
85	0.00185714285714286
55	0.00177655677655678
35	0.00167032967032967
20	0.00157875457875458
15	0.00146520146520147
10	0.00130769230769231
5	0.00121978021978022
5	0.00110989010989011
0	0.00104029304029304
0	0.000952380952380952
-5	0.000842490842490843
-5	0.000721611721611722
-10	0.000608058608058608
-10	0.000505494505494506
-10	0.000391941391941392
-10	0.000293040293040293
-10	0.000172161172161172
-15	6.95970695970696e-05
-30	-1.83150183150183e-05
-45	-0.00010989010989011
-55	-0.000216117216117216
-75	-0.000315018315018315
-80	-0.00041025641025641
-90	-0.000523809523809524
-95	-0.000615384615384615
-105	-0.000714285714285714
-110	-0.000824175824175824
-115	-0.000912087912087912
-125	-0.00103296703296703
-135	-0.00113553113553114
-140	-0.00126373626373626
-145	-0.00135531135531136
-155	-0.00145421245421245
-165	-0.00157875457875458
-175	-0.00168864468864469
-180	-0.0017948717948718
-195	-0.00187545787545788
-190	-0.00197435897435897
-160	-0.00192673992673993
-130	-0.00183882783882784
-110	-0.00173626373626374
-90	-0.00163736263736264
-70	-0.00152747252747253
-55	-0.00141391941391941
-45	-0.00131501831501831
-35	-0.00121611721611722
-20	-0.00110622710622711
-10	-0.00101465201465201
-5	-0.000904761904761905
5	-0.000816849816849817
10	-0.000736263736263736
20	-0.000626373626373626
20	-0.000516483516483516
25	-0.00043956043956044
25	-0.000318681318681319
30	-0.000216117216117216
35	-9.89010989010989e-05
35	-7.69230769230769e-05
40	-2.1978021978022e-05
50	6.95970695970696e-05
60	0.000164835164835165
60	0.00026007326007326
70	0.000373626373626374
70	0.000468864468864469
75	0.000578754578754579
75	0.000706959706959707
75	0.00080952380952381
80	0.000930402930402931
85	0.001003663003663
90	0.00112820512820513
90	0.00124542124542125
95	0.00134432234432234
95	0.00145787545787546
105	0.00156410256410256
115	0.00165567765567766
125	0.00181318681318681
140	0.00194871794871795
135	0.00195238095238095
110	0.00193406593406593
70	0.00183150183150183
50	0.00172527472527473
30	0.00162637362637363
20	0.00151648351648352
20	0.00142124542124542
15	0.0013040293040293
10	0.00119047619047619
10	0.00112454212454212
5	0.000996336996336996
5	0.000915750915750916
0	0.000835164835164835
0	0.000728937728937729
-5	0.000604395604395604
-5	0.000490842490842491
-5	0.000395604395604396
-5	0.000293040293040293
-10	0.000168498168498169
-15	6.22710622710623e-05
-20	-4.3956043956044e-05
-30	-0.000139194139194139
-40	-0.000227106227106227
-40	-0.000333333333333333
-45	-0.000443223443223443
-55	-0.000538461538461538
-60	-0.000641025641025641
-65	-0.000754578754578755
-75	-0.000853479853479854
-85	-0.000963369963369963
-90	-0.00106227106227106
-100	-0.00116117216117216
-110	-0.00125641025641026
-120	-0.00138095238095238
-135	-0.00152380952380952
-145	-0.00162271062271062
-160	-0.00173260073260073
-175	-0.00184249084249084
-190	-0.00194139194139194
-190	-0.00197069597069597
-160	-0.00191941391941392
-130	-0.00182051282051282
-105	-0.00172161172161172
-85	-0.00162271062271062
-70	-0.00151282051282051
-55	-0.0014029304029304
-45	-0.00131135531135531
-35	-0.0011978021978022
-25	-0.0010952380952381
-15	-0.001003663003663
-5	-0.000901098901098901
5	-0.000805860805860806
10	-0.000725274725274725
15	-0.000633699633699634
20	-0.000516483516483517
25	-0.000421245421245421
25	-0.000307692307692308
30	-0.000197802197802198
35	-0.000102564102564103
35	-7.69230769230769e-05
45	4.3956043956044e-05
60	0.000289377289377289
70	0.000534798534798535
75	0.000794871794871795
85	0.00104029304029304
90	0.00130769230769231
95	0.00157509157509158
120	0.00181684981684982
150	0.00221978021978022
170	0.00246153846153846
185	0.00272161172161172
210	0.00298901098901099
235	0.00324542124542125
260	0.00352014652014652
290	0.00378021978021978
310	0.00401831501831502
300	0.00402930402930403
200	0.00382783882783883
130	0.00359340659340659
90	0.00333699633699634
55	0.0030989010989011
30	0.00282417582417582
15	0.00255677655677656
15	0.0023040293040293
15	0.00205494505494505
10	0.0017948717948718
5	0.00157509157509158
-5	0.00131868131868132
-10	0.00108058608058608
-15	0.000805860805860806
-15	0.000542124542124542
-20	0.000267399267399267
-25	7.32600732600733e-06
-40	-0.000230769230769231
-55	-0.000465201465201465
-65	-0.000725274725274725
-85	-0.000967032967032967
-105	-0.00121611721611722
-130	-0.00147985347985348
-155	-0.00171062271062271
-195	-0.00195604395604396
-215	-0.00221611721611722
-240	-0.00247619047619048
-260	-0.00272161172161172
-280	-0.00298168498168498
-300	-0.00325274725274725
-320	-0.00351648351648352
-341	-0.00377289377289377
-351	-0.004003663003663
-341	-0.00401098901098901
-260	-0.00379487179487179
-205	-0.00356043956043956
-165	-0.00331135531135531
-125	-0.00306959706959707
-95	-0.0027985347985348
-65	-0.00254212454212454
-35	-0.00217948717948718
-15	-0.00190842490842491
0	-0.00167765567765568
10	-0.00147252747252747
25	-0.00121245421245421
