CH_000	GAMMA1
0	3.66300366300366e-06
25	3.66300366300366e-06
20	-0.000179487179487179
50	3.66300366300366e-06
75	0.000186813186813187
100	0.000183150183150183
115	0.00036996336996337
135	0.000366300366300366
150	0.000732600732600733
165	0.000549450549450549
180	0.000915750915750916
200	0.000919413919413919
220	0.000919413919413919
230	0.0011025641025641
250	0.00128571428571429
260	0.00128205128205128
275	0.00128571428571429
295	0.00146520146520147
305	0.00164835164835165
315	0.00183150183150183
325	0.00183516483516484
336	0.0021978021978022
325	0.00201831501831502
285	0.00183150183150183
255	0.00164835164835165
220	0.00165201465201465
190	0.00164835164835165
165	0.00146886446886447
145	0.00128571428571429
115	0.0011025641025641
95	0.000919413919413919
75	0.0011025641025641
60	0.000736263736263736
45	0.000553113553113553
30	0.000736263736263736
20	0.000553113553113553
5	0.000553113553113553
-5	0.00036996336996337
-15	0.000366300366300366
-35	0.000186813186813187
-45	0.000183150183150183
-50	3.66300366300366e-06
-60	-0.000179487179487179
-70	-0.000179487179487179
-75	-0.000362637362637363
-90	-0.000366300366300366
-95	-0.000362637362637363
-100	-0.000366300366300366
-115	-0.000732600732600733
-125	-0.000732600732600733
-140	-0.000912087912087912
-150	-0.000912087912087912
-165	-0.0010952380952381
-175	-0.0010952380952381
-185	-0.00127838827838828
-200	-0.00127838827838828
-210	-0.00146520146520147
-220	-0.00146153846153846
-235	-0.00164468864468865
-245	-0.00164468864468865
-260	-0.00182783882783883
-245	-0.00183150183150183
-200	-0.00164468864468865
-160	-0.00164468864468865
-130	-0.00146520146520147
-100	-0.00127838827838828
-75	-0.00146153846153846
-60	-0.0010952380952381
-40	-0.00127838827838828
-30	-0.000915750915750916
-20	-0.000915750915750916
-10	-0.000728937728937729
-5	-0.000728937728937729
0	-0.000545787545787546
5	-0.000728937728937729
20	-0.000545787545787546
25	-0.000362637362637363
35	-0.000362637362637363
40	-0.000179487179487179
45	-0.000179487179487179
60	3.66300366300366e-06
55	3.66300366300366e-06
70	3.66300366300366e-06
80	0.000186813186813187
90	0.000183150183150183
105	0.00036996336996337
115	0.00036996336996337
120	0.000553113553113553
140	0.000553113553113553
155	0.000919413919413919
170	0.000736263736263736
185	0.0011025641025641
210	0.0011025641025641
225	0.00128205128205128
235	0.00128571428571429
255	0.00146886446886447
270	0.00146520146520147
285	0.00164835164835165
300	0.00165201465201465
310	0.00183516483516484
325	0.00201831501831502
325	0.00201831501831502
270	0.00165201465201465
240	0.00183516483516484
210	0.00146520146520147
180	0.00146886446886447
160	0.00128571428571429
135	0.00128571428571429
115	0.0011025641025641
105	0.0011025641025641
85	0.000919413919413919
70	0.000919413919413919
50	0.000553113553113553
35	0.000732600732600733
20	0.000553113553113553
5	0.00036996336996337
0	0.00036996336996337
-15	0.00036996336996337
-20	0.000186813186813187
-30	3.66300366300366e-06
-40	-0.000179487179487179
-45	-0.000183150183150183
-50	-0.000179487179487179
-55	-0.000179487179487179
-60	-0.000549450549450549
-65	-0.000362637362637363
-75	-0.000728937728937729
-80	-0.000545787545787546
-85	-0.000728937728937729
-95	-0.000912087912087912
-115	-0.00127838827838828
-120	-0.0010952380952381
-130	-0.00127838827838828
-145	-0.0010989010989011
-160	-0.00146153846153846
-175	-0.00146520146520147
-195	-0.00164468864468865
-210	-0.00164468864468865
-240	-0.00182783882783883
-250	-0.00183150183150183
-240	-0.00182783882783883
-190	-0.00164468864468865
-150	-0.00164468864468865
-125	-0.00146153846153846
-95	-0.00127838827838828
-75	-0.00146520146520147
-60	-0.0010989010989011
-40	-0.00128205128205128
-20	-0.0010952380952381
-15	-0.0010952380952381
-10	-0.000732600732600733
-5	-0.000728937728937729
-5	-0.000549450549450549
5	-0.000545787545787546
15	-0.000545787545787546
25	-0.000362637362637363
30	-0.000362637362637363
40	-0.000179487179487179
40	-0.000183150183150183
50	3.66300366300366e-06
55	0
80	0.000183150183150183
110	0.000366300366300366
140	0.000736263736263736
175	0.000919413919413919
215	0.00128571428571429
250	0.00128205128205128
285	0.00165201465201465
325	0.00201831501831502
356	0.00238461538461538
386	0.00256410256410256
401	0.00293406593406593
421	0.00311721611721612
431	0.0033003663003663
441	0.00366666666666667
456	0.00366666666666667
461	0.00403296703296703
436	0.00384981684981685
371	0.00366666666666667
320	0.0032967032967033
275	0.0033003663003663
220	0.00293040293040293
185	0.00256776556776557
160	0.00238461538461538
130	0.0022014652014652
115	0.00201831501831502
90	0.00165201465201465
65	0.00128205128205128
40	0.0011025641025641
20	0.000919413919413919
-5	0.000736263736263736
-25	0.000366300366300366
-50	3.66300366300366e-06
-60	-0.000179487179487179
-70	-0.000366300366300366
-85	-0.000549450549450549
-95	-0.000732600732600733
-120	-0.000915750915750916
-150	-0.0010989010989011
-180	-0.00146153846153846
-220	-0.00164835164835165
-260	-0.00182783882783883
-310	-0.0021978021978022
-341	-0.0021978021978022
-371	-0.00256043956043956
-401	-0.00274358974358974
-436	-0.0032967032967033
-466	-0.00347619047619048
-496	-0.00347985347985348
-496	-0.00384249084249084
-431	-0.00329304029304029
-336	-0.00329304029304029
-255	-0.00311355311355311
-170	-0.00274358974358974
-130	-0.00237728937728938
-90	-0.0021978021978022
-65	-0.00183150183150183
-45	-0.00164835164835165
-25	-0.00146520146520147
-10	-0.00127838827838828
0	-0.0010952380952381
5	-0.000915750915750916
15	-0.000732600732600733
20	-0.000549450549450549
40	-0.000183150183150183
55	3.66300366300366e-06
55	3.66300366300366e-06
75	0.00036996336996337
95	0.000549450549450549
115	0.000736263736263736
145	0.000919413919413919
170	0.0011025641025641
200	0.00146520146520147
225	0.00165201465201465
245	0.00183516483516484
280	0.0022014652014652
305	0.00275091575091575
325	0.00274725274725275
346	0.00311721611721612
371	0.0033003663003663
396	0.0032967032967033
421	0.00366666666666667
441	0.00384981684981685
436	0.00403296703296703
381	0.00366666666666667
305	0.00348351648351648
260	0.00311721611721612
230	0.00293406593406593
195	0.00275091575091575
165	0.00238095238095238
140	0.0022014652014652
120	0.00201831501831502
100	0.00165201465201465
75	0.00146886446886447
55	0.00128571428571429
30	0.000919413919413919
10	0.000736263736263736
-20	0.000553113553113553
-35	0
-45	-0.000183150183150183
-55	-0.000362637362637363
-60	-0.000366300366300366
-70	-0.000728937728937729
-80	-0.000912087912087912
-100	-0.0010952380952381
-120	-0.00128205128205128
-140	-0.00146520146520147
-170	-0.00182783882783883
-200	-0.00201465201465201
-230	-0.00237728937728938
-270	-0.00274725274725275
-305	-0.00292673992673993
-351	-0.00310989010989011
-396	-0.00329304029304029
-446	-0.00365934065934066
-476	-0.00384615384615385
-456	-0.00384249084249084
-346	-0.00347619047619048
-270	-0.00292673992673993
-175	-0.00256043956043956
-135	-0.00238095238095238
-100	-0.00238095238095238
-70	-0.00201098901098901
-45	-0.00182783882783883
-30	-0.00164468864468865
-15	-0.00146520146520147
-5	-0.0010989010989011
0	-0.000912087912087912
5	-0.000732600732600733
15	-0.000728937728937729
35	-0.000362637362637363
45	-0.000179487179487179
45	3.66300366300366e-06
70	0.00036996336996337
115	0.000736263736263736
165	0.0011025641025641
215	0.00165201465201465
260	0.0022014652014652
305	0.00275091575091575
346	0.00311721611721612
396	0.00366666666666667
466	0.0043992673992674
496	0.00476556776556777
521	0.00513186813186813
541	0.00568131868131868
556	0.00623076923076923
571	0.0065970695970696
586	0.00714652014652015
601	0.00751282051282051
591	0.0076959706959707
526	0.0076959706959707
436	0.00714652014652015
376	0.00678021978021978
300	0.00604761904761905
265	0.00568131868131868
230	0.00494871794871795
175	0.00403296703296703
145	0.00366300366300366
120	0.0033003663003663
95	0.00293406593406593
70	0.00238095238095238
35	0.00183516483516484
10	0.00128205128205128
-40	0.000549450549450549
-60	0.000186813186813187
-75	-0.000362637362637363
-95	-0.000728937728937729
-125	-0.00127838827838828
-160	-0.00182783882783883
-210	-0.00219413919413919
-275	-0.00274725274725275
-351	-0.00292673992673993
-436	-0.00365934065934066
-516	-0.00384615384615385
-611	-0.00476190476190476
-666	-0.00549450549450549
-721	-0.00563736263736264
-771	-0.00636996336996337
-816	-0.00691941391941392
-861	-0.00746886446886447
-901	-0.00801831501831502
-866	-0.0082014652014652
-681	-0.00746886446886447
-506	-0.0071025641025641
-371	-0.00655311355311355
-230	-0.00545421245421245
-160	-0.00545421245421245
-105	-0.00472527472527473
-70	-0.00453846153846154
-45	-0.00362271062271062
-20	-0.00325641025641026
-5	-0.00270695970695971
5	-0.00234065934065934
10	-0.00179120879120879
25	-0.00142490842490843
35	-0.00105860805860806
75	-0.000326007326007326
85	-0.000142857142857143
95	-0.000142857142857143
120	0.00058974358974359
155	0.000956043956043956
190	0.00150549450549451
220	0.00205494505494505
250	0.0026043956043956
270	0.00315384615384615
300	0.00352014652014652
320	0.00388644688644689
356	0.00478754578754579
381	0.00494505494505494
406	0.00531135531135531
436	0.00604395604395604
466	0.00641025641025641
496	0.00696336996336996
536	0.00732600732600733
546	0.00769230769230769
516	0.0076959706959707
421	0.00714652014652015
361	0.00678021978021978
315	0.00641025641025641
260	0.00549450549450549
230	0.00512820512820513
195	0.00476190476190476
170	0.00421245421245421
150	0.00384615384615385
125	0.0032967032967033
105	0.00293040293040293
85	0.00256776556776557
55	0.00201465201465201
30	0.00128205128205128
-10	0.000736263736263736
-35	0.000183150183150183
-50	-0.000183150183150183
-60	-0.000732600732600733
-75	-0.0010989010989011
-90	-0.00164835164835165
-110	-0.0021978021978022
-130	-0.00238095238095238
-165	-0.00311355311355311
-200	-0.00347985347985348
-245	-0.00402930402930403
-300	-0.00439194139194139
-396	-0.00512820512820513
-466	-0.00586080586080586
-546	-0.00622710622710623
-636	-0.00695970695970696
-726	-0.0071025641025641
-821	-0.00783516483516483
-821	-0.00801831501831502
-686	-0.00746886446886447
-511	-0.0071025641025641
-371	-0.00691941391941392
-270	-0.006003663003663
-160	-0.00527106227106227
-110	-0.00490476190476191
-75	-0.00417216117216117
-45	-0.00380586080586081
-30	-0.00343956043956044
-15	-0.00289010989010989
-5	-0.00252380952380952
0	-0.00197802197802198
15	-0.00161172161172161
25	-0.00124175824175824
45	-0.000692307692307692
75	-0.000142857142857143
75	-0.000142857142857143
135	0.000772893772893773
200	0.00187179487179487
250	0.00297069597069597
300	0.00406959706959707
346	0.0047985347985348
401	0.00567765567765568
461	0.00677655677655678
541	0.00787545787545788
596	0.00879120879120879
641	0.0104395604395604
661	0.0115384615384615
686	0.0124542124542125
701	0.0135531135531136
716	0.0146520146520147
736	0.0155714285714286
711	0.0161172161172161
576	0.0155677655677656
451	0.0146520146520147
371	0.0135531135531136
315	0.0124542124542125
275	0.0113553113553114
240	0.0106227106227106
195	0.00897435897435897
170	0.00787545787545788
145	0.00677655677655678
115	0.00586080586080586
95	0.00494505494505494
65	0.00421245421245421
40	0.00311355311355311
0	0.00201465201465201
-45	0.000732600732600733
-75	-0.000183150183150183
-100	-0.0010989010989011
-155	-0.00238095238095238
-220	-0.00366300366300366
-300	-0.00476190476190476
-426	-0.00567765567765568
-581	-0.00641025641025641
-761	-0.00801831501831502
-886	-0.00893406593406593
-971	-0.00955677655677656
-1042	-0.0103186813186813
-1097	-0.0116336996336996
-1147	-0.0123626373626374
-1222	-0.0137069597069597
-1267	-0.0145128205128205
-1242	-0.0149450549450549
-1087	-0.0147655677655678
-751	-0.0138498168498169
-471	-0.0127509157509158
-285	-0.0118351648351648
-170	-0.0105531135531136
-95	-0.00963369963369963
-45	-0.00890476190476191
-20	-0.00780586080586081
0	-0.00670695970695971
30	-0.00524175824175824
40	-0.00395970695970696
60	-0.00304395604395604
80	-0.00212454212454212
105	-0.000846153846153846
130	-0.00010989010989011
160	0.000989010989010989
150	0.000802197802197802
180	0.00190476190476191
205	0.00281684981684982
245	0.00446520146520147
270	0.00538095238095238
300	0.0062967032967033
325	0.00721245421245421
351	0.00831501831501831
386	0.00941391941391941
416	0.0105091575091575
451	0.0114285714285714
486	0.0125238095238095
531	0.0136263736263736
