gamma	deltaP_ara	deltaP_naka
-0.1	-0.388726919339164	-0.355685131195335
-0.0666666666666667	-0.575315840621963	-0.746355685131195
-0.0333333333333333	-0.735665694849368	-1.28513119533528
-0.0166666666666667	-0.696793002915452	-2.04897959183673
-0.00833333333333333	-0.569484936831876	-1.92769679300292
-0.00416666666666667	-0.422740524781341	-1.23265306122449
-0.00208333333333333	-0.286686103012634	-0.696209912536443
0	0	0
0.00208333333333333	0.252672497570457	0.486297376093295
0.00416666666666667	0.422740524781341	0.74868804664723
0.00833333333333333	0.598639455782313	1.38309037900875
0.0166666666666667	0.764820213799806	2.01399416909621
0.0333333333333333	0.876579203109815	1.41924198250729
0.0666666666666667	0.769679300291545	0.82332361516035
0.1	0.448007774538387	0.379008746355685
