# Br_Nomud	Br_Ara	Br_Naka	gamma
-55	-100	75	-0.1
-17.5	-100	162.5	-0.0666666666666667
10	51.5	255	-0.0343223432051282
-758.5	-798.5	-801	-0.0333333333333333
-773.5	-751	-483.5	-0.0166666666666667
-526	-495.5	-110	-0.00833333333333333
-305.5	-256	-17.5	-0.00416666666666667
-167.5	-122.5	-12.5	-0.00208333333333333
0	0	0	0
125	135.5	120	0.00208333333333333
240	158.5	250	0.00416666666666667
435.5	228	266	0.00833333333333333
290.5	237.5	250	0.0166666666666667
231	250	355	0.0333333333333333
75.5	195	37.5	0.0666666666666667
25.5	102.5	-65	0.1
