#gamma	gamma_Brace	No_1	No_3	No_4	No_5	No_6	No_7
-0.1	-0.1	-376	-576	-728.5	-431	-676	-653.5
-0.0666666666666667	-0.066666667	-267.5	-563.5	-883.5	-285	-663.5	-721
-0.0333333333333333	-0.034322343	-137.5	-516	-1067	-135	-471	-651
-0.0166666666666667	-0.033333333	-57.5	-416	-1294.5	-896	-1314.5	-1868
-0.00833333333333333	-0.016666667	-25	-318	-1144.5	-831	-1167	-1778
-0.00416666666666667	-0.008333333	-15	-232.5	-761	-551	-813.5	-1254.5
-0.00208333333333333	-0.004166667	-7.5	-155	-453.5	-320.5	-488.5	-778.5
0	-0.002083333	0	0	0	-175	-277.5	-466
0.00208333333333333	0	20	150	358.5	0	0	0
0.00416666666666667	0.002083333	27.5	245	566	145	285.5	478.5
0.00833333333333333	0.004166667	42.5	350.5	943.5	267.5	403.5	816
0.0166666666666667	0.008333333	77.5	471	1334.5	478	578.5	1209.5
0.0333333333333333	0.016666667	147.5	598.5	1207	368	708.5	1584.5
0.0666666666666667	0.033333333	257.5	653.5	1006.5	378.5	848.5	1562
0.1	0.066666667	350.5	581	743.5	333	848.5	1044
	0.1				376	683.5	678.5
