# gamma No_1 No_3 No_4
-0.1 -376 -576 -728.5
-0.0666666666666667 -267.5 -563.5 -883.5
-0.0333333333333333 -137.5 -516 -1067
-0.0166666666666667 -57.5 -416 -1294.5
-0.00833333333333333 -25 -318 -1144.5
-0.00416666666666667 -15 -232.5 -761
-0.00208333333333333 -7.5 -155 -453.5
0 0 0 0
0.00208333333333333 20 150 358.5
0.00416666666666667 27.5 245 566
0.00833333333333333 42.5 350.5 943.5
0.0166666666666667 77.5 471 1334.5
0.0333333333333333 147.5 598.5 1207
0.0666666666666667 257.5 653.5 1006.5
0.1 350.5 581 743.5
   
