gamma	Ara_Nomud	Naka_Nomud	Ara_Nomud_Brace	Naka_Nomud_Brace	gamma_Brace
-0.1	-200	-352.5	-245	-222.5	-0.1
-0.0666666666666667	-296	-616	-378.5	-436	-0.066666667
-0.0333333333333333	-378.5	-929.5	-336	-516	-0.034322343
-0.0166666666666667	-358.5	-1237	-418.5	-972	-0.033333333
-0.00833333333333333	-293	-1119.5	-336	-947	-0.016666667
-0.00416666666666667	-217.5	-746	-262.5	-703.5	-0.008333333
-0.00208333333333333	-147.5	-446	-168	-458	-0.004166667
0	0	0	-102.5	-291	-0.002083333
0.00208333333333333	130	338.5	0	0	0
0.00416666666666667	217.5	538.5	140.5	333.5	0.002083333
0.00833333333333333	308	901	136	548.5	0.004166667
0.0166666666666667	393.5	1257	100.5	731.5	0.008333333
0.0333333333333333	451	1059.5	340.5	1216.5	0.016666667
0.0666666666666667	396	749	470	1183.5	0.033333333
0.1	230.5	393	515.5	711	0.066666667
			307.5	302.5	0.1
