CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72761E+00 0.68349E+00 0.88066E+02 0.18697E+02
0.10000E+00 0.57462E-01 0.36366E-01 0.23608E+03 0.55618E+02
0.15000E+00 0.72746E+00 0.22714E-01 0.12281E+03 0.34840E+02
0.20000E+00 0.45445E-01 0.26472E-01 0.40898E+03 0.12014E+03
0.30000E+00 0.69161E-01 0.40539E-01 0.53677E+03 0.16021E+03
0.40000E+00 0.72603E-01 0.34837E-01 0.66986E+03 0.17940E+03
0.50000E+00 0.62257E-01 0.82572E-01 0.66849E+03 0.22254E+03
0.60000E+00 0.86730E-01 0.43110E-01 0.63000E+03 0.18634E+03
0.70000E+00 0.75684E-01 0.22401E-01 0.63048E+03 0.16512E+03
0.80000E+00 0.76766E-01 0.82972E-02 0.71940E+03 0.49538E+02
0.90000E+00 0.58477E-01 0.73938E-02 0.65968E+03 0.48462E+02
0.10000E+01 0.20274E-01 0.64511E-02 0.44207E+03 0.57884E+02
