CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72750E+00 0.28243E+00 0.10738E+03 0.20074E+02
0.10000E+00 0.52067E-01 0.16261E-01 0.25772E+03 0.41244E+02
0.15000E+00 0.87734E-01 0.16927E-01 0.37528E+03 0.64234E+02
0.20000E+00 0.48323E-01 0.16889E-01 0.46228E+03 0.75697E+02
0.30000E+00 0.72732E-01 0.20127E-01 0.57649E+03 0.73142E+02
0.40000E+00 0.80249E-01 0.31634E-01 0.71998E+03 0.11355E+03
0.50000E+00 0.86971E-01 0.28403E-01 0.72773E+03 0.11995E+03
0.60000E+00 0.83584E-01 0.80093E-02 0.76842E+03 0.29723E+02
0.70000E+00 0.72343E-01 0.70463E-02 0.75376E+03 0.31072E+02
0.80000E+00 0.58082E-01 0.65121E-02 0.71799E+03 0.34371E+02
0.90000E+00 0.25894E-01 0.58143E-02 0.53678E+03 0.58240E+02
0.10000E+01 0.11402E-01 0.71887E-02 0.37182E+03 0.83047E+02
