CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.50677E+00 0.80015E+00 0.88236E+02 0.17362E+02
0.10000E+00 0.12502E+00 0.80028E+00 0.20745E+03 0.61194E+02
0.15000E+00 0.39192E-01 0.80021E+00 0.27911E+03 0.80656E+02
0.20000E+00 0.35748E-01 0.53702E-01 0.34493E+03 0.16562E+03
0.30000E+00 0.37673E-01 0.74366E-01 0.44032E+03 0.24086E+03
0.40000E+00 0.44067E-01 0.66990E-01 0.51682E+03 0.29600E+03
0.50000E+00 0.42987E-01 0.61413E-01 0.56383E+03 0.32873E+03
0.60000E+00 0.62093E-01 0.63712E-01 0.51824E+03 0.28010E+03
0.70000E+00 0.53871E-01 0.57601E-01 0.50829E+03 0.28890E+03
0.80000E+00 0.46430E-01 0.49876E-01 0.47877E+03 0.28822E+03
0.90000E+00 0.38525E-01 0.41139E-01 0.43866E+03 0.27985E+03
0.10000E+01 0.18452E-01 0.18878E-01 0.34133E+03 0.22660E+03
