CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72738E+00 0.57784E+00 0.90310E+02 0.21862E+02
0.10000E+00 0.55356E-01 0.27532E-01 0.23533E+03 0.64727E+02
0.15000E+00 0.58480E-01 0.33327E-01 0.33912E+03 0.10705E+03
0.20000E+00 0.40836E-01 0.28444E-01 0.40667E+03 0.14010E+03
0.30000E+00 0.52803E-01 0.34077E-01 0.54677E+03 0.18397E+03
0.40000E+00 0.60768E-01 0.32062E-01 0.68727E+03 0.19349E+03
0.50000E+00 0.49445E-01 0.72277E-01 0.65376E+03 0.24130E+03
0.60000E+00 0.69153E-01 0.37442E-01 0.64088E+03 0.19203E+03
0.70000E+00 0.61003E-01 0.33996E-01 0.63344E+03 0.19219E+03
0.80000E+00 0.50535E-01 0.29730E-01 0.59357E+03 0.19506E+03
0.90000E+00 0.43940E-01 0.74545E-02 0.66311E+03 0.52590E+02
0.10000E+01 0.19683E-01 0.65048E-02 0.43849E+03 0.80284E+02
