#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     0.025     0.005     0.458    92.930
     0.050     0.029     2.143   256.358
     0.075     0.064     3.703   305.565
     0.100     0.141     6.418   397.562
     0.125     0.275    11.209   529.652
     0.150     0.325    12.372   570.625
     0.175     0.558    18.376   657.181
     0.200     0.646    18.154   619.813
     0.225     0.892    21.930   626.074
     0.250     1.429    34.169   917.602
     0.275     1.489    34.666   964.057
     0.300     1.580    33.258   895.260
     0.325     1.811    33.948   787.610
     0.350     1.866    32.951   631.294
     0.375     2.417    42.312   627.403
     0.400     2.443    35.497   553.303
     0.425     2.708    41.777   634.382
     0.450     4.138    51.147   753.976
     0.475     4.563    59.969   866.267
     0.500     5.158    70.303   967.501
     0.525     6.070    77.373  1018.813
     0.550     6.844    80.414  1102.999
     0.575     7.360    79.940  1117.707
     0.600     7.640    76.817  1079.016
     0.625     7.746    72.081  1009.348
     0.650     7.738    68.410   927.417
     0.675     7.658    68.939   854.314
     0.700     7.542    68.981   794.434
     0.725     7.807    68.792   735.377
     0.750     8.124    68.376   679.829
     0.775     8.428    67.748   629.027
     0.800     8.702    66.877   583.413
     0.825     9.758    68.615   578.936
     0.850    10.680    75.361   634.676
     0.875    10.652    78.670   669.607
     0.900    10.792    80.392   709.001
     0.925    11.647    83.476   687.304
     0.950    12.089    90.201   704.616
     0.975    12.313    92.506   728.364
     1.000    12.803    90.593   702.442
     1.025    12.973    84.924   672.637
     1.050    12.814    76.274   683.008
     1.075    12.336    67.778   664.912
     1.100    11.514    66.229   625.429
     1.125    11.180    66.348   572.438
     1.150    11.261    67.165   513.495
     1.175    11.743    66.691   474.762
     1.200    11.797    65.119   475.120
     1.225    11.539    63.246   475.960
     1.250    11.102    60.665   478.171
     1.275    10.518    57.533   479.520
     1.300     9.898    54.057   480.018
     1.325     9.327    50.425   479.698
     1.350     8.916    46.800   478.605
     1.375     8.730    44.559   476.797
     1.400     8.793    45.091   474.336
     1.425     9.076    45.629   471.292
     1.450     9.515    46.109   467.737
     1.475    10.042    46.497   463.740
     1.500    10.594    46.796   459.372
     1.525    11.125    48.073   454.699
     1.550    11.603    49.737   449.784
     1.575    12.008    51.031   444.685
     1.600    12.340    52.050   439.456
     1.625    12.609    52.700   434.145
     1.650    12.822    52.987   428.795
     1.675    13.000    52.992   423.446
     1.700    13.355    52.816   418.131
     1.725    13.753    52.620   412.879
     1.750    14.052    52.478   407.716
     1.775    14.241    52.404   402.662
     1.800    14.312    52.458   397.735
     1.825    14.263    52.672   392.950
     1.850    14.582    53.061   388.317
     1.875    14.987    53.615   383.846
     1.900    15.441    54.307   379.544
     1.925    15.937    55.176   375.413
     1.950    16.485    56.118   371.458
     1.975    17.061    59.075   367.680
     2.000    17.654    62.442   364.077
     2.025    18.259    63.995   360.649
     2.050    18.867    63.829   357.393
     2.075    19.472    62.110   354.306
     2.100    20.060    62.452   351.385
     2.125    20.615    64.022   354.805
     2.150    21.126    65.339   358.957
     2.175    21.824    66.366   362.889
     2.200    22.608    67.198   366.550
     2.225    23.338    67.777   369.896
