#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     0.025     0.012     0.534    73.784
     0.050     0.051     4.077   434.748
     0.075     0.201    12.543   949.735
     0.100     0.414    21.627  1314.143
     0.125     0.389    17.357   852.751
     0.150     0.882    33.391  1345.972
     0.175     1.740    53.306  2088.114
     0.200     1.591    45.006  1502.758
     0.225     1.998    52.893  1668.557
     0.250     1.591    36.999  1235.632
     0.275     1.964    42.280  1137.765
     0.300     1.844    40.116   897.612
     0.325     2.480    43.716   907.482
     0.350     2.913    47.318   971.374
     0.375     2.992    45.597   973.556
     0.400     3.146    47.024  1127.680
     0.425     3.601    58.575   978.559
     0.450     4.016    56.049  1036.006
     0.475     4.245    58.620   898.903
     0.500     4.568    56.892   928.318
     0.525     5.983    66.109   885.717
     0.550     5.892    68.214   993.989
     0.575     7.156    81.106   922.438
     0.600     8.566    92.125   929.199
     0.625    10.373   104.341  1089.895
     0.650    12.369   116.756  1276.774
     0.675    14.394   129.768  1435.390
     0.700    15.133   132.511  1404.713
     0.725    14.443   130.220  1313.984
     0.750    13.888   126.684  1234.867
     0.775    14.280   128.304  1228.904
     0.800    14.496   128.085  1287.367
     0.825    13.599   116.124  1306.942
     0.850    13.004    99.315  1230.842
     0.875    13.880    97.604  1112.580
     0.900    15.314   103.658  1054.372
     0.925    16.524   107.341  1110.120
     0.950    17.502   110.338  1247.381
     0.975    18.297   119.369  1381.120
     1.000    18.935   133.199  1432.502
     1.025    20.081   133.934  1367.457
     1.050    20.977   138.385  1210.358
     1.075    21.341   140.136  1163.939
     1.100    22.151   127.124  1162.937
     1.125    22.473   126.670  1144.645
     1.150    22.478   127.330  1098.084
     1.175    22.796   126.769  1004.833
     1.200    23.232   124.156   884.481
     1.225    23.509   119.993   852.043
     1.250    23.642   115.858   833.919
     1.275    23.667   113.443   810.318
     1.300    23.602   111.755   868.284
     1.325    23.498   109.259   936.568
     1.350    23.374   106.922   980.493
     1.375    23.219   104.139  1000.867
     1.400    23.037   100.849  1001.057
     1.425    22.839    97.397   985.678
     1.450    22.641    93.642   959.596
     1.475    22.456    90.690   927.279
     1.500    22.302    88.883   892.459
     1.525    22.185    88.834   858.019
     1.550    22.107    89.051   826.030
     1.575    22.064    89.214   797.863
     1.600    22.050    89.497   774.332
     1.625    22.072    89.789   755.832
     1.650    22.118    90.113   742.453
     1.675    22.181    90.484   734.075
     1.700    22.274    90.910   730.435
     1.725    22.379    91.421   731.172
     1.750    22.500    92.042   735.863
     1.775    22.642    92.708   744.036
     1.800    22.809    93.411   755.194
     1.825    23.010    94.144   768.818
     1.850    23.288    94.895   784.380
     1.875    23.595    95.655   801.353
     1.900    23.906    96.413   819.215
     1.925    24.208    97.157   837.465
     1.950    24.489    97.878   855.627
     1.975    24.760    98.567   873.258
     2.000    25.010    99.283   889.958
     2.025    25.245    99.954   905.372
     2.050    25.469   100.569   919.197
     2.075    26.241   101.121   931.180
     2.100    27.961   101.605   941.127
     2.125    29.561   102.016   948.893
     2.150    31.035   102.350   954.387
     2.175    32.375   102.606   957.566
     2.200    33.571   102.779   958.432
     2.225    34.662   102.869   957.028
     2.250    35.681   102.874   953.432
     2.275    36.623   107.915   947.754
     2.300    37.435   112.668   940.130
     2.325    38.077   116.511   930.714
     2.350    38.552   119.373   919.680
     2.375    38.850   123.592   907.208
     2.400    38.983   128.774   893.491
     2.425    38.950   133.429   878.720
     2.450    38.971   137.526   863.087
     2.475    39.500   141.046   846.783
     2.500    39.937   143.973   829.990
     2.525    40.278   146.304   812.884
     2.550    40.537   148.038   795.631
     2.575    40.698   149.185   778.385
     2.600    40.749   149.756   761.287
     2.625    41.406   149.770   744.469
     2.650    42.119   149.251   728.045
