#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     0.025     0.004     0.085    18.961
     0.050     0.015     0.366    30.387
     0.075     0.035     0.922    48.602
     0.100     0.062     2.120   126.549
     0.125     0.111     3.272   152.401
     0.150     0.193     5.987   220.022
     0.175     0.332     7.707   231.605
     0.200     0.574    12.934   346.400
     0.225     0.982    21.283   566.792
     0.250     0.852    17.533   391.798
     0.275     0.964    18.272   360.655
     0.300     1.418    26.341   498.987
     0.325     1.905    35.479   670.871
     0.350     2.382    41.582   756.734
     0.375     2.350    39.230   679.299
     0.400     2.357    33.475   624.358
     0.425     2.359    34.074   576.500
     0.450     2.693    35.071   494.987
     0.475     2.647    31.776   417.530
     0.500     2.313    25.267   354.275
     0.525     2.372    24.370   333.570
     0.550     2.469    27.273   364.434
     0.575     2.955    31.702   372.722
     0.600     3.646    35.195   399.693
     0.625     3.745    36.578   448.914
     0.650     3.394    33.015   462.110
     0.675     3.731    36.592   462.161
     0.700     4.215    40.560   460.690
     0.725     4.727    44.344   447.782
     0.750     5.208    47.338   423.828
     0.775     5.687    49.697   391.278
     0.800     6.208    51.811   394.489
     0.825     6.775    53.605   417.235
     0.850     7.327    54.566   436.336
     0.875     7.794    54.081   445.525
     0.900     8.108    51.938   444.543
     0.925     8.269    49.958   437.596
     0.950     8.302    47.699   429.139
     0.975     8.268    47.669   417.960
     1.000     8.431    53.272   404.275
     1.025     8.971    53.958   391.853
     1.050     9.008    53.440   381.884
     1.075     8.402    49.169   373.084
     1.100     8.509    47.783   364.843
     1.125     8.586    48.523   355.603
     1.150     8.600    49.019   343.889
     1.175     8.532    49.148   329.381
     1.200     8.401    48.761   312.407
     1.225     8.652    47.897   298.625
     1.250     8.562    46.522   291.239
     1.275     8.216    44.791   292.562
     1.300     7.717    43.386   291.181
     1.325     7.268    41.354   287.498
     1.350     7.029    38.746   282.065
     1.375     6.793    36.454   275.953
     1.400     6.585    34.627   269.078
     1.425     6.414    33.059   261.927
     1.450     6.297    31.784   254.897
     1.475     6.241    30.890   248.284
     1.500     6.253    30.505   242.286
     1.525     6.380    30.352   237.012
     1.550     6.784    30.365   232.497
     1.575     7.265    30.483   228.722
     1.600     7.806    30.651   225.629
     1.625     8.611    31.772   223.135
     1.650     9.240    34.474   221.147
     1.675     9.603    36.174   219.568
     1.700    10.064    36.505   218.309
     1.725    10.776    35.714   217.289
     1.750    11.529    34.796   216.441
     1.775    12.355    35.926   215.711
     1.800    13.254    37.262   215.060
     1.825    14.195    39.208   214.460
     1.850    15.118    42.226   213.896
     1.875    15.953    44.963   213.360
     1.900    16.654    47.223   212.853
     1.925    17.197    49.971   212.382
     1.950    17.543    52.235   211.957
     1.975    17.674    53.645   211.589
     2.000    18.299    54.081   211.293
     2.025    18.823    53.350   221.250
     2.050    19.088    52.707   224.476
     2.075    19.047    54.028   218.496
     2.100    18.806    55.170   211.097
     2.125    19.075    56.048   211.336
     2.150    18.988    56.710   211.703
     2.175    19.396    57.128   212.456
     2.200    20.254    58.165   219.605
     2.225    21.095    60.763   227.049
     2.250    21.905    62.958   234.012
     2.275    22.683    64.722   240.417
     2.300    23.470    66.032   246.192
     2.325    24.261    66.892   251.275
     2.350    25.018    67.449   255.816
     2.375    26.068    68.676   259.628
     2.400    28.716    69.719   262.622
     2.425    31.382    71.356   264.773
     2.450    33.920    77.305   266.069
     2.475    36.190    82.052   266.512
     2.500    38.113    88.339   282.566
     2.525    39.642    95.234   293.242
     2.550    40.735   101.015   297.292
     2.575    41.430   105.097   294.238
     2.600    41.794   107.196   284.368
     2.625    41.896   107.292   276.089
     2.650    41.619   105.456   296.542
     2.675    40.992   102.324   309.709
     2.700    40.116   100.327   315.181
     2.725    39.254    97.599   313.361
     2.750    38.768    93.380   305.305
