#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     0.025     0.013     0.322    47.773
     0.050     0.053     0.960    75.631
     0.075     0.121     3.038   190.126
     0.100     0.231     6.006   300.542
     0.125     0.346    11.235   488.008
     0.150     0.669    14.189   499.161
     0.175     0.894    19.550   574.921
     0.200     1.062    22.257   567.087
     0.225     1.391    30.168   729.845
     0.250     2.364    47.833  1105.929
     0.275     3.325    63.476  1387.434
     0.300     4.183    68.839  1272.251
     0.325     5.923    94.111  1769.891
     0.350     8.222   133.886  2314.299
     0.375     8.555   140.003  2130.625
     0.400     9.035   135.550  2086.920
     0.425    10.285   125.079  1946.289
     0.450    12.014   149.209  2146.618
     0.475    12.856   160.698  2050.662
     0.500    13.243   163.275  2095.126
     0.525    12.549   150.671  1875.432
     0.550    12.561   137.534  1701.509
     0.575    11.886   140.602  1645.190
     0.600    14.343   158.919  1800.126
     0.625    16.385   162.877  1912.519
     0.650    19.473   199.695  2017.601
     0.675    23.897   224.823  2277.669
     0.700    23.719   217.101  2269.678
     0.725    22.507   198.037  1890.518
     0.750    24.870   218.305  1910.372
     0.775    27.391   235.685  1943.005
     0.800    30.018   249.219  1953.725
     0.825    32.311   257.596  1942.378
     0.850    34.180   260.679  2001.102
     0.875    35.571   258.393  2028.264
     0.900    36.578   252.500  2018.580
     0.925    37.219   244.396  1992.261
     0.950    37.622   242.717  1954.155
     0.975    37.802   244.369  1899.324
     1.000    37.853   244.971  1831.824
     1.025    37.675   244.538  1763.221
     1.050    37.474   242.724  1686.186
     1.075    37.051   240.238  1599.961
     1.100    36.393   237.027  1506.870
     1.125    35.644   232.106  1420.976
     1.150    34.712   226.522  1434.956
     1.175    33.615   220.239  1439.821
     1.200    32.415   212.774  1436.344
     1.225    32.512   204.929  1425.606
     1.250    32.741   197.076  1412.018
     1.275    35.637   188.843  1397.498
     1.300    38.855   185.131  1378.813
     1.325    41.329   190.030  1357.228
     1.350    43.047   198.771  1333.853
     1.375    44.073   209.719  1309.613
     1.400    44.507   215.225  1285.240
     1.425    44.480   222.789  1261.281
     1.450    44.190   227.029  1238.115
     1.475    44.087   229.318  1215.983
     1.500    44.640   228.804  1195.020
     1.525    44.584   227.367  1175.275
     1.550    43.986   223.848  1156.738
     1.575    42.914   218.647  1139.361
     1.600    41.624   212.971  1123.073
     1.625    42.013   206.413  1107.789
     1.650    42.273   198.985  1093.421
     1.675    42.485   190.936  1087.956
     1.700    42.549   182.478  1087.556
     1.725    42.515   181.554  1083.484
     1.750    42.383   180.208  1076.413
     1.775    42.177   178.844  1066.942
     1.800    41.853   177.325  1056.769
     1.825    41.534   175.558  1046.390
     1.850    41.107   173.606  1034.744
     1.875    40.643   171.522  1022.176
     1.900    40.176   169.352  1008.971
     1.925    39.639   167.129   995.359
     1.950    39.057   164.883   981.521
     1.975    38.519   162.632   967.597
     2.000    37.932   160.391   955.717
     2.025    37.303   158.168   949.152
     2.050    36.653   155.968   942.936
     2.075    36.034   153.792   937.057
     2.100    35.375   151.637   931.503
     2.125    34.679   149.501   926.262
     2.150    33.946   147.377   921.322
     2.175    33.234   145.262   916.671
     2.200    32.492   143.148   912.297
     2.225    32.114   141.030   913.884
     2.250    32.519   138.903   915.666
     2.275    32.925   136.763   917.236
     2.300    33.318   134.605   918.598
     2.325    33.696   132.427   919.757
     2.350    34.083   130.227   920.715
     2.375    34.473   128.002   921.472
     2.400    34.843   125.754   922.029
     2.425    35.191   123.481   922.386
     2.450    35.515   121.694   922.544
     2.475    35.836   121.039   922.503
     2.500    36.155   120.270   922.266
     2.525    36.447   119.391   921.836
     2.550    36.710   118.407   921.215
     2.575    36.943   117.450   920.408
     2.600    37.147   116.415   919.420
     2.625    37.349   115.283   918.255
     2.650    37.534   114.059   916.919
     2.675    37.688   112.750   915.421
     2.700    37.811   111.361   913.766
     2.725    37.901   109.900   911.964
     2.750    37.960   108.373   910.021
     2.775    37.988   106.785   907.948
     2.800    38.025   105.144   905.752
     2.825    38.032   103.455   903.443
     2.850    38.008   101.725   901.027
     2.875    37.954    99.959   898.516
     2.900    37.872    98.164   895.916
     2.925    37.761    96.346   893.237
     2.950    37.623    94.509   890.488
     2.975    37.459    92.659   887.677
     3.000    37.298    90.801   884.811
     3.025    37.117    88.939   881.899
     3.050    36.912    87.078   878.948
     3.075    36.684    86.535   875.965
     3.100    36.434    86.346   872.957
     3.125    36.163    86.133   869.930
     3.150    35.872    85.891   866.891
     3.175    35.562    85.621   863.846
     3.200    35.235    85.325   860.799
     3.225    34.891    85.004   857.757
     3.250    34.532    84.659   854.724
     3.275    34.167    84.750   853.687
     3.300    33.802    84.837   853.465
     3.325    33.423    84.918   853.253
     3.350    33.032    84.992   853.052
     3.375    32.630    85.059   852.859
     3.400    32.218    85.120   852.675
     3.425    31.796    85.174   852.498
     3.450    31.365    85.222   852.328
     3.475    30.927    85.263   852.164
     3.500    30.482    85.299   852.005
     3.525    30.031    85.328   851.851
     3.550    29.575    85.351   851.702
     3.575    29.115    85.369   851.555
     3.600    28.937    85.381   851.413
     3.625    29.118    85.388   851.273
     3.650    29.639    85.390   851.135
     3.675    30.104    85.387   851.000
     3.700    30.535    85.379   850.867
     3.725    30.922    85.366   850.736
     3.750    31.254    85.349   850.606
     3.775    31.566    85.328   850.477
     3.800    31.825    85.302   850.349
     3.825    32.048    85.272   850.222
     3.850    32.237    85.239   850.096
     3.875    32.381    85.201   849.971
     3.900    32.505    85.160   849.846
     3.925    32.583    85.116   849.722
     3.950    32.640    85.068   849.597
     3.975    32.658    85.017   849.473
     4.000    32.645    84.963   849.349
     4.025    32.609    84.906   849.225
     4.050    32.534    84.846   849.101
     4.075    32.440    84.783   848.976
     4.100    32.317    84.718   848.852
     4.125    32.159    84.650   848.727
     4.150    31.988    84.580   848.602
