#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     0.025     0.008     0.221    21.988
     0.050     0.034     0.951    84.233
     0.075     0.086     2.844   196.398
     0.100     0.170     5.065   305.878
     0.125     0.289     7.720   369.981
     0.150     0.399     9.103   380.432
     0.175     0.662    15.097   544.439
     0.200     1.448    34.393   986.884
     0.225     2.160    54.260  1379.147
     0.250     2.297    53.138  1266.865
     0.275     2.402    47.208  1032.475
     0.300     2.835    54.682  1198.480
     0.325     3.102    56.910  1180.708
     0.350     3.150    51.060   954.711
     0.375     4.115    60.823   959.387
     0.400     6.306    92.658  1360.386
     0.425     9.492   135.225  1903.576
     0.450    11.172   154.231  2087.083
     0.475    12.583   168.114  2225.459
     0.500    12.664   156.110  2147.840
     0.525    11.160   134.271  1845.490
     0.550     9.272   112.434  1473.026
     0.575     7.832    91.708  1171.701
     0.600     7.677    89.327  1079.287
     0.625     7.700    88.296  1053.973
     0.650     9.272    91.621  1130.328
     0.675    10.433   107.997  1152.053
     0.700    10.189   110.871  1127.496
     0.725     9.140   100.724  1119.025
     0.750     8.960    85.215  1029.802
     0.775     9.123    85.351   919.693
     0.800     9.190    84.834   841.441
     0.825     9.653    83.453   811.188
     0.850    10.198    82.035   779.506
     0.875    10.575    78.268   764.649
     0.900    10.497    74.564   776.799
     0.925     9.843    72.183   787.678
     0.950     8.713    66.642   790.059
     0.975     8.030    61.814   779.899
     1.000     7.511    64.219   758.525
     1.025     7.418    64.840   726.107
     1.050     7.701    63.692   686.293
     1.075     8.229    60.666   644.289
     1.100     8.666    56.373   605.170
     1.125     8.707    53.306   572.942
     1.150     8.252    55.089   550.017
     1.175     8.015    54.870   537.100
     1.200     7.736    52.937   533.431
     1.225     7.213    50.150   537.226
     1.250     7.026    47.528   546.535
     1.275     7.737    45.933   558.493
     1.300     8.489    45.906   570.708
     1.325     9.456    47.524   581.447
     1.350    10.037    50.360   589.588
     1.375    10.116    53.807   594.723
     1.400     9.720    57.252   596.120
     1.425    10.203    60.119   593.746
     1.450    11.128    61.906   587.852
     1.475    11.912    62.534   578.888
     1.500    12.515    61.762   567.435
     1.525    12.903    59.844   554.144
     1.550    13.061    56.856   539.685
     1.575    12.993    53.525   530.741
