#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     0.025     0.011     0.219    18.141
     0.050     0.047     1.300   104.159
     0.075     0.123     4.338   280.034
     0.100     0.187     6.519   354.698
     0.125     0.433    17.640   801.026
     0.150     0.630    18.683   727.965
     0.175     0.924    23.608   760.476
     0.200     1.446    34.901  1084.566
     0.225     2.116    56.300  1597.472
     0.250     1.949    50.946  1318.791
     0.275     1.821    42.469   995.059
     0.300     2.285    43.599  1175.865
     0.325     2.261    38.764  1013.192
     0.350     3.467    56.379  1311.889
     0.375     4.046    68.103  1344.338
     0.400     4.995    81.439  1244.152
     0.425     6.582    99.494  1397.279
     0.450     8.607   116.744  1810.742
     0.475     9.951   124.924  1980.429
     0.500     9.700   126.842  1725.259
     0.525     9.066   103.061  1466.162
     0.550    10.589   113.003  1284.266
     0.575    12.272   118.973  1242.788
     0.600    13.829   125.587  1364.179
     0.625    15.166   132.487  1433.078
     0.650    16.171   137.004  1422.689
     0.675    16.927   139.623  1418.009
     0.700    17.556   141.579  1384.586
     0.725    18.094   143.209  1401.227
     0.750    18.548   143.759  1562.848
     0.775    18.936   143.170  1611.237
     0.800    19.257   141.181  1540.583
     0.825    19.774   144.395  1391.432
     0.850    20.676   144.993  1197.497
     0.875    21.350   141.050  1165.289
     0.900    21.803   144.905  1173.845
     0.925    22.062   148.112  1156.184
     0.950    22.185   149.857  1113.547
     0.975    22.246   150.403  1060.606
     1.000    22.317   150.494  1003.779
     1.025    22.441   150.196  1024.276
     1.050    22.623   149.655  1037.434
     1.075    22.851   149.158  1040.467
     1.100    23.100   148.374  1021.945
     1.125    23.414   147.152   989.337
     1.150    24.091   145.530   939.081
     1.175    25.493   143.520   924.434
     1.200    26.971   146.092   972.089
     1.225    28.414   148.258  1007.255
     1.250    29.729   148.020  1030.804
     1.275    30.875   145.665  1045.958
     1.300    31.820   141.541  1050.507
     1.325    32.593   135.653  1045.790
     1.350    33.179   128.593  1033.273
     1.375    33.612   121.341  1014.421
     1.400    33.932   118.071   990.598
     1.425    34.188   123.878   963.015
     1.450    34.456   128.666   932.705
     1.475    34.772   137.062   900.522
     1.500    36.325   145.520   867.163
     1.525    37.795   156.970   833.189
     1.550    40.337   167.745   799.053
     1.575    42.883   176.069   779.869
     1.600    45.124   181.678   764.713
     1.625    46.999   184.541   749.395
     1.650    48.499   185.503   746.400
     1.675    49.632   185.241   747.033
     1.700    50.416   183.810   753.906
     1.725    50.845   185.665   748.877
     1.750    50.924   186.446   736.648
     1.775    50.674   186.073   745.317
     1.800    50.230   185.487   757.380
     1.825    50.162   184.023   767.726
     1.850    49.931   181.567   776.469
     1.875    49.580   178.612   783.725
     1.900    49.118   175.011   789.613
     1.925    48.550   170.521   794.254
     1.950    47.886   167.877   797.767
     1.975    47.430   165.991   800.267
     2.000    47.016   163.763   801.867
     2.025    46.558   161.120   802.673
     2.050    46.067   158.097   802.784
     2.075    45.560   154.743   802.294
     2.100    45.041   151.179   801.288
     2.125    44.532   147.434   799.844
     2.150    44.029   143.554   798.032
     2.175    43.540   139.602   795.918
     2.200    43.068   135.639   793.556
     2.225    42.608   131.723   790.999
     2.250    42.157   127.864   788.290
     2.275    41.715   124.103   785.468
     2.300    41.283   122.518   782.568
     2.325    40.861   121.132   779.617
     2.350    40.452   119.730   776.643
     2.375    40.055   118.379   773.665
     2.400    39.671   117.065   770.702
     2.425    39.301   115.770   767.770
     2.450    38.947   114.516   764.882
     2.475    38.614   113.338   762.047
     2.500    38.296   112.194   759.276
     2.525    37.993   111.087   756.575
     2.550    37.704   110.020   753.949
     2.575    37.435   109.028   751.402
     2.600    37.180   108.085   748.939
     2.625    36.935   107.182   746.562
     2.650    36.705   106.317   744.271
     2.675    36.489   105.489   742.068
     2.700    36.281   104.700   739.954
     2.725    36.081   103.974   737.927
     2.750    35.894   103.279   735.988
     2.775    35.711   102.612   734.134
     2.800    35.531   101.971   732.366
     2.825    35.362   101.354   730.681
     2.850    35.192   100.757   729.078
     2.875    35.023   100.195   727.555
     2.900    34.859    99.658   726.109
     2.925    34.691    99.135   724.738
     2.950    34.522    98.622   723.441
     2.975    34.353    98.117   722.215
     3.000    34.177    97.619   721.057
     3.025    33.999    97.134   719.965
     3.050    33.815    96.665   718.936
     3.075    33.622    96.197   717.969
     3.100    33.426    95.727   717.060
     3.125    33.220    95.254   716.208
     3.150    33.145    94.786   715.409
     3.175    33.330    94.324   714.662
     3.200    33.516    93.855   713.964
     3.225    33.703    93.379   713.313
     3.250    33.896    92.909   712.706
     3.275    34.090    92.433   712.142
     3.300    34.283    91.951   711.618
     3.325    34.475    91.473   711.132
     3.350    34.665    90.988   710.683
     3.375    34.858    90.504   710.267
     3.400    35.050    90.019   709.884
     3.425    35.238    89.529   709.531
     3.450    35.423    89.042   709.207
     3.475    35.605    88.541   708.909
     3.500    35.789    88.044   708.638
     3.525    35.967    87.533   708.389
     3.550    36.141    87.009   708.163
     3.575    36.310    86.487   707.958
     3.600    36.478    85.952   707.773
     3.625    36.642    85.403   707.605
     3.650    36.801    84.842   707.454
     3.675    36.953    84.275   707.319
