#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     0.025     0.010     0.233    15.709
     0.050     0.039     1.205   118.906
     0.075     0.094     5.522   376.794
     0.100     0.199     8.104   464.848
     0.125     0.382    15.369   707.865
     0.150     0.558    20.679   856.374
     0.175     0.874    26.870   971.133
     0.200     1.486    39.272  1204.731
     0.225     1.604    36.895  1021.992
     0.250     1.784    40.251   930.633
     0.275     2.324    47.105  1073.693
     0.300     2.768    46.919   988.028
     0.325     3.501    57.890  1088.393
     0.350     4.281    65.076  1368.658
     0.375     6.009    97.475  1403.100
     0.400     6.513    98.349  1640.586
     0.425     6.463    82.337  1340.754
     0.450     6.950    84.942  1251.654
     0.475     9.192   104.818  1480.488
     0.500    11.257   116.148  1482.682
     0.525    12.611   120.354  1455.469
     0.550    13.398   123.881  1333.432
     0.575    13.854   133.757  1260.827
     0.600    14.060   135.450  1146.879
     0.625    14.180   133.113  1219.101
     0.650    14.961   130.835  1266.354
     0.675    16.716   129.915  1287.032
     0.700    18.593   129.002  1266.851
     0.725    20.317   127.459  1214.066
     0.750    21.819   132.138  1126.016
     0.775    23.180   143.911  1030.589
     0.800    24.389   152.054  1042.621
     0.825    25.233   155.252  1061.947
     0.850    25.428   153.616  1067.019
     0.875    24.733   148.527  1135.499
     0.900    24.219   147.574  1208.062
     0.925    23.642   152.179  1257.662
     0.950    25.125   154.700  1305.653
     0.975    27.031   157.673  1354.771
     1.000    28.558   173.433  1393.384
     1.025    29.792   187.048  1405.557
     1.050    36.549   197.842  1387.376
     1.075    43.406   225.650  1344.348
     1.100    50.017   259.182  1504.345
     1.125    56.187   284.002  1689.287
     1.150    63.071   315.511  1750.179
     1.175    69.218   341.355  1849.725
     1.200    74.345   361.213  1951.466
     1.225    78.351   375.696  1989.432
     1.250    81.241   386.284  1960.996
     1.275    83.085   391.904  1914.314
     1.300    83.984   392.480  1864.696
     1.325    84.042   388.504  1782.741
     1.350    83.424   381.619  1710.273
     1.375    82.295   371.820  1672.414
     1.400    80.796   359.460  1615.387
     1.425    79.018   345.757  1554.461
     1.450    77.121   331.407  1480.813
     1.475    75.263   317.429  1403.928
     1.500    73.590   304.617  1332.573
     1.525    72.282   293.542  1272.036
     1.550    71.395   284.561  1219.697
     1.575    71.003   278.061  1176.995
     1.600    71.124   273.801  1144.341
     1.625    71.743   271.853  1121.349
     1.650    76.126   281.775  1134.556
     1.675    80.386   294.545  1190.309
     1.700    84.501   308.179  1240.680
     1.725    88.783   322.512  1271.666
     1.750    93.202   335.548  1286.161
     1.775    97.395   346.796  1291.034
     1.800   101.328   357.472  1295.790
     1.825   104.882   366.976  1288.209
     1.850   108.002   373.824  1295.743
     1.875   110.645   378.018  1321.273
     1.900   112.740   383.608  1330.096
     1.925   114.232   391.694  1322.408
     1.950   115.119   396.927  1298.229
     1.975   115.395   398.993  1283.128
     2.000   115.056   398.023  1328.505
     2.025   114.137   393.935  1330.428
     2.050   112.685   387.236  1289.854
     2.075   110.713   378.272  1227.013
     2.100   110.177   367.698  1253.714
     2.125   109.813   356.734  1271.278
     2.150   109.071   344.679  1278.356
     2.175   107.935   331.597  1275.898
     2.200   106.422   326.260  1266.033
     2.225   104.547   320.931  1249.950
     2.250   102.326   314.588  1227.566
     2.275    99.775   307.464  1200.459
     2.300    96.958   299.855  1170.473
     2.325    93.872   291.992  1137.330
     2.350    90.604   283.793  1102.002
     2.375    87.164   275.278  1065.934
     2.400    84.875   266.588  1029.600
     2.425    83.232   257.738   993.225
     2.450    81.558   251.205   986.230
     2.475    79.870   247.928   979.708
     2.500    78.171   244.518   972.572
     2.525    76.466   240.977   964.938
     2.550    74.770   237.285   957.204
     2.575    73.087   233.584   949.091
     2.600    71.424   229.818   940.677
     2.625    69.792   225.999   932.034
     2.650    68.202   222.158   923.226
     2.675    66.662   218.405   914.315
     2.700    65.177   214.675   905.354
     2.725    63.755   210.989   896.393
     2.750    62.410   207.367   887.475
     2.775    61.127   203.826   878.638
     2.800    59.938   200.380   869.917
     2.825    58.822   197.076   861.340
     2.850    57.793   193.888   852.932
     2.875    56.854   190.819   844.715
     2.900    55.996   187.877   836.707
     2.925    55.220   185.067   828.922
     2.950    54.532   182.391   821.372
     2.975    53.927   179.854   814.066
     3.000    53.394   177.454   807.009
     3.025    52.932   175.193   800.207
     3.050    52.535   173.069   793.662
     3.075    52.198   171.080   787.375
     3.100    51.922   169.224   781.344
     3.125    51.697   167.498   775.568
     3.150    51.514   165.897   770.044
     3.175    51.368   164.419   764.767
     3.200    51.599   163.058   759.733
     3.225    52.997   161.809   754.935
     3.250    54.391   160.669   750.368
     3.275    55.777   159.632   746.024
     3.300    57.153   158.693   741.898
     3.325    58.512   157.847   737.980
     3.350    59.847   157.088   734.264
     3.375    61.150   156.413   730.743
     3.400    62.415   155.815   727.407
     3.425    63.631   155.289   724.251
     3.450    64.788   154.832   721.265
     3.475    65.879   154.438   718.442
     3.500    66.892   154.103   715.775
     3.525    67.808   153.822   713.256
     3.550    68.613   153.591   710.878
     3.575    69.293   153.406   708.633
     3.600    69.838   153.263   706.516
     3.625    70.240   153.159   704.519
     3.650    70.494   153.089   702.635
     3.675    70.591   153.051   700.859
     3.700    70.533   153.041   699.185
     3.725    70.803   153.057   697.606
     3.750    70.935   153.095   696.117
     3.775    70.932   153.152   694.713
     3.800    70.795   153.227   693.388
     3.825    70.520   153.317   692.138
     3.850    70.108   153.420   690.959
     3.875    69.576   153.533   689.845
     3.900    68.913   153.655   688.793
     3.925    68.141   153.784   687.798
     3.950    67.259   153.918   686.857
     3.975    66.275   154.056   685.966
     4.000    65.198   154.197   685.122
     4.025    64.032   154.338   684.322
     4.050    62.782   154.480   683.562
     4.075    61.455   154.621   682.839
     4.100    60.061   154.759   682.152
     4.125    58.611   154.894   681.497
     4.150    59.193   155.026   680.873
     4.175    59.718   155.153   680.276
     4.200    60.185   155.276   679.705
     4.225    60.595   155.392   679.157
     4.250    60.952   155.502   678.632
     4.275    61.257   155.606   678.127
     4.300    61.509   155.703   677.640
