#CTIME	DISP1	GAMMA1	VEL1	FORCE1	FORCETRI1	FORCESLIP1	ENERGY1	DISP2	GAMMA2	VEL2	FORCE2	FORCETRI2	FORCESLIP2	ENERGY2
0.02	2.9275e-05	1.0646e-07	0.0043486	0.0002171	0.00035078	0.00013154	3.2752e-09	6.4877e-07	2.5951e-09	0.00013887	3.2398e-06	5.2473e-06	1.9678e-06	1.0977e-12
0.04	0.00011865	4.3146e-07	0.00053047	0.00090592	0.0014633	0.00054874	5.38e-08	1.0646e-05	4.2586e-08	0.00091123	5.4575e-05	8.8363e-05	3.3137e-05	2.9561e-10
0.06	-2.1489e-05	-7.8143e-08	-0.014105	-0.00014258	-0.00023063	-8.6487e-05	5.3956e-08	3.0312e-05	1.2125e-07	0.00069497	0.00015737	0.00025476	9.5537e-05	2.3963e-09
0.08	-0.00035613	-1.295e-06	-0.015456	-0.002698	-0.0043583	-0.0016344	4.8468e-07	2.0849e-05	8.3397e-08	-0.0020203	0.00011086	0.00017943	6.7286e-05	2.841e-09
0.1	-0.00045323	-1.6481e-06	0.011009	-0.0034807	-0.005622	-0.0021083	8.9643e-07	-5.4451e-05	-2.178e-07	-0.0051753	-0.00027857	-0.00045104	-0.00016914	7.7326e-09
0.12	0.00022211	8.0768e-07	0.058134	0.0016083	0.0025992	0.00097469	8.9643e-07	-0.00014978	-5.9914e-07	-0.0028871	-0.0007782	-0.0012598	-0.00047243	5.8512e-08
0.14	0.0017809	6.476e-06	0.091797	0.01347	0.02176	0.0081599	1.212e-05	-9.5234e-05	-3.8094e-07	0.010328	-0.00050755	-0.00082141	-0.00030803	6.6408e-08
0.16	0.0036414	1.3241e-05	0.087789	0.027695	0.044737	0.016776	5.0671e-05	0.00033009	1.3204e-06	0.033299	0.0016868	0.0027312	0.0010242	2.8418e-07
0.18	0.0051866	1.886e-05	0.067859	0.039536	0.063863	0.023949	0.0001028	0.001248	4.9921e-06	0.058016	0.0064487	0.01044	0.0039151	4.0622e-06
0.2	0.006347	2.308e-05	0.046636	0.048438	0.078241	0.02934	0.00015395	0.0026061	1.0424e-05	0.076066	0.013513	0.021877	0.008204	1.7713e-05
0.22	0.0067982	2.4721e-05	-0.01239	0.051977	0.083956	0.031484	0.00017752	0.004196	1.6784e-05	0.079724	0.021803	0.035295	0.013236	4.5919e-05
0.24	0.0056859	2.0676e-05	-0.096416	0.043605	0.070431	0.026412	0.00017752	0.0056303	2.2521e-05	0.058957	0.029305	0.04744	0.01779	8.2674e-05
0.26	0.0034391	1.2506e-05	-0.10656	0.02645	0.04272	0.01602	0.00017752	0.0063691	2.5476e-05	0.011276	0.03321	0.05376	0.02016	0.0001058
0.28	0.002154	7.8325e-06	-0.0075509	0.016475	0.026612	0.0099795	0.00017752	0.0060189	2.4076e-05	-0.045329	0.031443	0.050898	0.019087	0.00010653
0.3	0.0032921	1.1971e-05	0.11503	0.024985	0.04036	0.015135	0.00017752	0.0047012	1.8805e-05	-0.080599	0.024607	0.039832	0.014937	0.00010653
0.32	0.0063629	2.3138e-05	0.17932	0.048355	0.07811	0.029291	0.00017752	0.0030792	1.2317e-05	-0.073989	0.01614	0.026125	0.0097971	0.00010653
0.34	0.010129	3.6833e-05	0.19349	0.077118	0.12457	0.046714	0.00039208	0.0020254	8.1018e-06	-0.025235	0.010592	0.017145	0.0064296	0.00010653
0.36	0.013842	5.0334e-05	0.16894	0.10553	0.17047	0.063925	0.0007322	0.0022562	9.0249e-06	0.051046	0.011715	0.018965	0.0071121	0.00010653
0.38	0.016514	6.005e-05	0.088737	0.12608	0.20365	0.076369	0.0010421	0.0040804	1.6321e-05	0.12907	0.021148	0.034236	0.012839	0.00010653
0.4	0.017312	6.2954e-05	-0.0036075	0.13232	0.21374	0.080152	0.0011456	0.0072248	2.8899e-05	0.17843	0.037497	0.060703	0.022764	0.00013613
0.42	0.016838	6.1231e-05	-0.026321	0.12874	0.20794	0.077979	0.0011456	0.010898	4.359e-05	0.18071	0.056652	0.09171	0.034392	0.00030972
0.44	0.01697	6.171e-05	0.056919	0.12962	0.20937	0.078513	0.0011456	0.014177	5.6707e-05	0.14235	0.073797	0.11946	0.0448	0.00052417
0.46	0.019172	6.9716e-05	0.14909	0.1463	0.23632	0.08862	0.0014046	0.016502	6.6008e-05	0.09015	0.085981	0.13919	0.052196	0.00071022
0.48	0.022037	8.0136e-05	0.10773	0.16826	0.27179	0.10192	0.0018559	0.017829	7.1317e-05	0.043935	0.092953	0.15047	0.056428	0.00082906
0.5	0.022753	8.2738e-05	-0.042673	0.17396	0.281	0.10537	0.0019975	0.018274	7.3098e-05	-0.00021825	0.095321	0.1543	0.057865	0.00087097
0.52	0.020297	7.3806e-05	-0.19833	0.15543	0.25106	0.094148	0.0019975	0.017745	7.098e-05	-0.055465	0.092617	0.14993	0.056223	0.00087097
0.54	0.01472	5.3529e-05	-0.36868	0.11307	0.18264	0.068489	0.0019975	0.015926	6.3702e-05	-0.13037	0.083206	0.13469	0.05051	0.00087097
0.56	0.0052696	1.9162e-05	-0.581	0.04117	0.066487	0.024933	0.0019975	0.012345	4.938e-05	-0.23295	0.064638	0.10463	0.039237	0.00087097
0.58	-0.0079889	-2.905e-05	-0.71474	-0.059956	-0.096862	-0.036323	0.0019975	0.0063964	2.5586e-05	-0.36607	0.03375	0.054626	0.020485	0.00087097
0.6	-0.022412	-8.1499e-05	-0.71277	-0.1702	-0.27493	-0.1031	0.0019975	-0.0023596	-9.4382e-06	-0.50805	-0.011772	-0.019067	-0.0071501	0.00087097
0.62	-0.035912	-0.00013059	-0.623	-0.27352	-0.44181	-0.16568	0.0049286	-0.013733	-5.4933e-05	-0.62109	-0.070978	-0.11491	-0.043092	0.00087097
0.64	-0.046346	-0.00016853	-0.38605	-0.35362	-0.5712	-0.2142	0.0082084	-0.026735	-0.00010694	-0.66348	-0.13875	-0.22462	-0.084234	0.0018641
0.66	-0.050545	-0.0001838	-0.027496	-0.38627	-0.62393	-0.23398	0.0097633	-0.039497	-0.00015799	-0.59042	-0.2054	-0.3325	-0.12469	0.0040686
0.68	-0.048366	-0.00017588	0.19507	-0.36996	-0.59758	-0.22409	0.0097712	-0.049426	-0.0001977	-0.38115	-0.25741	-0.41669	-0.15626	0.0063712
0.7	-0.04486	-0.00016313	0.10191	-0.34302	-0.55407	-0.20778	0.0097712	-0.054115	-0.00021646	-0.07981	-0.28218	-0.4568	-0.1713	0.0076375
0.72	-0.044406	-0.00016147	-0.010213	-0.33937	-0.54818	-0.20557	0.0097712	-0.052661	-0.00021064	0.21697	-0.27491	-0.44501	-0.16688	0.0076948
