#GAMMA2	FORCE2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.028e-09	1.1721e-05
1.2123e-07	0.00024069
6.8898e-07	0.0013802
1.8076e-06	0.0036455
2.5118e-06	0.0051002
1.0196e-06	0.0021339
-4.0398e-06	-0.0080605
-1.2224e-05	-0.02463
-2.089e-05	-0.042249
-2.6074e-05	-0.052885
-2.3836e-05	-0.048529
-1.1169e-05	-0.023048
1.3348e-05	0.026478
4.8693e-05	0.098036
9.0685e-05	0.18321
0.00013212	0.26741
0.00016439	0.3332
0.0001802	0.36568
0.00017603	0.35761
0.00015297	0.31116
0.00011566	0.23565
7.0319e-05	0.1437
2.3323e-05	0.048278
-1.9522e-05	-0.03883
-5.3646e-05	-0.10831
-7.6325e-05	-0.1546
-8.6752e-05	-0.17601
-8.5773e-05	-0.17423
-7.606e-05	-0.15465
-6.2461e-05	-0.12707
-5.1082e-05	-0.10386
-4.7006e-05	-0.095409
-5.223e-05	-0.10583
-6.5082e-05	-0.1318
-8.0879e-05	-0.16387
-9.3291e-05	-0.1892
-9.6215e-05	-0.19538
-8.5633e-05	-0.17419
-6.0664e-05	-0.12379
-2.3513e-05	-0.048584
2.1405e-05	0.042494
6.8372e-05	0.13786
0.00011097	0.22449
0.00014295	0.28967
0.00015949	0.3236
0.00015844	0.32182
0.00014071	0.28615
0.00011014	0.22429
7.276e-05	0.14848
3.5705e-05	0.073184
5.6148e-06	0.011905
-1.3016e-05	-0.026171
-1.9195e-05	-0.038952
-1.5795e-05	-0.032195
-8.1969e-06	-0.016798
-1.8286e-06	-0.0038009
-3.7864e-07	-0.00073474
-5.3911e-06	-0.010776
-1.64e-05	-0.033019
-3.1107e-05	-0.062832
-4.5828e-05	-0.092757
-5.6326e-05	-0.1142
-5.8507e-05	-0.11883
-4.8816e-05	-0.099428
-2.5305e-05	-0.051984
1.0467e-05	0.020429
5.2324e-05	0.10536
9.0645e-05	0.18333
0.00011577	0.23467
0.00012179	0.24731
0.00010858	0.22085
8.1212e-05	0.16551
4.776e-05	0.097635
1.6689e-05	0.034438
-5.4981e-06	-0.010826
-1.5486e-05	-0.031362
-1.2604e-05	-0.02577
2.5092e-06	0.0046709
2.8119e-05	0.056473
6.032e-05	0.12176
9.2745e-05	0.18765
0.00011833	0.2398
0.00013174	0.26729
0.00013039	0.26486
0.00011407	0.23203
8.3442e-05	0.17015
3.9104e-05	0.080415
-1.7775e-05	-0.03481
-8.4883e-05	-0.17086
-0.00015903	-0.32126
-0.0002364	-0.4783
-0.00031207	-0.63201
-0.00037957	-0.76926
-0.00043147	-0.87501
-0.00046126	-0.93597
-0.0004652	-0.94451
-0.00044267	-0.89931
