É¡2	É¡1	C2	C1=Cb
-0.000111111	9.09091E-05	0	0
0.000111111	0	0	0
-0.000222222	-0.000181818	0.013580247	0.005759162
-0.000111111	0	0.033333333	0.014136126
-0.000111111	0	0.032098765	0.013612565
0	9.09091E-05	0.019753086	0.008376963
0	9.09091E-05	0.038271605	0.016230366
0.000111111	0.000181818	0.071604938	0.030366492
0.000555556	0.000181818	0.113580247	0.048167539
0	0.000454545	0.12345679	0.052356021
0.000333333	0.000454545	0.116049383	0.04921466
0.000444444	0.000363636	0.108641975	0.046073298
0.000666667	0.000454545	0.14691358	0.062303665
0.001	0.000454545	0.17654321	0.07486911
0.001	0.000818182	0.2	0.084816754
-0.000111111	0.000181818	0.018518519	0.007853403
-0.000222222	0.000363636	0.061728395	0.02617801
-0.000222222	0.000363636	0.130864198	0.055497382
-0.000888889	0.000454545	0.15308642	0.064921466
-0.000777778	0.000363636	0.139506173	0.059162304
-0.000888889	0.000545455	0.15308642	0.064921466
-0.000888889	0.000545455	0.14691358	0.062303665
-0.000888889	0.000545455	0.17037037	0.072251309
-0.000777778	0.000545455	0.2	0.084816754
-0.000222222	0.000727273	0.20617284	0.087434555
-0.000333333	0.000818182	0.22345679	0.094764398
0	0.000909091	0.250617284	0.106282723
0.000111111	0.000818182	0.222222222	0.094240838
0	0.000909091	0.249382716	0.105759162
0.000888889	0.000909091	0.272839506	0.115706806
0.000444444	0.001181818	0.296296296	0.12565445
0.000444444	0.001454545	0.322222222	0.136649215
0.001	0.001545455	0.34691358	0.147120419
0.001444444	0.001818182	0.372839506	0.158115183
0.001777778	0.001818182	0.30617284	0.129842932
0.001777778	0.001818182	0.244444444	0.103664921
0.001444444	0.001272727	0.130864198	0.055497382
0.001	0.001	0.056790123	0.02408377
0.000444444	0.000727273	0.00617284	0.002617801
-0.000333333	0.000545455	0.060493827	0.02565445
0.000333333	0.000909091	0.130864198	0.055497382
0.000777778	0.001090909	0.187654321	0.079581152
0.001	0.001181818	0.218518519	0.092670157
0.001222222	0.001363636	0.251851852	0.106806283
0.001333333	0.001545455	0.277777778	0.117801047
0.001666667	0.001545455	0.309876543	0.131413613
0.001555556	0.001818182	0.344444444	0.146073298
0.002	0.001818182	0.37037037	0.157068063
0.002222222	0.002090909	0.397530864	0.168586387
0.002444444	0.002272727	0.420987654	0.178534031
0.002888889	0.002363636	0.448148148	0.190052356
0.003222222	0.002727273	0.420987654	0.178534031
0.003444444	0.002727273	0.450617284	0.191099476
0.003666667	0.002818182	0.472839506	0.20052356
0.003888889	0.003090909	0.498765432	0.211518325
0.004222222	0.003181818	0.522222222	0.221465969
0.004777778	0.003454545	0.54691358	0.231937173
0.005111111	0.003818182	0.565432099	0.239790576
0.005777778	0.004090909	0.59382716	0.251832461
0.006222222	0.004545455	0.618518519	0.262303665
0.007	0.004727273	0.581481481	0.246596859
0.007	0.004818182	0.619753086	0.262827225
0.007222222	0.005090909	0.645679012	0.27382199
0.007555556	0.005545455	0.671604938	0.284816754
0.008444444	0.005636364	0.695061728	0.294764398
0.009	0.006181818	0.718518519	0.304712042
0.010111111	0.006636364	0.741975309	0.314659686
0.011	0.007	0.69382716	0.294240838
0.011	0.007090909	0.72345679	0.306806283
0.011222222	0.007363636	0.743209877	0.315183246
0.011555556	0.007636364	0.767901235	0.32565445
0.012333333	0.007727273	0.765432099	0.32460733
0.012555556	0.007909091	0.77037037	0.326701571
0.012777778	0.008181818	0.795061728	0.337172775
0.014555556	0.008818182	0.80617284	0.341884817
0.016	0.009272727	0.771604938	0.327225131
0.016333333	0.009545455	0.80617284	0.341884817
0.017111111	0.009545455	0.828395062	0.351308901
0.018555556	0.010454545	0.854320988	0.362303665
0.020111111	0.010818182	0.862962963	0.365968586
0.021111111	0.011090909	0.84691358	0.359162304
0.021444444	0.011545455	0.866666667	0.367539267
0.022222222	0.012090909	0.887654321	0.376439791
0.024666667	0.013	0.917283951	0.389005236
0.027777778	0.013909091	0.928395062	0.393717277
0.031	0.015363636	0.87654321	0.371727749
0.031333333	0.015454545	0.909876543	0.385863874
0.032	0.015818182	0.925925926	0.392670157
0.033222222	0.016454545	0.932098765	0.395287958
0.034777778	0.016909091	0.956790123	0.405759162
0.039555556	0.018090909	0.955555556	0.405235602
0.043666667	0.019454545	0.916049383	0.388481675
0.044	0.019454545	0.871604938	0.369633508
0.044	0.019272727	0.797530864	0.338219895
0.043666667	0.019272727	0.744444444	0.315706806
0.043555556	0.018727273	0.612345679	0.259685864
0.042777778	0.018272727	0.490123457	0.207853403
0.042111111	0.017636364	0.37654321	0.159685864
0.039666667	0.016545455	0.240740741	0.102094241
0.035555556	0.014636364	0.127160494	0.053926702
0.035	0.014272727	0.141975309	0.060209424
0.035333333	0.014363636	0.201234568	0.085340314
0.035888889	0.014636364	0.249382716	0.105759162
0.037	0.014909091	0.30617284	0.129842932
0.037777778	0.015545455	0.374074074	0.158638743
0.039222222	0.015818182	0.434567901	0.184293194
0.04	0.016363636	0.498765432	0.211518325
0.040777778	0.017	0.559259259	0.237172775
0.041666667	0.017363636	0.622222222	0.263874346
0.042555556	0.017818182	0.682716049	0.289528796
0.043333333	0.018545455	0.744444444	0.315706806
0.043888889	0.018818182	0.785185185	0.332984293
0.044333333	0.018909091	0.803703704	0.340837696
0.045777778	0.019363636	0.866666667	0.367539267
0.047	0.020181818	0.898765432	0.381151832
