É¡2	É¡1	C2	C1=Cb
0.000223214	0	0.046052632	0.013358779
0.000223214	0.000273224	0.102631579	0.029770992
0.000669643	0.000409836	0.165789474	0.048091603
0.000669643	0.000478142	0.146052632	0.042366412
0.000446429	0.000614754	0.157894737	0.045801527
0.001897321	0.001161202	0.294736842	0.085496183
0.003236607	0.002117486	0.435526316	0.126335878
0.001004464	0.003346995	0.384210526	0.111450382
0.00390625	0.00273224	0.5	0.145038168
0.006138393	0.004439891	0.690789474	0.200381679
0.00625	0.004303279	0.627631579	0.182061069
0.006026786	0.004439891	0.546052632	0.158396947
0.005133929	0.003620219	0.296052632	0.085877863
0.0046875	0.003278689	0.222368421	0.064503817
0.004129464	0.003005464	0.168421053	0.048854962
0.003459821	0.002322404	0.096052632	0.027862595
0.002901786	0.001912568	0.1	0.029007634
0.002901786	0.002117486	0.168421053	0.048854962
0.003683036	0.002527322	0.269736842	0.078244275
0.003794643	0.002595628	0.282894737	0.082061069
0.0046875	0.003142077	0.430263158	0.12480916
0.005803571	0.003893443	0.563157895	0.163358779
0.006473214	0.004781421	0.693421053	0.201145038
0.007142857	0.005054645	0.759210526	0.220229008
0.007700893	0.005874317	0.826315789	0.239694656
0.008705357	0.006352459	0.889473684	0.258015267
0.009598214	0.007103825	0.953947368	0.276717557
0.009709821	0.007103825	0.921052632	0.267175573
0.010602679	0.007650273	1.023684211	0.296946565
0.0109375	0.007855191	0.975	0.282824427
0.011830357	0.008333333	1.085526316	0.314885496
0.011941964	0.008401639	1.034210526	0.3
0.013392857	0.008811475	1.15	0.333587786
0.012834821	0.009357923	1.105263158	0.320610687
0.0140625	0.00976776	1.214473684	0.352290076
0.013950893	0.009836066	1.172368421	0.340076336
0.015066964	0.010724044	1.281578947	0.371755725
0.015401786	0.010655738	1.226315789	0.355725191
0.016517857	0.011543716	1.346052632	0.390458015
0.016852679	0.011543716	1.305263158	0.378625954
0.015736607	0.012226776	1.418421053	0.411450382
0.018973214	0.013046448	1.409210526	0.408778626
0.019084821	0.012978142	1.336842105	0.38778626
0.01875	0.013046448	1.332894737	0.386641221
0.019866071	0.010997268	1.084210526	0.314503817
0.018191964	0.012295082	0.947368421	0.27480916
0.018080357	0.011885246	0.814473684	0.236259542
