É¡2	É¡1	C2	C1=Cb
0.00037037	-8.62069E-05	0	0
0.00037037	-8.62069E-05	0	0
0.000740741	-0.000172414	0.018	0.004466501
0.001111111	-0.000172414	0.017	0.004218362
0.000740741	-8.62069E-05	0.018	0.004466501
0.000555556	0	0.041	0.010173697
0.001296296	8.62069E-05	0.061	0.015136476
0.001666667	0.000172414	0.078	0.019354839
0.001481481	0.000344828	0.099	0.024565757
0.002037037	0.000603448	0.119	0.029528536
0.002592593	0.000775862	0.141	0.034987593
0.003333333	0.000948276	0.159	0.039454094
0.003703704	0.001034483	0.177	0.043920596
0.003518519	0.000948276	0.162	0.040198511
0.00462963	0.001206897	0.204	0.050620347
0.004814815	0.001465517	0.224	0.055583127
0.005555556	0.001206897	0.217	0.053846154
0.004814815	0.00112069	0.149	0.036972705
0.00462963	0.001206897	0.15	0.037220844
0.00462963	0.00112069	0.158	0.039205955
0.004259259	0.001293103	0.184	0.045657568
0.004814815	0.001293103	0.204	0.050620347
0.005185185	0.001465517	0.221	0.05483871
0.005	0.001637931	0.241	0.059801489
0.005185185	0.001896552	0.261	0.064764268
0.005925926	0.001810345	0.28	0.069478908
0.005	0.001551724	0.157	0.038957816
0.005185185	0.001724138	0.184	0.045657568
0.005555556	0.001724138	0.202	0.050124069
0.005555556	0.001810345	0.223	0.055334988
0.005925926	0.001982759	0.241	0.059801489
0.005740741	0.001982759	0.26	0.064516129
0.006666667	0.001982759	0.283	0.070223325
0.007037037	0.002155172	0.302	0.074937965
0.007222222	0.0025	0.32	0.079404467
0.007777778	0.0025	0.341	0.084615385
0.008148148	0.002672414	0.363	0.090074442
0.007962963	0.003103448	0.378	0.093796526
0.008703704	0.003189655	0.4	0.099255583
0.008888889	0.003362069	0.42	0.104218362
0.009074074	0.003706897	0.439	0.108933002
0.00962963	0.00362069	0.458	0.113647643
0.01	0.00387931	0.482	0.119602978
0.010740741	0.003965517	0.5	0.124069479
0.010740741	0.004224138	0.523	0.129776675
0.011666667	0.004224138	0.542	0.134491315
0.011851852	0.004396552	0.557	0.1382134
0.012222222	0.004741379	0.581	0.144168734
0.012777778	0.004827586	0.599	0.148635236
0.012962963	0.005	0.572	0.141935484
0.012592593	0.004741379	0.547	0.13573201
0.012962963	0.004655172	0.493	0.122332506
0.012592593	0.004655172	0.45	0.111662531
0.012407407	0.004396552	0.393	0.09751861
0.011481481	0.004310345	0.35	0.086848635
0.010740741	0.004224138	0.299	0.074193548
0.01	0.00387931	0.247	0.061290323
0.009814815	0.00362069	0.199	0.049379653
0.008703704	0.003189655	0.148	0.036724566
0.006851852	0.002844828	0.096	0.02382134
0.005	0.002327586	0.049	0.012158809
0.004444444	0.002068966	0.033	0.008188586
0.006666667	0.004827586	-0.007	-0.001736973
0.003888889	0.002068966	0.069	0.017121588
0.004074074	0.002241379	0.078	0.019354839
0.003888889	0.002155172	0.074	0.018362283
0.004444444	0.002327586	0.099	0.024565757
0.005	0.0025	0.125	0.03101737
0.005925926	0.0025	0.153	0.037965261
0.005	0.003448276	-0.008	-0.001985112
0.003518519	0.002327586	0.045	0.011166253
0.003888889	0.002241379	0.035	0.008684864
0.00462963	0.002327586	0.069	0.017121588
0.005185185	0.0025	0.098	0.024317618
0.006111111	0.002672414	0.128	0.031761787
0.005925926	0.002931034	0.15	0.037220844
0.006296296	0.003103448	0.173	0.04292804
0.007407407	0.003275862	0.205	0.050868486
0.007777778	0.003448276	0.226	0.056079404
0.007962963	0.003706897	0.251	0.062282878
0.008703704	0.003706897	0.272	0.067493797
0.006111111	0.004051724	0.307	0.07617866
0.005925926	0.004051724	0.306	0.075930521
0.005555556	0.004137931	0.305	0.075682382
0.006111111	0.004310345	0.345	0.08560794
0.007222222	0.004310345	0.375	0.093052109
0.006666667	0.004741379	0.4	0.099255583
0.007592593	0.004827586	0.424	0.105210918
0.007407407	0.004913793	0.441	0.10942928
0.007592593	0.004913793	0.463	0.114888337
0.008333333	0.005	0.479	0.118858561
0.008703704	0.005172414	0.502	0.124565757
0.009074074	0.005344828	0.522	0.129528536
0.00962963	0.005344828	0.545	0.135235732
0.00962963	0.005517241	0.562	0.139454094
0.009814815	0.005603448	0.582	0.144416873
0.011111111	0.005431034	0.602	0.149379653
0.011296296	0.005775862	0.62	0.153846154
0.011666667	0.005948276	0.642	0.159305211
0.012037037	0.00612069	0.663	0.164516129
0.012222222	0.006551724	0.682	0.169230769
0.012592593	0.006637931	0.685	0.169975186
0.013518519	0.006724138	0.7	0.17369727
0.013703704	0.006896552	0.708	0.175682382
0.014074074	0.007068966	0.718	0.178163772
0.015	0.006724138	0.697	0.172952854
0.014074074	0.006810345	0.605	0.150124069
0.013333333	0.006637931	0.538	0.133498759
0.013333333	0.006810345	0.585	0.14516129
0.013888889	0.006810345	0.604	0.149875931
