É¡2	É¡1	C2	C1=Cb
0	0.000283019	0.06	0.025751073
0.000326087	0.000283019	0.059	0.025321888
0.000434783	0.000377358	0.081	0.034763948
0.000652174	0.000471698	0.1	0.042918455
0.00076087	0.000849057	0.126	0.054077253
0.00076087	0.001415094	0.15	0.064377682
0.001086957	0.001603774	0.175	0.075107296
0.001304348	0.001981132	0.201	0.086266094
0.001413043	0.001792453	0.19	0.081545064
0.001195652	0.001981132	0.187	0.080257511
0.001195652	0.002169811	0.202	0.086695279
0.001304348	0.002264151	0.222	0.09527897
0.001521739	0.00254717	0.242	0.103862661
0.00173913	0.002830189	0.261	0.112017167
0.00173913	0.003207547	0.281	0.120600858
0.001847826	0.003490566	0.302	0.129613734
0.001956522	0.003773585	0.283	0.121459227
0.001956522	0.003773585	0.248	0.106437768
0.00173913	0.003679245	0.199	0.085407725
0.001521739	0.003490566	0.15	0.064377682
0.001521739	0.002735849	0.1	0.042918455
0.001086957	0.002264151	0.05	0.021459227
0.001195652	0.00245283	0.102	0.043776824
0.001521739	0.00254717	0.151	0.064806867
0.001630435	0.003018868	0.202	0.086695279
0.00173913	0.003490566	0.253	0.108583691
0.002065217	0.003773585	0.3	0.128755365
0.002065217	0.004150943	0.321	0.13776824
0.002065217	0.004339623	0.341	0.146351931
0.002282609	0.004716981	0.361	0.154935622
0.0025	0.005283019	0.346	0.148497854
0.002065217	0.005377358	0.343	0.1472103
0.002173913	0.005377358	0.361	0.154935622
0.002282609	0.005566038	0.38	0.163090129
0.002391304	0.005849057	0.4	0.17167382
0.0025	0.006509434	0.421	0.180686695
0.0025	0.006698113	0.421	0.180686695
0.002717391	0.006886792	0.442	0.189699571
0.002934783	0.00745283	0.461	0.197854077
0.002826087	0.008018868	0.481	0.206437768
0.003043478	0.008490566	0.501	0.215021459
0.003804348	0.008962264	0.478	0.205150215
0.003804348	0.008962264	0.478	0.205150215
0.003804348	0.009528302	0.523	0.224463519
0.003913043	0.01	0.54	0.231759657
0.005108696	0.01	0.523	0.224463519
0.004782609	0.01	0.52	0.223175966
0.005217391	0.01	0.541	0.232188841
0.005434783	0.010377358	0.561	0.240772532
0.00576087	0.011037736	0.579	0.248497854
0.006304348	0.011792453	0.601	0.257939914
0.006847826	0.012169811	0.62	0.266094421
0.0075	0.012924528	0.642	0.275536481
0.007934783	0.014056604	0.608	0.260944206
0.008152174	0.014150943	0.642	0.275536481
0.008043478	0.014433962	0.631	0.270815451
0.008586957	0.014622642	0.66	0.283261803
0.00923913	0.015377358	0.68	0.291845494
0.009891304	0.015943396	0.699	0.3
0.010652174	0.016981132	0.722	0.309871245
0.011195652	0.017735849	0.739	0.317167382
0.011413043	0.017924528	0.743	0.31888412
0.012282609	0.018962264	0.761	0.326609442
0.013152174	0.019811321	0.783	0.336051502
0.013913043	0.020754717	0.8	0.343347639
0.014782609	0.021603774	0.752	0.322746781
0.01173913	0.018207547	0.158	0.067811159
0.013043478	0.018584906	0.348	0.149356223
0.00826087	0.013396226	0.044	0.01888412
#VALUE!	#VALUE!	-0.008	-0.003433476
0.005326087	0.01	0.057	0.024463519
0.006195652	0.010471698	0.101	0.043347639
0.006956522	0.011320755	0.151	0.064806867
0.008152174	0.01245283	0.201	0.086266094
0.005108696	0.00990566	0.01	0.004291845
0.007282609	0.011698113	0.154	0.066094421
0.007934783	0.012641509	0.205	0.087982833
0.008913043	0.013396226	0.251	0.107725322
0.009891304	0.014528302	0.301	0.129184549
0.010869565	0.015377358	0.351	0.150643777
0.011304348	0.016415094	0.4	0.17167382
0.012065217	0.017169811	0.451	0.193562232
0.012717391	0.017924528	0.5	0.214592275
0.01326087	0.018773585	0.554	0.23776824
0.013695652	0.019528302	0.598	0.256652361
0.014565217	0.020377358	0.653	0.280257511
0.015	0.021132075	0.703	0.301716738
0.01576087	0.022075472	0.752	0.322746781
0.016521739	0.022735849	0.779	0.334334764
0.016956522	0.023301887	0.802	0.344206009
0.017282609	0.024150943	0.824	0.353648069
0.017826087	0.024622642	0.785	0.336909871
0.017934783	0.024528302	0.782	0.335622318
0.017826087	0.024528302	0.755	0.324034335
0.017608696	0.024528302	0.697	0.299141631
0.017391304	0.023962264	0.575	0.246781116
0.017173913	0.023490566	0.497	0.213304721
0.016304348	0.022924528	0.399	0.171244635
0.015543478	0.021792453	0.299	0.12832618
0.014347826	0.02	0.199	0.085407725
0.012065217	0.017735849	0.101	0.043347639
0.009782609	0.015754717	0.05	0.021459227
0.008043478	0.013867925	0.014	0.006008584
0.007608696	0.012830189	0.02	0.008583691
0.007608696	0.012830189	0.02	0.008583691
0.007826087	0.012924528	0.051	0.021888412
0.008478261	0.013490566	0.101	0.043347639
0.009347826	0.014245283	0.145	0.06223176
0.009456522	0.014339623	0.147	0.063090129
0.010652174	0.015283019	0.201	0.086266094
0.011847826	0.016320755	0.252	0.108154506
0.012608696	0.017264151	0.301	0.129184549
0.013369565	0.018301887	0.349	0.149785408
0.013586957	0.018018868	0.348	0.149356223
0.014021739	0.019339623	0.404	0.173390558
0.014782609	0.02	0.451	0.193562232
0.015326087	0.020754717	0.501	0.215021459
0.015869565	0.021603774	0.553	0.237339056
0.016521739	0.022169811	0.602	0.258369099
0.016847826	0.023113208	0.65	0.278969957
0.017065217	0.023207547	0.656	0.281545064
0.017391304	0.023679245	0.702	0.301287554
0.017826087	0.024433962	0.753	0.323175966
0.018478261	0.025566038	0.802	0.344206009
0.018913043	0.026037736	0.778	0.333905579
0.019130435	0.026320755	0.808	0.346781116
0.01923913	0.026415094	0.825	0.354077253
0.019565217	0.027169811	0.853	0.366094421
0.020543478	0.028018868	0.879	0.377253219
0.021304348	0.028773585	0.905	0.388412017
0.021956522	0.02990566	0.926	0.397424893
0.023478261	0.031509434	0.952	0.408583691
0.02423913	0.032075472	0.927	0.397854077
0.025217391	0.033396226	0.976	0.41888412
0.027065217	0.035754717	1.001	0.429613734
0.029130435	0.038679245	1.029	0.441630901
0.031413043	0.041415094	1.049	0.450214592
0.034456522	0.045849057	1.072	0.460085837
0.035326087	0.046792453	1.03	0.442060086
0.035326087	0.046792453	0.994	0.426609442
0.035543478	0.046509434	0.895	0.384120172
0.035543478	0.046320755	0.796	0.341630901
0.035652174	0.045849057	0.696	0.298712446
0.035434783	0.045188679	0.597	0.256223176
0.034891304	0.044339623	0.503	0.215879828
0.034021739	0.042830189	0.398	0.170815451
0.03326087	0.041037736	0.297	0.127467811
0.031304348	0.038490566	0.199	0.085407725
0.028478261	0.035188679	0.102	0.043776824
0.025869565	0.032641509	0.051	0.021888412
0.023043478	0.030849057	0.025	0.010729614
0.023043478	0.030849057	0.025	0.010729614
